SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"ASTRAL","1,499.00","1,595.00","1,491.00","1,464.00","1,595.00","-","131","8.95","2898588","451.30","1,768.70","1,263.70","10","15.34"
"CONCOR","514.65","526.80","513.70","512.05","526.45","-","14.4","2.81","401170","20.97","569.80","421.45","10.37","-5.45"
"ASHOKLEY","177.40","181.64","176.93","176.70","181.37","-","4.67","2.64","5943668","107.03","215.42","118.90","10.98","48.04"
"UNOMINDA","1,240.00","1,262.40","1,238.50","1,232.40","1,258.10","-","25.7","2.09","97181","12.19","1,382.00","994.00","6.95","15.24"
"BOSCHLTD","46,500.00","47,285.00","46,500.00","46,480.00","47,260.00","-","780","1.68","13299","62.54","47,285.00","28,610.00","11.48","20.38"
"BDL","1,330.00","1,368.40","1,329.00","1,340.00","1,358.60","-","18.6","1.39","514250","69.58","1,654.00","1,086.00","2.86","-9.83"
"TECHM","1,634.70","1,647.50","1,626.30","1,625.00","1,646.30","-","21.3","1.31","517082","84.81","1,854.00","1,304.10","8.01","7.67"
"SHRIRAMFIN","1,135.00","1,135.00","1,124.30","1,117.20","1,131.70","-","14.5","1.3","386624","43.63","1,153.70","566.50","6.59","82.58"
"KPITTECH","611.80","618.45","608.00","609.20","616.60","-","7.4","1.21","178686","10.99","1,328.00","543.00","6.23","-50.04"
"KALYANKJIL","601.50","608.00","600.00","596.70","603.15","-","6.45","1.08","1381513","83.49","648.95","327.05","16.85","14.16"
"SUPREMEIND","3,470.70","3,516.60","3,425.00","3,459.90","3,497.00","-","37.1","1.07","28663","9.99","4,664.90","3,140.00","3.76","-18.01"
"TATAELXSI","3,719.80","3,754.90","3,702.00","3,711.90","3,750.00","-","38.1","1.03","22026","8.23","5,950.00","3,353.90","-2.92","-33.92"
"JIOFIN","261.95","263.40","256.10","256.05","258.65","-","2.6","1.02","21653451","561.04","333.70","223.30","6.06","-21.7"
"HYUNDAI","2,242.00","2,262.20","2,234.30","2,240.00","2,261.90","-","21.9","0.98","72424","16.29","2,890.00","1,658.00","12.31","1.58"
