SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"BHARATFORG","2,164.70","2,212.60","2,161.50","2,164.70","2,205.00","-","40.3","1.86","952103","209.14","2,238.00","1,100.50","4.32","88.16"
"SHRIRAMFIN","1,029.20","1,054.60","1,029.10","1,027.20","1,046.20","-","19","1.85","6318223","660.48","1,108.00","566.50","-0.13","65.92"
"TMPV","335.55","341.95","334.50","334.20","340.10","-","5.9","1.77","8527463","288.50","739.70","294.30","-2.31","0"
"SOLARINDS","18,110.00","18,619.00","18,110.00","18,053.00","18,360.00","-","307","1.7","88937","163.79","19,187.00","11,646.00","-1.18","29.33"
"ADANIPORTS","1,674.00","1,708.10","1,650.00","1,664.10","1,691.90","-","27.8","1.67","4703646","795.33","1,891.10","1,290.50","-8.21","23.55"
"TATASTEEL","188.25","191.84","186.31","186.92","189.99","-","3.07","1.64","34249584","648.21","224.40","152.51","2.44","20.1"
"LTF","307.45","314.05","306.65","306.25","311.00","-","4.75","1.55","5329552","166.19","338.60","194.40","-0.46","53.64"
"AUBANK","1,035.00","1,057.40","1,034.90","1,030.70","1,046.00","-","16.3","1.58","2215780","231.66","1,090.40","682.15","-0.39","41.24"
"FORCEMOT","17,789.00","18,347.00","17,622.00","17,618.00","17,870.00","-","252","1.43","158205","284.55","26,450.00","14,911.00","-2.3","5.65"
"ADANIGREEN","1,368.80","1,397.00","1,353.00","1,358.70","1,378.00","-","19.3","1.42","1571946","215.99","1,631.50","765.00","-9.9","40.45"
"PRESTIGE","1,595.50","1,624.40","1,585.00","1,594.80","1,617.00","-","22.2","1.39","671051","108.10","1,805.20","1,090.00","-0.56","-0.63"
"BPCL","316.05","320.40","314.40","315.80","320.20","-","4.4","1.39","5111067","162.65","391.65","266.60","5.11","-2.9"
"HAL","4,591.10","4,669.00","4,591.10","4,581.40","4,644.00","-","62.6","1.37","747759","347.12","4,978.00","3,479.10","4.78","2.48"
"SUZLON","47.56","48.18","47.13","47.40","48.05","-","0.65","1.37","56655652","270.81","66.81","38.19","-17.72","-22.06"
"GMRAIRPORT","104.00","106.01","103.86","103.91","105.29","-","1.38","1.33","13437582","141.47","115.64","84.11","-7.28","16.88"
"TATAPOWER","378.00","381.35","377.15","375.95","380.80","-","4.85","1.29","3006383","114.20","464.90","342.50","1.4","-4.29"
"FEDERALBNK","355.40","359.70","354.75","354.15","358.65","-","4.5","1.27","3907564","139.90","359.90","185.11","8.28","77.27"
"NAM-INDIA","1,149.00","1,175.60","1,141.10","1,146.90","1,161.50","-","14.6","1.27","877923","102.08","1,233.50","780.25","-2.93","42.97"
"NBCC","93.90","95.55","93.70","93.57","94.75","-","1.18","1.26","5779241","54.82","125.85","77.18","-9.23","-12.37"
"ICICIPRULI","511.00","517.20","509.00","510.60","517.05","-","6.45","1.26","1002334","51.53","706.80","459.50","4.55","-16.32"
"DMART","3,900.10","3,946.50","3,889.70","3,874.00","3,921.00","-","47","1.21","551952","216.39","4,949.50","3,529.00","-9.42","-8.12"
"PNBHOUSING","1,033.00","1,059.40","1,028.10","1,033.10","1,045.50","-","20.4","1.99","1118030","117.09","1,132.70","729.60","0.12","6.78"
"HEROMOTOCO","5,375.00","5,394.70","5,297.50","5,325.00","5,388.00","-","63","1.18","769470","412.59","6,388.50","4,201.00","11.4","26.41"
"IDEA","12.98","13.08","12.76","12.87","13.02","-","0.15","1.17","387269596","501.51","15.34","6.12","-11.13","88.28"
"KPITTECH","585.30","607.50","575.50","589.75","596.15","-","6.4","1.09","6237877","369.31","1,328.00","543.00","7.33","-51.21"
