IndexCode,IndexID,IndexName,PreviousClose,OpenPrice,HighPrice,LowPrice,ClosePrice,52weeksHigh,52weeksLow,Filler1,Filler2,Filler3,Filler4
1,SENSEX,BSE SENSEX,77966.35,78111.91,78119.39,77665.89,78079.96,86159.02,71545.81,,,,
2,BSE100,BSE 100,26137.30,26218.26,26218.26,26071.72,26182.07,27621.72,23249.92,,,,
3,BSE200,BSE 200,11465.49,11501.78,11501.78,11440.21,11482.97,11944.41,10077.77,,,,
4,BSE500,BSE 500,36967.15,37081.64,37081.64,36908.64,37024.45,37874.46,31965.51,,,,
7,BSE CG,BSE CAPITAL GOODS,79861.37,80391.61,80391.61,79783.45,80033.42,84777.05,61099.75,,,,
8,BSE CD,BSE CONSUMER DURABLES,65437.79,65455.41,65602.16,64897.28,65588.77,66148.63,51821.68,,,,
10,BSEPSU,BSE PSU,21000.55,21066.36,21066.36,20958.73,21048.89,22589.26,18256.71,,,,
11,TECK,BSE TECK,15747.98,15826.94,15876.25,15708.06,15817.18,19167.87,13891.13,,,,
12,BANKEX,BSE BANKEX,65447.04,65575.10,65578.03,65198.34,65374.82,69406.97,56230.38,,,,
13,AUTO,BSE AUTO,64623.25,64837.02,65188.30,64646.58,64808.29,65675.73,52099.69,,,,
14,METAL,BSE METAL,42118.04,42100.59,42100.59,41550.50,41707.94,45388.14,30311.19,,,,
15,OILGAS,BSE OIL&GAS,26401.93,26475.80,26476.12,26273.73,26391.08,29833.46,25073.03,,,,
21,REALTY,BSE REALTY,6900.00,6916.48,7017.55,6887.11,7001.06,7568.28,4956.78,,,,
22,POWER,BSE POWER,7645.82,7663.06,7673.03,7606.95,7659.38,8573.90,5983.27,,,,
23,BSEIPO,BSE IPO,18018.02,18149.96,18178.88,18012.65,18034.26,18178.88,13673.97,,,,
27,SMEIPO,BSE SME IPO,103152.64,102994.99,103756.47,102935.83,103106.05,110401.84,73866.86,,,,
28,INFRA,BSE INDIA INFRA INDEX,578.06,579.74,581.09,576.25,580.99,633.79,528.80,,,,
29,CPSE,BSE CPSE,3866.37,3874.79,3883.75,3859.82,3883.05,4265.39,3559.27,,,,
32,BSEFMC,BSE FMCG,18172.76,18207.17,18349.99,18174.56,18348.40,21490.85,16740.58,,,,
33,BSE HC,BSE Healthcare,50962.97,51167.89,51169.60,50852.58,51034.20,51574.61,40239.45,,,,
34,BSE IT,BSE IT,30053.21,30118.48,30235.21,29896.95,30201.46,38598.21,25164.70,,,,
35,MFG,BSE INDIA MFG INDEX,1101.36,1103.09,1104.30,1097.42,1104.27,1124.57,999.44,,,,
37,COMDTY,BSE COMMODITIES,8743.02,8751.29,8752.15,8676.21,8698.70,8923.87,7268.95,,,,
38,CONDIS,BSE CONSUMER DISCRE,10321.22,10343.49,10349.22,10308.97,10339.53,10413.48,8158.47,,,,
39,ENERGY,BSE ENERGY,11386.70,11418.27,11418.27,11315.25,11360.20,12537.31,10920.35,,,,
40,FINSER,BSE FINANCIAL SERVCS,12617.12,12651.23,12651.23,12578.11,12603.62,13392.39,10959.13,,,,
41,INDSTR,BSE INDUSTRIALS,16544.67,16639.07,16684.88,16596.93,16681.19,17152.55,13118.74,,,,
43,MIDSEL,BSE MIDCAP SELECT,18813.49,18870.89,18913.70,18791.27,18913.37,18913.70,14644.25,,,,
44,SMLSEL,BSE SMALLCAP SELECT,9115.18,9148.85,9171.47,9115.19,9147.02,9171.47,6803.36,,,,
45,TELCOM,BSE TELECOMMUNICATION,3635.71,3659.29,3712.46,3657.63,3672.33,3793.58,2676.37,,,,
46,UTILS,BSE UTILITIES,5629.39,5635.57,5664.07,5604.93,5646.89,6419.58,4789.17,,,,
47,SNSX50,BSE SENSEX 50,25625.00,25686.21,25686.21,25541.75,25649.31,27541.52,23185.03,,,,
48,SNXT50,BSE SENSEX NEXT 50,89253.00,89773.82,89776.57,89263.96,89669.33,89802.84,74029.08,,,,
49,BHRT22,BSE BHARAT 22 INDEX,8888.25,8893.31,8938.49,8863.91,8938.40,9837.10,8145.03,,,,
50,ESG100,BSE 100 ESG INDEX,415.45,416.59,416.59,414.20,416.02,440.83,370.38,,,,
55,MID150,BSE 150 MIDCAP INDEX,17266.44,17321.42,17323.05,17271.15,17315.79,17323.05,14130.50,,,,
56,SML250,BSE 250 SMALLCAP,7240.81,7264.90,7269.31,7241.38,7247.67,7282.81,5605.74,,,,
