IndexCode,IndexID,IndexName,PreviousClose,OpenPrice,HighPrice,LowPrice,ClosePrice,52weeksHigh,52weeksLow,Filler1,Filler2,Filler3,Filler4
1,SENSEX,BSE SENSEX,77928.15,77998.66,78272.25,77809.93,78094.64,86159.02,71545.81,,,,
2,BSE100,BSE 100,25953.81,25987.93,26093.16,25946.78,26044.59,27621.72,23249.92,,,,
3,BSE200,BSE 200,11376.45,11397.56,11442.90,11382.46,11419.78,11944.41,10077.77,,,,
4,BSE500,BSE 500,36541.96,36617.70,36762.43,36571.52,36684.83,37874.46,31965.51,,,,
7,BSE CG,BSE CAPITAL GOODS,75667.42,76067.89,77229.57,76043.64,77012.22,84777.05,61099.75,,,,
8,BSE CD,BSE CONSUMER DURABLES,65250.59,65571.42,65571.42,64801.20,65145.56,65572.53,51821.68,,,,
10,BSEPSU,BSE PSU,20579.34,20620.09,20702.27,20584.42,20676.63,22589.26,18256.71,,,,
11,TECK,BSE TECK,15742.22,15579.49,15703.76,15403.74,15627.35,19167.87,13891.13,,,,
12,BANKEX,BSE BANKEX,64842.24,64954.95,65090.67,64803.40,64933.59,69406.97,56230.38,,,,
13,AUTO,BSE AUTO,62026.98,62427.73,63481.73,61956.25,63263.41,64584.14,52099.69,,,,
14,METAL,BSE METAL,40884.58,41046.89,41225.51,40856.61,40935.64,45388.14,30242.04,,,,
15,OILGAS,BSE OIL&GAS,26219.30,26253.93,26526.91,26086.76,26484.24,29833.46,25073.03,,,,
21,REALTY,BSE REALTY,7018.41,7044.66,7085.01,7000.12,7033.65,7568.28,4956.78,,,,
22,POWER,BSE POWER,7573.15,7615.01,7680.58,7612.19,7668.81,8573.90,5983.27,,,,
23,BSEIPO,BSE IPO,17274.72,17336.56,17531.18,17329.35,17495.14,17870.51,13673.97,,,,
27,SMEIPO,BSE SME IPO,99636.39,99384.04,100438.90,99291.51,100362.00,110401.84,73866.86,,,,
28,INFRA,BSE INDIA INFRA INDEX,584.56,586.17,588.46,584.34,587.38,633.79,528.80,,,,
29,CPSE,BSE CPSE,3836.30,3843.00,3864.48,3836.89,3859.58,4265.39,3559.27,,,,
32,BSEFMC,BSE FMCG,18482.82,18530.72,18538.03,18295.32,18316.73,21490.85,16740.58,,,,
33,BSE HC,BSE Healthcare,50700.39,50933.14,51108.88,50705.12,50797.02,51108.88,40239.45,,,,
34,BSE IT,BSE IT,29917.41,29446.63,29677.64,28911.53,29502.29,38598.21,25164.70,,,,
35,MFG,BSE INDIA MFG INDEX,1084.34,1087.27,1092.35,1084.68,1090.07,1124.57,999.44,,,,
37,COMDTY,BSE COMMODITIES,8553.33,8579.61,8611.02,8569.75,8579.98,8923.87,7268.95,,,,
38,CONDIS,BSE CONSUMER DISCRE,10075.77,10124.57,10163.77,10073.99,10123.55,10319.22,8158.47,,,,
39,ENERGY,BSE ENERGY,11273.76,11266.44,11379.61,11220.99,11364.63,12537.31,10920.35,,,,
40,FINSER,BSE FINANCIAL SERVCS,12513.93,12549.78,12621.92,12544.68,12594.36,13392.39,10959.13,,,,
41,INDSTR,BSE INDUSTRIALS,15812.78,15894.42,16058.21,15891.99,16020.16,17152.55,13118.74,,,,
43,MIDSEL,BSE MIDCAP SELECT,18454.97,18519.46,18649.88,18458.90,18576.67,18649.88,14644.25,,,,
