IndexCode,IndexID,IndexName,PreviousClose,OpenPrice,HighPrice,LowPrice,ClosePrice,52weeksHigh,52weeksLow,Filler1,Filler2,Filler3,Filler4
1,SENSEX,BSE SENSEX,78428.95,79055.38,79055.38,78285.74,78581.00,86159.02,71545.81,,,,
2,BSE100,BSE 100,26183.68,26409.39,26409.39,26200.24,26270.95,27621.72,23249.92,,,,
3,BSE200,BSE 200,11479.27,11575.99,11575.99,11489.21,11515.76,11944.41,10077.77,,,,
4,BSE500,BSE 500,36933.47,37235.43,37235.43,36995.21,37074.66,37874.46,31965.51,,,,
7,BSE CG,BSE CAPITAL GOODS,78172.59,78739.82,78876.10,77848.55,78040.20,84777.05,61099.75,,,,
8,BSE CD,BSE CONSUMER DURABLES,65328.75,65683.98,65690.26,65238.56,65381.91,65904.82,51821.68,,,,
10,BSEPSU,BSE PSU,20737.76,20886.05,20917.21,20772.82,20834.24,22589.26,18256.71,,,,
11,TECK,BSE TECK,15792.53,16041.67,16043.82,15742.11,15804.42,19167.87,13891.13,,,,
12,BANKEX,BSE BANKEX,65319.08,65619.59,65673.75,65114.65,65333.23,69406.97,56230.38,,,,
13,AUTO,BSE AUTO,63705.93,64363.34,64968.30,64144.91,64564.90,64968.30,52099.69,,,,
14,METAL,BSE METAL,41751.66,42255.19,42513.58,41828.48,42420.86,45388.14,30311.19,,,,
15,OILGAS,BSE OIL&GAS,26442.16,26628.91,26651.54,26307.70,26340.23,29833.46,25073.03,,,,
21,REALTY,BSE REALTY,6959.17,7019.38,7142.26,7006.77,7042.13,7568.28,4956.78,,,,
22,POWER,BSE POWER,7683.26,7739.10,7761.93,7668.76,7691.58,8573.90,5983.27,,,,
23,BSEIPO,BSE IPO,17673.47,17791.75,17913.16,17739.70,17891.33,17913.16,13673.97,,,,
27,SMEIPO,BSE SME IPO,101386.60,101626.90,102377.72,101439.65,102324.86,110401.84,73866.86,,,,
28,INFRA,BSE INDIA INFRA INDEX,588.75,593.93,594.01,587.94,589.64,633.79,528.80,,,,
29,CPSE,BSE CPSE,3865.11,3889.92,3890.18,3853.28,3870.98,4265.39,3559.27,,,,
32,BSEFMC,BSE FMCG,18419.97,18552.48,18552.56,18411.05,18446.28,21490.85,16740.58,,,,
33,BSE HC,BSE Healthcare,50788.72,51203.27,51203.29,50594.35,50962.19,51318.20,40239.45,,,,
34,BSE IT,BSE IT,30148.26,30379.34,30390.58,30046.60,30173.83,38598.21,25164.70,,,,
35,MFG,BSE INDIA MFG INDEX,1095.36,1104.54,1104.63,1098.63,1100.38,1124.57,999.44,,,,
37,COMDTY,BSE COMMODITIES,8705.52,8784.82,8809.13,8733.46,8796.44,8923.87,7268.95,,,,
38,CONDIS,BSE CONSUMER DISCRE,10236.16,10324.10,10376.12,10284.59,10325.48,10376.12,8158.47,,,,
39,ENERGY,BSE ENERGY,11357.33,11430.48,11438.22,11283.82,11310.71,12537.31,10920.35,,,,
40,FINSER,BSE FINANCIAL SERVCS,12646.26,12720.97,12735.82,12640.15,12696.13,13392.39,10959.13,,,,
41,INDSTR,BSE INDUSTRIALS,16291.23,16395.25,16479.62,16345.01,16366.66,17152.55,13118.74,,,,
43,MIDSEL,BSE MIDCAP SELECT,18657.34,18800.34,18824.86,18723.62,18741.76,18849.34,14644.25,,,,
44,SMLSEL,BSE SMALLCAP SELECT,8902.80,8950.68,8995.27,8938.73,8968.10,8995.27,6803.36,,,,
45,TELCOM,BSE TELECOMMUNICATION,3596.98,3657.34,3662.15,3600.95,3607.60,3793.58,2676.37,,,,
46,UTILS,BSE UTILITIES,5774.85,5813.61,5830.43,5761.51,5774.19,6419.58,4789.17,,,,
47,SNSX50,BSE SENSEX 50,25711.37,25933.63,25933.63,25717.04,25805.34,27541.52,23185.03,,,,
48,SNXT50,BSE SENSEX NEXT 50,88860.90,89618.51,89742.72,88992.96,89045.72,89802.84,74029.08,,,,
49,BHRT22,BSE BHARAT 22 INDEX,8946.22,9007.30,9013.96,8952.17,8978.60,9837.10,8145.03,,,,
50,ESG100,BSE 100 ESG INDEX,416.71,420.31,420.31,416.90,418.09,440.83,370.38,,,,
55,MID150,BSE 150 MIDCAP INDEX,17148.21,17261.96,17269.29,17194.49,17207.26,17269.29,14130.50,,,,
56,SML250,BSE 250 SMALLCAP,7171.55,7225.64,7243.53,7203.16,7222.09,7243.53,5605.74,,,,
57,LMI250,BSE 250 LARGEMIDCAP,10933.16,11023.37,11023.37,10945.64,10970.77,11319.13,9557.65,,,,
58,MSL400,BSE 400 MIDSMALLCAP,12801.55,12890.42,12904.36,12843.89,12861.31,12904.36,10400.68,,,,
59,BSEDSI,BSE DVND STABILITY,1057.23,1067.24,1067.36,1059.05,1060.86,1095.64,951.00,,,,
60,BSEEVI,BSE ENHANCED VALUE,1030.48,1039.90,1040.74,1033.35,1035.62,1150.94,891.58,,,,
61,BSELVI,BSE LOW VOLATILITY,1798.47,1816.98,1816.98,1801.30,1805.92,1917.30,1623.09,,,,
62,BSEMOI,BSE MOMENTUM INDEX,2229.04,2249.47,2249.97,2235.74,2244.88,2323.97,1894.58,,,,
63,BSEQUI,BSE QUALITY INDEX,1912.21,1929.67,1929.67,1917.68,1921.21,1946.48,1662.93,,,,
64,DFRGRI,BSE DIVERS FIN REV GR,1712.38,1724.30,1725.14,1714.20,1719.76,1727.76,1391.52,,,,
65,LCTMCI,BSE 100 LARGECAP TMC,9237.63,9318.34,9318.34,9243.34,9269.39,9738.10,8212.16,,,,
66,BSEPBI,BSE PRIVATE BANKS,20121.50,20185.86,20207.61,20009.77,20107.44,21724.28,17277.69,,,,
67,BSESER,BSE Services,1661.99,1689.92,1690.03,1666.32,1674.07,1706.54,1281.34,,,,
68,SNXN30,BSE SENSEX NEXT 30,42680.12,43175.55,43183.53,42913.77,43090.33,43183.53,36415.87,,,,
69,SNSX60,BSE SENSEX SIXTY,33254.75,33547.51,33547.51,33270.93,33376.74,35434.57,29895.59,,,,
70,SS6535,BSE SENSEXSIXTY 65:35,34397.06,34715.37,34715.37,34455.75,34556.08,35978.21,30645.29,,,,
71,POWENE,BSE POWER & ENERGY,3953.09,3979.64,3981.02,3938.59,3943.96,4309.06,3582.65,,,,
72,200EQW,BSE 200 EQUAL WEIGHT,13886.11,13994.07,13994.07,13912.35,13926.13,13997.65,11639.89,,,,
73,INTECO,BSE INTERNET ECONOMY,3185.94,3219.21,3219.66,3172.16,3177.00,3265.21,2539.25,,,,
74,CAPINS,BSE CAP MKTS & INSU,2336.15,2358.79,2361.45,2345.10,2348.95,2492.58,2077.55,,,,
75,FOCIT,BSE FOCUSED IT,37675.23,37931.76,38032.50,37636.70,37726.98,46730.83,31290.99,,,,
76,PRECON,BSE PREMIUM CONSUMPT,5612.05,5667.68,5667.79,5620.97,5633.14,5740.96,4372.00,,,,
77,FOCMID,BSE FOCUSED MIDCAP,25975.57,26133.04,26141.31,25986.95,26007.43,26149.98,20835.25,,,,
78,BBGEFS,BSE SEL BUSINESS GRP,4488.01,4523.55,4526.13,4491.35,4505.18,4687.06,3943.92,,,,
79,SENEQW,BSE SENSEX EQUAL WGT,81692.82,82513.96,82513.96,81717.81,81972.84,84150.53,71747.48,,,,
80,SELIPO,BSE Select IPO,4782.74,4816.84,4817.10,4793.40,4805.39,5071.31,3783.19,,,,
81,PSUBNK,BSE PSU BANK,4759.42,4795.84,4839.73,4784.01,4792.24,5590.18,3804.43,,,,
82,INSLDR,BSE INDIA SECT LEADER,15002.48,15126.84,15126.86,15005.61,15036.41,15659.83,13195.93,,,,
