"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 11-Aug-2026","1W AGO 
 04-Aug-2026","1M AGO 
 10-Jul-2026","1Y AGO 
 08-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY 50","24,326.70","-0.45","24,431.60","24,431.60","24,316.30","-","24,435.95","24,435.95","24,636.00","24,211.00","24,487.40","26,373.20","22,182.55",0.48,-1.19
"NIFTY NEXT 50","74,549.70","-0.27","74,824.20","74,851.00","74,461.55","-","74,748.10","74,748.10","74,526.75","72,111.40","66,223.90","74,878.45","59,896.10",3.38,11.9
"NIFTY BANK","57,563.15","-0.56","57,799.15","57,799.15","57,550.25","-","57,885.85","57,885.85","58,063.65","58,131.45","55,043.70","61,764.85","49,954.85",-0.98,4.32
"NIFTY FINANCIAL SERVICES","26,327.45","-0.38","26,428.15","26,428.15","26,310.90","-","26,426.75","26,426.75","26,863.50","26,836.15","26,135.30","28,562.50","23,373.95",-1.9,0.34
"NIFTY MIDCAP SELECT","15,011.15","-0.14","15,024.55","15,033.50","14,988.10","-","15,032.65","15,032.65","14,812.60","14,839.65","12,561.60","15,032.65","12,046.20",1.16,18.21
"NIFTY INDIA FPI 150","1,581.20","-0.46","1,588.25","1,588.25","1,580.25","-","1,588.55","1,588.55","1,593.15","1,562.75","-","1,641.40","1,346.50",1.18,0
"NIFTY 100","25,495.65","-0.41","25,602.35","25,602.35","25,481.60","-","25,601.20","25,601.20","25,757.40","25,240.80","25,085.40","26,975.15","22,720.45",1.01,1.08
"NIFTY 200","14,154.80","-0.37","14,206.85","14,206.85","14,146.65","-","14,206.85","14,206.85","14,244.75","14,003.10","13,636.70","14,700.95","12,396.10",1.08,3.22
"NIFTY 500","23,610.35","-0.26","23,678.70","23,678.70","23,596.65","-","23,672.45","23,672.45","23,729.45","23,347.05","22,568.60","24,144.20","20,385.65",1.13,4.02
"NIFTY MIDCAP 50","18,315.25","-0.22","18,347.90","18,351.30","18,290.25","-","18,355.95","18,355.95","18,125.25","18,089.55","15,856.05","18,355.95","14,804.55",1.25,14.49
"NIFTY MIDCAP 100","63,905.35","-0.19","64,013.25","64,017.80","63,845.90","-","64,024.40","64,024.40","63,326.80","63,040.95","56,324.85","64,026.20","52,032.85",1.37,12.74
"NIFTY SMALLCAP 100","19,891.85","0.35","19,855.75","19,896.70","19,841.50","-","19,821.65","19,821.65","19,878.25","19,422.95","17,498.10","19,936.55","14,986.00",2.41,12.93
"INDIA VIX","11.68","-0.06","11.69","12.20","10.65","-","11.69","11.69","12.16","13.28","12.23","28.91","8.72",-12.05,-3.79
"NIFTY MIDCAP 150","23,501.35","-0.09","23,525.55","23,531.75","23,476.50","-","23,521.50","23,521.50","23,310.55","23,167.40","20,935.20","23,528.90","19,218.00",1.44,11.55
"NIFTY SMALLCAP 50","9,951.30","0.37","9,927.05","9,956.55","9,918.75","-","9,914.30","9,914.30","9,945.05","9,638.20","8,473.45","9,983.75","7,338.35",3.25,16.66
"NIFTY SMALLCAP 250","18,397.15","0.34","18,369.00","18,401.90","18,359.60","-","18,335.65","18,335.65","18,358.65","18,171.85","16,621.20","18,427.85","14,143.45",1.24,9.98
"NIFTY MIDSMALLCAP 400","21,646.35","0.06","21,649.65","21,666.30","21,617.25","-","21,633.75","21,633.75","21,515.30","21,353.10","19,390.50","21,664.45","17,390.85",1.37,10.93
"NIFTY500 MULTICAP 50:25:25","16,756.20","-0.14","16,788.90","16,788.90","16,746.45","-","16,780.15","16,780.15","16,798.75","16,560.90","15,714.95","16,847.15","14,102.20",1.18,6
