SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"JUBLFOOD","495.35","520.80","495.00","491.55","518.60","-","27.05","5.5","2463715","126.39","670.45","408.55","16.62","-23.17"
"PAGEIND","37,750.00","38,290.00","37,285.00","36,520.00","37,400.00","-","880","2.41","35987","135.97","47,310.00","29,805.00","-9.89","-16.09"
"BHEL","419.95","430.00","416.55","420.00","429.20","-","9.2","2.19","2395611","102.03","446.50","205.12","3.99","87.51"
"POWERINDIA","35,385.00","36,230.00","35,360.00","35,360.00","36,020.00","-","660","1.87","23809","85.71","38,785.00","16,111.00","8.83","67.42"
"MANKIND","2,412.50","2,447.30","2,412.50","2,404.40","2,443.70","-","39.3","1.63","72535","17.68","2,674.00","1,909.70","-5.01","-2.5"
"APOLLOHOSP","8,615.00","8,736.00","8,588.50","8,600.00","8,736.00","-","146","1.7","113045","98.24","9,050.00","6,696.50","-3.38","10.14"
"CUMMINSIND","5,348.00","5,418.00","5,339.50","5,315.00","5,397.00","-","82","1.54","55083","29.73","6,100.00","3,729.50","-3.25","40.16"
"ASHOKLEY","177.11","178.98","176.60","176.23","178.80","-","2.57","1.46","1671973","29.72","215.42","119.15","13.56","47.19"
"VOLTAS","1,292.00","1,311.20","1,290.00","1,289.50","1,308.10","-","18.6","1.44","186415","24.26","1,582.50","1,186.80","-5.11","1.05"
"CONCOR","535.00","540.90","533.00","533.65","540.25","-","6.6","1.24","385135","20.69","569.80","421.45","8.21","-1.46"
"SIEMENS","3,968.10","4,043.50","3,968.10","3,987.00","4,028.10","-","41.1","1.03","25441","10.24","4,097.90","2,826.00","13.58","26.54"
"ETERNAL","317.80","320.60","316.80","318.00","319.95","-","1.95","0.61","3040804","97.07","368.45","212.60","11.13","1.81"
"PNB","117.88","118.46","117.65","117.59","118.28","-","0.69","0.59","964718","11.40","135.15","98.50","11.99","10.27"
"ABB","7,710.00","7,784.00","7,710.00","7,710.00","7,755.00","-","45","0.58","13499","10.47","7,924.50","4,637.50","11.87","51.56"
"GVT&D","4,325.30","4,362.40","4,288.50","4,304.70","4,327.40","-","22.7","0.53","79112","34.26","5,650.00","2,523.20","-4.31","47.58"
"WIPRO","183.55","185.34","183.55","183.10","184.04","-","0.94","0.51","852866","15.71","273.10","169.00","3.36","-24.23"
"ADANIPORTS","1,658.00","1,668.00","1,657.20","1,658.00","1,665.90","-","7.9","0.48","127215","21.16","1,891.10","1,290.50","-9","25.64"
"BAJFINANCE","1,090.80","1,098.50","1,089.60","1,090.80","1,095.60","-","4.8","0.44","795299","87.04","1,176.40","787.90","8.36","26.84"
"LODHA","1,237.90","1,243.80","1,235.90","1,232.30","1,237.50","-","5.2","0.42","122317","15.17","1,344.95","650.80","7.41","0.53"
"NHPC","77.52","77.95","77.52","77.50","77.81","-","0.31","0.4","256990","2.00","89.22","71.62","-1.61","-8.94"
"ADANIENSOL","1,588.00","1,603.70","1,575.00","1,583.00","1,589.20","-","6.2","0.39","697489","110.84","1,789.00","744.90","-6.35","101.32"
"BPCL","314.85","316.35","314.05","315.00","316.20","-","1.2","0.38","378170","11.92","391.65","266.60","3.16","-2.33"
"ADANIGREEN","1,319.00","1,329.70","1,315.10","1,319.00","1,323.20","-","4.2","0.32","108908","14.42","1,631.50","765.00","-17.79","42.73"
"DELHIVERY","466.95","469.35","466.50","467.00","468.50","-","1.5","0.32","70069","3.28","524.00","374.45","-8.81","-0.02"
"IDEA","13.53","13.62","13.49","13.51","13.55","-","0.04","0.3","29734913","40.29","15.34","6.12","-2.31","112.42"
"DIVISLAB","8,499.50","8,537.00","8,465.50","8,500.00","8,524.00","-","24","0.28","25688","21.87","8,674.00","5,636.50","18.24","39.33"
"MFSL","1,555.00","1,574.90","1,511.20","1,512.40","1,516.50","-","4.1","0.27","1069605","165.01","1,892.50","1,433.60","-6.16","-4.76"
"BAJAJ-AUTO","11,698.00","11,750.00","11,673.00","11,661.00","11,691.00","-","30","0.26","8950","10.48","11,863.00","8,189.00","14.71","41.37"
"MOTHERSON","167.42","168.20","166.71","167.40","167.83","-","0.43","0.26","678662","11.37","172.00","89.86","17.84","79.25"
"POLYCAB","9,297.00","9,328.50","9,268.00","9,297.00","9,317.00","-","20","0.22","9851","9.17","10,126.00","6,663.00","-2.47","33.46"
"ICICIBANK","1,403.00","1,410.00","1,401.00","1,406.80","1,409.70","-","2.9","0.21","506189","71.10","1,480.00","1,187.60","-0.06","-0.99"
"ANGELONE","292.00","293.00","290.15","292.00","292.60","-","0.6","0.21","431629","12.61","360.45","208.63","-12.46","-88.9"
"SWIGGY","279.00","281.00","278.45","279.80","280.35","-","0.55","0.2","515761","14.43","474.00","235.75","8.11","-30.12"
"TITAN","5,064.00","5,074.40","5,046.40","5,063.70","5,073.50","-","9.8","0.19","68906","34.88","5,168.00","3,303.10","10.71","46.06"
"360ONE","1,179.00","1,191.50","1,175.00","1,183.00","1,185.10","-","2.1","0.18","86002","10.20","1,236.20","906.05","7.66","15.08"
"UNIONBANK","187.33","187.65","186.50","186.50","186.84","-","0.34","0.18","905916","16.96","205.49","124.64","9.28","37.45"
"NESTLEIND","1,506.90","1,510.90","1,498.10","1,506.90","1,509.50","-","2.6","0.17","74335","11.21","1,553.00","1,084.70","5.59","37.38"
"MOTILALOFS","900.05","903.30","896.60","897.50","898.95","-","1.45","0.16","23454","2.11","1,097.10","614.90","-7.19","-3.38"
"POWERGRID","267.00","267.35","265.75","266.60","267.00","-","0.4","0.15","266068","7.10","324.95","250.00","-6.83","-7.49"
"AUROPHARMA","1,662.40","1,670.00","1,655.20","1,663.40","1,665.70","-","2.3","0.14","28939","4.82","1,682.40","1,016.10","7.12","54.28"
"DIXON","14,009.00","14,143.00","13,999.00","14,035.00","14,054.00","-","19","0.14","20155","28.37","18,471.00","9,600.00","5.01","-12.02"
"CIPLA","1,457.50","1,462.40","1,451.90","1,458.80","1,460.80","-","2","0.14","36877","5.38","1,673.00","1,165.70","1.44","-6.55"
"BHARTIARTL","1,939.10","1,943.80","1,932.00","1,939.10","1,941.80","-","2.7","0.14","621698","120.48","2,174.50","1,740.50","0.13","3.84"
"PETRONET","279.25","282.00","277.15","279.30","279.65","-","0.35","0.13","159285","4.46","326.40","235.35","1.18","1.58"
"HDFCBANK","725.00","726.80","723.50","725.00","725.90","-","0.9","0.12","1920865","139.31","1,020.50","722.00","-10.43","-63.39"
"OBEROIRLTY","1,855.00","1,863.00","1,847.00","1,846.00","1,848.20","-","2.2","0.12","56263","10.45","1,986.10","1,391.20","-3.68","13.48"
"LTM","4,725.00","4,795.00","4,725.00","4,765.00","4,770.10","-","5.1","0.11","13135","6.27","6,429.50","3,528.00","17.28","0"
"TATACONSUM","1,090.50","1,093.40","1,085.50","1,090.50","1,091.70","-","1.2","0.11","67235","7.33","1,282.70","1,007.20","-0.65","3.26"
"BANKBARODA","248.00","248.49","247.50","248.00","248.21","-","0.21","0.08","575375","14.27","325.50","230.81","0.57","2.56"
"COCHINSHIP","1,509.10","1,524.20","1,497.40","1,507.00","1,508.20","-","1.2","0.08","112478","16.95","1,979.90","1,187.00","8.35","-10.46"
"MANAPPURAM","348.00","349.60","346.45","348.40","348.60","-","0.2","0.06","362588","12.61","381.55","245.15","6.19","36.15"
"HAVELLS","1,270.00","1,279.50","1,268.20","1,270.00","1,270.80","-","0.8","0.06","13390","1.71","1,621.10","1,123.60","6.97","-13.36"
"LUPIN","2,255.00","2,263.10","2,245.00","2,250.30","2,251.60","-","1.3","0.06","35844","8.08","2,529.50","1,875.00","-8.87","13.09"
