IndexCode,IndexID,IndexName,PreviousClose,OpenPrice,HighPrice,LowPrice,ClosePrice,52weeksHigh,52weeksLow,Filler1,Filler2,Filler3,Filler4
83,BS1000,BSE 1000,11116.90,11130.74,11130.75,11075.07,11087.15,11234.91,9480.66,,,,
89,QUAL50,BSE 500 QUALITY 50,22922.72,22979.71,22992.49,22858.41,22901.58,22992.49,19510.21,,,,
90,IND150,BSE INDIA 150,19013.90,19033.40,19033.40,18918.47,18945.32,19711.88,16644.76,,,,
91,DIVY50,BSE 500 Dvnd Leader50,3592.12,3600.81,3605.81,3583.98,3587.34,3794.17,3289.12,,,,
93,MOME50,BSE 500 MOMENTUM 50,46472.14,46489.34,46612.17,46268.43,46433.03,46627.03,37919.23,,,,
95,INSURE,BSE Insurance,1547.09,1551.86,1551.95,1532.45,1543.23,1845.38,1519.16,,,,
96,INDDEF,BSE India Defence,8084.20,8110.12,8117.38,8022.03,8048.62,8137.63,5881.43,,,,
99,BSHOSP,BSE Hospitals,5440.62,5445.53,5446.35,5318.86,5341.50,5498.15,4325.16,,,,
102,T10BNK,BSE Top 10 Banks,16875.10,16869.27,16872.26,16734.86,16793.66,18504.60,14995.72,,,,
109,MMOM30,BSE MCAP150MOMENTUM30,130241.22,129644.16,130105.38,128912.71,130099.06,130524.35,104515.98,,,,
114,BSMSPB,BSE MIDSML PB QLT TLT,2059.25,2060.66,2062.40,2036.44,2054.31,2080.36,1547.96,,,,
123,BSHFIN,BSE Housing Finance,1494.19,1497.61,1500.15,1485.73,1497.51,1589.31,1438.53,,,,
126,BLMD50,BSE LgMd60:40St Div50,3702.26,3700.08,3700.10,3677.48,3683.78,3707.90,3538.08,,,,
127,BSEMSP,BSE MidSmall Pvt Bnks,1739.72,1742.87,1743.92,1722.02,1732.29,1751.73,1656.15,,,,
