"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 05-Aug-2026","1W AGO 
 30-Jul-2026","1M AGO 
 06-Jul-2026","1Y AGO 
 05-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY 50","24,638.55","0.06","24,641.00","24,641.90","24,604.15","-","24,624.65","24,624.65","24,317.15","24,430.35","24,649.55","26,373.20","22,182.55",0.85,0.26
"NIFTY NEXT 50","74,377.80","-0.12","74,478.90","74,516.30","74,236.90","-","74,469.95","74,469.95","72,698.95","72,685.60","66,762.05","74,860.10","59,896.10",2.33,12.38
"NIFTY BANK","57,769.90","0.05","57,815.00","57,816.75","57,715.45","-","57,739.95","57,739.95","57,147.50","58,291.50","55,360.25","61,764.85","49,954.85",-0.89,4.26
"NIFTY FINANCIAL SERVICES","26,835.20","-0.03","26,869.65","26,879.25","26,819.25","-","26,843.90","26,843.90","26,251.25","26,993.85","26,373.50","28,562.50","23,373.95",-0.59,1.76
"NIFTY MIDCAP SELECT","14,870.50","-0.07","14,902.95","14,906.85","14,846.65","-","14,880.30","14,880.30","14,676.65","14,612.20","12,761.05","14,954.00","12,046.20",1.77,17.68
"NIFTY 100","25,750.20","0.02","25,758.60","25,758.60","25,720.05","-","25,744.05","25,744.05","25,368.75","25,464.45","25,257.95","26,975.15","22,720.45",1.12,2.36
"NIFTY 200","14,248.85","-0.02","14,260.05","14,260.05","14,232.10","-","14,251.35","14,251.35","14,041.95","14,076.65","13,750.75","14,700.95","12,396.10",1.22,4.11
"NIFTY 500","23,733.90","-0.01","23,756.15","23,756.15","23,708.55","-","23,735.55","23,735.55","23,353.55","23,433.95","22,798.50","24,144.20","20,385.65",1.28,4.71
"NIFTY MIDCAP 50","18,214.30","-0.02","18,256.90","18,256.90","18,189.25","-","18,218.45","18,218.45","18,028.65","17,863.55","16,084.50","18,324.45","14,804.55",1.96,14.16
"NIFTY MIDCAP 100","63,490.10","-0.18","63,656.25","63,657.35","63,403.00","-","63,605.25","63,605.25","62,641.75","62,471.50","57,206.85","63,852.15","52,032.85",1.63,11.88
"NIFTY SMALLCAP 100","19,831.75","0.24","19,869.30","19,874.85","19,806.25","-","19,783.70","19,783.70","19,254.45","19,319.10","17,864.55","19,823.65","14,986.00",2.65,12.28
"INDIA VIX","11.92","-1.18","12.06","12.08","10.10","-","12.06","12.06","12.16","11.82","11.71","28.91","8.72",0.85,-0.33
"NIFTY MIDCAP 150","23,363.45","-0.17","23,419.55","23,420.80","23,334.65","-","23,403.45","23,403.45","23,031.25","22,973.35","21,288.85","23,479.70","19,218.00",1.7,10.74
"NIFTY SMALLCAP 50","9,892.15","0.50","9,901.25","9,906.10","9,874.55","-","9,843.15","9,843.15","9,593.10","9,578.15","8,619.00","9,866.40","7,338.35",3.28,16.21
"NIFTY SMALLCAP 250","18,343.00","0.11","18,379.10","18,384.30","18,329.30","-","18,321.95","18,321.95","17,845.60","18,078.60","16,974.45","18,366.90","14,143.45",1.46,9.38
"NIFTY MIDSMALLCAP 400","21,541.00","-0.07","21,589.55","21,591.60","21,519.80","-","21,556.75","21,556.75","21,139.35","21,198.10","19,747.80","21,620.15","17,390.85",1.62,10.19
"NIFTY500 MULTICAP 50:25:25","16,802.25","-","16,823.30","16,823.30","16,786.15","-","16,802.55","16,802.55","16,503.95","16,577.70","15,918.15","16,833.50","14,102.20",1.35,6.33
"NIFTY LARGEMIDCAP 250","16,965.45","-0.07","16,988.55","16,988.55","16,946.40","-","16,977.95","16,977.95","16,719.20","16,729.75","16,029.10","17,077.75","14,445.65",1.41,6.54
"NIFTY TOTAL MARKET","13,398.00","0.01","13,409.60","13,409.60","13,383.65","-","13,396.25","13,396.25","13,166.25","13,220.20","12,835.70","13,548.00","11,436.55",1.34,5.01
"NIFTY MICROCAP 250","26,072.30","0.45","26,055.65","26,072.30","26,008.30","-","25,956.70","25,956.70","24,908.10","25,369.85","23,598.60","25,978.50","18,858.50",2.77,11.69
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","18,765.40","-0.01","18,794.75","18,794.75","18,748.30","-","18,767.35","18,767.35","18,413.85","18,500.75","17,583.70","18,807.70","15,495.10",1.43,7.62
"NIFTY INDIA FPI 150","1,595.35","-0.02","1,596.40","1,596.40","1,593.40","-","1,595.65","1,595.65","1,572.40","1,569.05","-","1,641.40","1,346.50",1.68,0
"NIFTY SMALLCAP 500","20,883.55","0.21","20,909.50","20,915.25","20,860.10","-","20,839.55","20,839.55","20,209.45","20,507.35","-","20,871.35","15,960.20",1.83,0
