"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 05-Aug-2026","1W AGO 
 30-Jul-2026","1M AGO 
 06-Jul-2026","1Y AGO 
 05-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY MIDSMALLCAP400 50:50","21,005.00","-0.03","21,050.85","21,053.55","20,986.40","-","21,010.85","21,010.85","20,570.60","20,678.25","-","21,069.60","16,874.30",1.58,0
"NIFTY AUTO","29,292.35","-0.41","29,375.40","29,383.95","29,240.00","-","29,411.55","29,411.55","28,279.10","27,353.95","23,876.30","29,489.20","23,439.05",7.09,23.34
"NIFTY FINANCIAL SERVICES 25/50","29,278.30","0.02","29,314.05","29,331.25","29,264.00","-","29,271.00","29,271.00","28,720.25","29,422.60","28,392.40","-","-",-0.49,3.26
"NIFTY FMCG","49,425.40","0.08","49,375.30","49,426.50","49,310.25","-","49,383.50","49,383.50","49,642.05","50,196.35","55,733.70","58,485.05","45,334.15",-1.54,-10.51
"NIFTY IT","31,645.40","0.77","31,467.90","31,701.90","31,437.10","-","31,404.05","31,404.05","31,194.55","27,276.45","35,034.50","40,301.40","25,699.10",16.02,-8.08
"NIFTY MEDIA","1,575.55","0.03","1,578.50","1,579.90","1,571.10","-","1,575.15","1,575.15","1,585.45","1,497.95","1,640.05","1,674.40","1,245.05",5.18,-2.79
"NIFTY METAL","13,205.85","-0.38","13,316.20","13,322.80","13,193.00","-","13,256.35","13,256.35","12,701.80","12,722.45","9,336.05","13,931.35","9,127.25",3.8,42.02
"NIFTY PHARMA","26,634.15","0.27","26,593.85","26,636.15","26,583.20","-","26,563.55","26,563.55","26,346.05","25,866.25","21,970.15","26,801.20","21,149.90",2.97,23.74
"NIFTY PSU BANK","8,552.35","0.13","8,547.85","8,553.75","8,525.90","-","8,541.30","8,541.30","8,327.65","8,333.95","6,848.65","9,918.65","6,730.30",2.62,24.14
"NIFTY PRIVATE BANK","27,750.50","0.02","27,786.50","27,788.15","27,729.05","-","27,744.25","27,744.25","27,515.00","28,347.25","26,873.75","29,748.45","23,957.45",-2.11,3.35
"NIFTY REALTY","895.80","-0.32","901.40","902.25","893.90","-","898.70","898.70","899.50","906.95","907.85","974.50","638.65",-1.23,0.18
"NIFTY HEALTHCARE INDEX","16,745.20","0.21","16,730.10","16,747.55","16,705.20","-","16,709.90","16,709.90","16,699.65","16,481.35","14,481.55","16,921.05","13,536.50",1.6,17.73
"NIFTY CONSUMER DURABLES","40,356.85","0.24","40,202.70","40,379.35","40,189.20","-","40,258.40","40,258.40","40,251.10","37,376.45","38,461.90","40,631.50","32,587.95",7.97,5.83
"NIFTY OIL & GAS","11,214.00","-0.02","11,244.75","11,244.75","11,189.85","-","11,216.05","11,216.05","11,127.75","11,261.10","11,044.70","12,445.70","10,580.95",-0.42,1.78
"NIFTY MIDSMALL HEALTHCARE","52,139.30","0.22","52,248.45","52,262.60","52,034.40","-","52,025.85","52,025.85","51,833.75","50,961.50","44,426.60","52,260.90","40,352.90",2.31,18.9
"NIFTY FINANCIAL SERVICES EX-BANK","33,108.95","-0.14","33,179.00","33,195.65","33,089.95","-","33,155.30","33,155.30","31,866.55","32,188.45","29,173.60","33,296.50","26,788.05",2.86,14.12
"NIFTY MIDSMALL FINANCIAL SERVICES","22,424.35","-","22,476.40","22,494.55","22,398.65","-","22,423.70","22,423.70","22,112.45","22,425.70","17,799.70","22,772.50","17,421.50",-0.01,26.49
"NIFTY MIDSMALL IT & TELECOM","9,889.65","0.50","9,888.35","9,904.85","9,867.60","-","9,840.30","9,840.30","9,695.55","9,298.75","9,497.70","10,591.60","7,748.35",6.35,6.15
"NIFTY CHEMICALS","30,533.05","0.45","30,527.65","30,555.55","30,445.15","-","30,396.80","30,396.80","29,989.10","30,222.70","31,176.96","31,895.45","24,851.65",1.03,-1.02
"NIFTY500 HEALTHCARE","21,713.80","0.28","21,703.65","21,717.60","21,664.05","-","21,653.10","21,653.10","21,565.25","21,309.65","-","21,820.70","16,294.60",1.9,0
"NIFTY REITS & REALTY","1,941.05","-0.14","1,946.05","1,947.55","1,939.70","-","1,943.80","1,943.80","1,947.40","1,946.30","-","2,012.90","1,632.55",-0.27,0
"NIFTY CEMENT","15,489.85","-0.47","15,585.10","15,588.20","15,476.85","-","15,562.80","15,562.80","15,276.90","15,338.90","-","18,188.60","13,534.80",0.98,0
"NIFTY DIVIDEND OPPORTUNITIES 50","6,046.80","-0.06","6,042.75","6,047.70","6,035.85","-","6,050.25","6,050.25","5,948.85","5,798.55","5,852.30","6,584.65","5,614.00",4.28,3.94
"NIFTY GROWTH SECTORS 15","11,819.60","0.31","11,774.10","11,821.95","11,772.75","-","11,783.60","11,783.60","11,664.70","10,932.15","11,398.80","12,852.45","10,329.35",8.12,4.97
"NIFTY100 QUALITY 30","5,774.80","0.30","5,764.95","5,776.75","5,757.30","-","5,757.40","5,757.40","5,693.65","5,549.05","5,503.75","-","-",4.07,6.01
"NIFTY50 VALUE 20","12,101.60","0.09","12,104.50","12,110.90","12,087.55","-","12,090.30","12,090.30","11,992.20","12,099.55","12,420.05","13,684.40","11,528.60",0.02,-1.91
"NIFTY50 TR 2X LEVERAGE","19,017.65","0.10","19,021.25","19,021.55","18,970.00","-","18,998.60","18,998.60","18,511.95","18,718.45","19,930.55","22,435.45","15,547.15",1.6,-4
"NIFTY50 PR 2X LEVERAGE","12,488.45","0.10","12,490.85","12,491.00","12,457.15","-","12,475.95","12,475.95","12,179.85","12,348.60","13,402.90","14,993.40","10,365.70",1.13,-6.24
"NIFTY50 TR 1X INVERSE","174.75","-0.06","174.75","175.00","174.75","-","174.85","174.85","177.15","176.15","170.75","193.35","161.80",-0.79,2.04
"NIFTY50 PR 1X INVERSE","215.30","-0.05","215.30","215.55","215.25","-","215.40","215.40","218.00","216.50","208.00","236.50","197.80",-0.55,3.19
"NIFTY50 DIVIDEND POINTS","182.42","-","182.42","182.42","182.42","-","182.42","182.42","158.29","126.28","170.49","-","-",44.46,5.3
"NIFTY ALPHA 50","55,619.65","-0.18","55,781.10","55,807.40","55,529.40","-","55,719.80","55,719.80","53,607.30","53,904.40","51,728.45","-","-",3.18,9.17
"NIFTY50 EQUAL WEIGHT","33,860.45","-","33,854.30","33,861.75","33,790.05","-","33,861.50","33,861.50","33,297.95","33,094.90","30,997.50","-","-",2.31,9.8
"NIFTY100 EQUAL WEIGHT","35,614.55","-0.07","35,653.30","35,661.50","35,571.90","-","35,637.95","35,637.95","34,930.65","34,797.35","32,236.45","-","-",2.35,11.27
"NIFTY100 LOW VOLATILITY 30","20,764.35","0.10","20,728.00","20,766.85","20,704.05","-","20,744.05","20,744.05","20,556.60","20,191.60","19,919.25","-","-",2.84,5.24
"NIFTY200 QUALITY 30","20,928.45","0.23","20,869.30","20,934.65","20,860.15","-","20,879.95","20,879.95","20,668.20","20,077.80","20,261.35","-","-",4.24,3.89
"NIFTY ALPHA LOW-VOLATILITY 30","27,629.95","-0.15","27,619.20","27,631.45","27,571.70","-","27,670.60","27,670.60","27,374.45","26,946.90","26,186.00","-","-",2.53,6.56
"NIFTY200 MOMENTUM 30","30,875.20","-0.64","30,972.85","30,996.35","30,810.55","-","31,074.10","31,074.10","30,114.80","30,725.95","30,179.85","-","-",0.49,2.75
"NIFTY MIDCAP150 QUALITY 50","24,862.95","0.02","24,865.50","24,867.10","24,817.10","-","24,859.00","24,859.00","24,380.40","24,106.75","24,276.50","-","-",3.14,3.46
"NIFTY200 ALPHA 30","26,471.75","-0.52","26,569.75","26,583.20","26,417.60","-","26,610.10","26,610.10","25,863.95","26,315.70","24,764.90","-","-",0.59,7.94
"NIFTY MIDCAP150 MOMENTUM 50","63,409.95","-0.43","63,606.25","63,613.20","63,303.35","-","63,682.20","63,682.20","62,140.50","62,553.55","61,111.00","-","-",1.37,4.9
"NIFTY500 MOMENTUM 50","54,209.50","-0.56","54,365.70","54,405.55","54,089.90","-","54,514.10","54,514.10","52,461.90","53,405.95","51,799.70","-","-",1.5,5.62
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","51,599.90","-0.15","51,748.35","51,748.40","51,550.45","-","51,675.75","51,675.75","50,557.30","50,693.00","48,480.20","-","-",1.79,7.57
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","48,186.10","0.28","48,354.05","48,381.35","48,165.30","-","48,052.70","48,052.70","46,779.10","47,501.05","45,472.80","-","-",1.44,7.13
"NIFTY TOP 10 EQUAL WEIGHT","8,787.25","0.13","8,777.85","8,788.80","8,769.95","-","8,775.55","8,775.55","8,708.25","8,627.65","9,422.35","-","-",1.85,-6.42
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","23,358.95","-0.03","23,338.25","23,359.00","23,300.05","-","23,366.40","23,366.40","23,249.65","23,097.50","21,988.25","-","-",1.13,7.36
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","20,716.90","-0.07","20,745.60","20,748.25","20,693.70","-","20,730.80","20,730.80","20,548.95","20,345.70","20,255.60","-","-",1.82,3.26
"NIFTY HIGH BETA 50","4,504.00","0.05","4,515.05","4,517.00","4,500.45","-","4,501.60","4,501.60","4,398.00","4,410.00","3,654.45","-","-",2.13,24.51
"NIFTY LOW VOLATILITY 50","25,313.40","0.04","25,298.85","25,314.55","25,263.40","-","25,304.05","25,304.05","25,091.20","24,746.60","24,621.45","-","-",2.29,3.5
"NIFTY QUALITY LOW-VOLATILITY 30","17,079.35","0.11","17,067.60","17,081.20","17,041.90","-","17,060.00","17,060.00","17,010.30","16,612.35","16,859.60","-","-",2.81,2.17
"NIFTY SMALLCAP250 QUALITY 50","25,818.95","0.18","25,838.75","25,872.65","25,788.70","-","25,773.40","25,773.40","25,355.30","25,182.40","26,840.25","-","-",2.53,-2.73
"NIFTY TOP 15 EQUAL WEIGHT","10,061.70","-0.04","10,060.40","10,064.55","10,050.25","-","10,065.50","10,065.50","9,897.45","9,852.80","10,090.15","-","-",2.12,-0.01
"NIFTY100 ALPHA 30","18,414.60","-0.32","18,458.00","18,474.55","18,378.65","-","18,473.20","18,473.20","17,899.85","18,244.60","18,090.05","-","-",0.93,2.45
"NIFTY200 VALUE 30","15,274.30","-0.39","15,335.45","15,342.40","15,261.60","-","15,334.45","15,334.45","15,084.85","15,187.65","12,757.65","-","-",0.57,19.94
"NIFTY500 EQUAL WEIGHT","15,188.10","-0.01","15,213.30","15,215.20","15,174.60","-","15,190.20","15,190.20","14,868.20","14,938.45","14,145.60","-","-",1.67,8.47
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","41,227.00","-0.19","41,258.55","41,285.95","41,148.20","-","41,305.00","41,305.00","40,344.90","41,503.55","41,194.65","-","-",-0.67,1.28
"NIFTY500 VALUE 50","16,341.90","-0.36","16,404.10","16,406.70","16,327.50","-","16,400.15","16,400.15","16,079.60","16,203.25","13,807.95","-","-",0.86,18.79
"NIFTY TOP 20 EQUAL WEIGHT","9,072.45","0.10","9,052.90","9,074.25","9,049.20","-","9,063.25","9,063.25","8,955.30","8,752.50","8,949.00","-","-",3.66,1.65
"NIFTY500 QUALITY 50","20,019.45","-0.02","20,007.30","20,022.30","19,976.15","-","20,022.60","20,022.60","19,730.35","19,694.35","19,078.25","-","-",1.65,5.92
"NIFTY500 LOW VOLATILITY 50","22,870.80","-0.13","22,879.05","22,883.10","22,832.45","-","22,899.70","22,899.70","22,754.75","22,228.20","21,287.55","-","-",2.89,8.41
"NIFTY500 MULTIFACTOR MQVLV 50","31,461.25","-0.26","31,504.85","31,512.85","31,427.15","-","31,542.85","31,542.85","31,214.05","31,169.55","30,346.20","-","-",0.94,4.57
"NIFTY50 USD","8,972.95","0.04","8,969.35","9,130.60","8,961.70","-","8,969.35","8,969.35","8,806.45","8,873.52","-","-","-",1.12,-7.54
"NIFTY500 FLEXICAP QUALITY 30","10,296.55","0.29","10,298.50","10,300.50","10,284.20","-","10,266.90","10,266.90","10,165.70","9,797.45","-","-","-",5.09,0
"NIFTY TOTAL MARKET MOMENTUM QUALITY 50","43,837.25","-0.44","43,827.75","43,873.90","43,673.30","-","44,029.85","44,029.85","42,735.40","43,748.60","-","-","-",0.2,0
"NIFTY COMMODITIES","9,970.30","-0.34","10,015.20","10,016.50","9,954.80","-","10,004.00","10,004.00","9,825.35","9,948.60","8,748.25","10,569.65","8,560.60",0.22,14.51
"NIFTY INDIA CONSUMPTION","12,210.85","-0.10","12,212.50","12,214.25","12,179.00","-","12,222.70","12,222.70","12,084.15","11,873.20","11,790.00","12,716.20","10,298.50",2.84,3.94
"NIFTY CPSE","6,485.90","-0.62","6,509.60","6,514.65","6,481.80","-","6,526.25","6,526.25","6,512.75","6,742.60","6,353.55","7,593.35","6,101.90",-3.81,2.39
"NIFTY ENERGY","38,578.65","-0.65","38,730.85","38,733.55","38,517.65","-","38,830.05","38,830.05","38,313.55","39,481.45","34,914.40","41,828.55","32,890.30",-2.29,11.23
"NIFTY INFRASTRUCTURE","9,432.90","-0.21","9,443.30","9,443.30","9,415.50","-","9,452.75","9,452.75","9,345.05","9,520.15","9,042.90","9,792.60","8,426.65",-0.92,4.59
"NIFTY100 LIQUID 15","7,706.70","-0.04","7,704.90","7,707.50","7,690.55","-","7,709.55","7,709.55","7,521.65","7,571.50","6,890.15","7,774.60","6,565.70",1.79,12.17
"NIFTY MIDCAP LIQUID 15","17,053.40","0.16","17,062.75","17,062.75","17,023.75","-","17,026.60","17,026.60","16,772.45","16,606.75","14,864.65","17,142.65","13,702.75",2.69,15.89
"NIFTY MNC","33,497.25","-0.26","33,511.20","33,511.20","33,405.35","-","33,586.25","33,586.25","32,848.25","33,181.10","28,718.40","33,825.60","27,597.20",0.95,17.98
"NIFTY PSE","9,913.35","-0.38","9,940.30","9,944.75","9,906.80","-","9,951.45","9,951.45","9,893.20","10,029.10","9,623.25","10,839.05","9,168.35",-1.15,3.43
"NIFTY SERVICES SECTOR","31,573.25","0.04","31,590.15","31,590.15","31,542.30","-","31,559.70","31,559.70","31,185.50","31,248.00","32,410.10","34,549.75","28,232.65",1.04,-2.29
"NIFTY100 ESG SECTOR LEADERS","4,144.90","-","4,148.70","4,149.05","4,139.85","-","4,145.10","4,145.10","4,089.20","4,111.00","4,133.90","-","-",0.82,0.72
"NIFTY INDIA DIGITAL","8,715.20","0.45","8,700.40","8,716.40","8,691.45","-","8,675.95","8,675.95","8,589.85","7,878.20","8,774.90","9,723.25","7,233.65",10.62,0.45
"NIFTY100 ESG","5,154.65","-0.02","5,156.20","5,157.35","5,147.45","-","5,155.65","5,155.65","5,056.75","4,977.80","4,860.45","-","-",3.55,6.7
"NIFTY INDIA MANUFACTURING","16,561.35","-0.18","16,580.30","16,588.65","16,537.65","-","16,591.55","16,591.55","16,135.65","16,127.20","14,218.80","-","-",2.69,17.37
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","14,891.45","0.04","14,877.20","14,899.75","14,859.85","-","14,884.95","14,884.95","14,610.50","14,167.50","14,637.20","15,588.85","13,218.65",5.11,2.19
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","17,023.05","0.15","17,040.65","17,044.40","16,999.50","-","16,997.85","16,997.85","16,604.25","16,508.95","14,974.60","17,005.15","14,148.20",3.11,14.64
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14,732.05","-0.26","14,773.05","14,773.05","14,710.70","-","14,771.00","14,771.00","14,536.35","14,813.40","13,931.10","14,885.80","12,542.85",-0.55,6.33
"NIFTY INDIA DEFENCE","9,440.70","0.47","9,438.80","9,451.90","9,404.00","-","9,396.20","9,396.20","9,188.35","9,641.30","7,874.75","9,784.60","7,184.90",-2.08,20.48
"NIFTY INDIA TOURISM","8,133.35","-0.34","8,154.90","8,163.50","8,121.75","-","8,160.80","8,160.80","7,899.25","8,192.90","9,103.25","9,452.55","6,502.65",-0.73,-10.37
"NIFTY CAPITAL MARKETS","5,250.10","-0.02","5,260.40","5,263.30","5,244.55","-","5,251.25","5,251.25","5,232.20","5,493.45","4,364.60","5,697.10","4,086.85",-4.43,20.53
"NIFTY EV & NEW AGE AUTOMOTIVE","3,348.45","-0.05","3,351.10","3,352.30","3,343.50","-","3,350.15","3,350.15","3,218.75","3,145.60","2,909.45","-","-",6.45,16.04
"NIFTY INDIA NEW AGE CONSUMPTION","12,190.35","-0.15","12,209.80","12,213.20","12,167.75","-","12,208.65","12,208.65","11,988.30","11,753.35","11,624.65","-","-",3.72,5.36
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)","39,832.00","-0.02","39,879.35","39,880.30","39,763.10","-","39,839.90","39,839.90","39,010.85","39,044.65","35,812.10","-","-",2.02,11.77
"NIFTY MOBILITY","23,876.60","-0.03","23,878.10","23,881.35","23,804.45","-","23,883.15","23,883.15","23,149.95","22,756.70","20,891.45","-","-",4.92,14.83
"NIFTY100 ENHANCED ESG","5,189.70","-0.02","5,191.05","5,192.20","5,182.30","-","5,190.65","5,190.65","5,091.20","5,011.25","4,897.20","-","-",3.56,6.63
"NIFTY CORE HOUSING","16,111.35","-0.12","16,163.05","16,168.45","16,091.85","-","16,130.35","16,130.35","15,856.60","15,893.55","16,081.50","16,610.25","12,788.20",1.37,0.7
"NIFTY HOUSING","12,134.85","-0.21","12,173.80","12,176.55","12,121.65","-","12,160.55","12,160.55","11,973.20","12,173.60","11,403.75","12,244.25","10,358.70",-0.32,6.85
"NIFTY IPO","2,327.95","-0.07","2,333.45","2,333.75","2,326.55","-","2,329.50","2,329.50","2,250.50","2,301.30","2,071.80","2,336.35","1,774.60",1.16,12.89
"NIFTY MIDSMALL INDIA CONSUMPTION","19,098.85","-0.07","19,127.05","19,132.55","19,062.20","-","19,112.55","19,112.55","19,144.40","18,605.55","19,604.70","20,135.15","15,614.35",2.65,-1.68
"NIFTY NON-CYCLICAL CONSUMER","15,719.65","0.10","15,701.55","15,721.80","15,669.90","-","15,703.20","15,703.20","15,646.05","15,457.50","16,171.20","16,983.45","13,311.10",1.7,-2.38
"NIFTY RURAL","15,899.25","-0.27","15,913.80","15,915.15","15,875.45","-","15,941.55","15,941.55","15,577.25","15,541.50","14,870.00","16,396.40","13,751.35",2.3,7.38
"NIFTY SHARIAH 25","8,218.90","0.19","8,207.70","8,219.20","8,194.25","-","8,203.65","8,203.65","8,138.45","7,836.65","8,062.55","8,562.10","7,196.60",4.88,2.75
"NIFTY TRANSPORTATION & LOGISTICS","26,713.55","-0.05","26,717.40","26,722.10","26,634.00","-","26,727.60","26,727.60","25,850.25","25,376.80","23,483.45","26,844.25","21,355.40",5.27,14.27
"NIFTY50 SHARIAH","4,445.20","0.26","4,438.20","4,447.50","4,432.00","-","4,433.85","4,433.85","4,406.60","4,233.15","4,571.20","4,982.45","4,082.25",5.01,-1.87
"NIFTY500 SHARIAH","7,155.40","0.02","7,156.95","7,156.95","7,145.40","-","7,153.80","7,153.80","7,026.75","6,911.25","6,997.60","7,291.95","6,162.95",3.53,3.34
"NIFTY SME EMERGE","14,188.75","0.37","14,152.90","14,189.15","14,152.25","-","14,136.15","14,136.15","13,893.95","14,101.50","14,949.38","17,223.65","11,015.55",0.62,-4.14
"NIFTY INDIA INTERNET","1,394.00","0.29","1,395.70","1,396.00","1,389.90","-","1,389.95","1,389.95","1,364.10","1,297.35","-","1,501.90","1,056.45",7.45,0
"NIFTY WAVES","1,951.10","0.02","1,957.00","1,957.85","1,946.40","-","1,950.70","1,950.70","1,928.70","1,985.85","2,142.28","2,789.80","1,581.05",-1.75,-7.64
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","12,187.80","-0.47","12,215.85","12,217.65","12,168.45","-","12,245.45","12,245.45","11,985.45","12,415.05","-","12,549.95","9,210.40",-1.83,0
"NIFTY INDIA RAILWAYS PSU","2,899.00","-0.01","2,903.25","2,903.50","2,895.70","-","2,899.40","2,899.40","2,865.15","2,890.45","3,562.45","4,005.50","2,744.60",0.3,-17.66
"NIFTY CONGLOMERATE 50","15,651.30","-0.18","15,672.85","15,678.40","15,630.10","-","15,679.60","15,679.60","15,111.90","14,943.60","13,996.01","15,692.30","12,226.80",4.74,12.58
"NIFTY 8-13 YR G-SEC","3,061.63","0.06","3,060.22","3,062.87","3,060.22","-","3,059.67","3,059.67","3,050.55","3,056.75","2,946.84","-","-",0.16,4.48
"NIFTY 10 YR BENCHMARK G-SEC","2,682.62","0.08","2,680.81","2,683.53","2,680.80","-","2,680.31","2,680.31","2,672.24","2,683.77","2,609.44","-","-",-0.04,3.39
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","879.04","0.06","878.43","879.34","878.43","-","878.44","878.44","876.76","884.45","914.06","-","-",-0.61,-3.26
"NIFTY 4-8 YR G-SEC INDEX","3,348.95","0.04","3,347.90","3,349.61","3,347.90","-","3,347.31","3,347.31","3,334.76","3,329.96","3,185.82","-","-",0.57,5.49
"NIFTY 11-15 YR G-SEC INDEX","3,388.44","0.04","3,387.53","3,389.62","3,387.53","-","3,386.90","3,386.90","3,373.00","3,382.44","3,236.38","-","-",0.18,5.37
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,557.28","0.01","3,557.32","3,557.32","3,556.79","-","3,556.60","3,556.60","3,549.37","3,597.51","3,499.33","-","-",-1.12,2.44
"NIFTY COMPOSITE G-SEC INDEX","3,150.42","0.05","3,149.23","3,151.36","3,149.23","-","3,148.65","3,148.65","3,139.34","3,150.90","3,034.59","-","-",-0.02,4.41
"NIFTY BHARAT BOND INDEX - APRIL 2030","1,611.24","0.01","1,611.26","1,611.26","1,611.24","-","1,610.94","1,610.94","1,607.00","1,608.56","1,542.01","-","-",0.17,4.7
"NIFTY BHARAT BOND INDEX - APRIL 2031","1,465.86","0.01","1,465.86","1,465.86","1,465.86","-","1,465.58","1,465.58","1,462.58","1,465.33","1,406.50","-","-",0.04,4.44
"NIFTY BHARAT BOND INDEX - APRIL 2032","1,333.16","0.01","1,333.16","1,333.16","1,333.16","-","1,332.91","1,332.91","1,331.41","1,332.12","1,281.94","-","-",0.08,4.12
"NIFTY BHARAT BOND INDEX - APRIL 2033","1,291.59","0.01","1,291.59","1,291.59","1,291.59","-","1,291.34","1,291.34","1,289.81","1,292.15","1,246.43","-","-",-0.04,3.71
