SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NATIONALUM","398.50","422.20","398.50","388.00","417.05","-","29.05","7.49","17727378","737.10","445.15","183.86","9.34","107.41"
"IDEA","12.93","13.69","12.83","12.89","13.69","-","0.8","6.21","267665995","354.93","15.34","6.12","-9.16","95.3"
"PNB","113.95","118.22","113.72","114.03","118.21","-","4.18","3.67","16123678","188.57","135.15","98.50","8.18","7.03"
"HINDALCO","1,063.20","1,087.95","1,056.90","1,049.10","1,083.70","-","34.6","3.3","3360180","363.01","1,176.00","657.50","8.44","55.92"
"BOSCHLTD","45,040.00","46,645.00","45,040.00","45,185.00","46,600.00","-","1415","3.13","34204","158.00","46,645.00","28,610.00","8.06","16.73"
"INDIANB","875.60","896.50","873.10","875.60","893.35","-","17.75","2.03","451642","40.22","1,000.90","642.60","0.56","29.91"
"UNIONBANK","182.50","187.08","181.82","182.50","186.20","-","3.7","2.03","5572584","103.55","205.49","124.64","10.94","35.41"
"CONCOR","515.00","523.30","510.40","512.00","522.30","-","10.3","2.01","400149","20.69","569.80","421.45","10.4","-6.11"
"GVT&D","4,429.10","4,549.00","4,395.20","4,420.00","4,504.80","-","84.8","1.92","290438","130.57","5,650.00","2,523.20","-5.5","57.86"
"POWERINDIA","35,000.00","35,640.00","34,730.00","35,000.00","35,610.00","-","610","1.74","41457","145.88","38,785.00","16,111.00","7.35","67.95"
"INDUSTOWER","370.00","376.10","369.75","369.35","375.70","-","6.35","1.72","1286788","47.85","481.50","312.55","-9.06","9.47"
"GRASIM","3,325.10","3,385.90","3,325.10","3,322.20","3,378.30","-","56.1","1.69","244043","82.18","3,411.10","2,502.50","3.38","20.42"
"BANKBARODA","246.00","250.50","245.50","246.20","250.18","-","3.98","1.62","2246425","55.95","325.50","230.81","-1.89","0.91"
"PETRONET","277.00","281.90","277.00","277.00","281.15","-","4.15","1.5","534784","14.98","326.40","235.35","-0.7","1.43"
"BHEL","404.50","411.75","403.60","403.00","409.00","-","6","1.49","1619126","66.17","446.50","205.12","1.96","81.97"
"CANBK","130.00","133.11","129.60","130.30","132.18","-","1.88","1.44","11375133","150.17","162.89","103.55","1.18","19.02"
"SBIN","1,066.00","1,084.00","1,066.00","1,066.00","1,080.90","-","14.9","1.4","3478438","374.90","1,234.70","798.50","2.9","29.46"
"MFSL","1,500.40","1,519.60","1,495.00","1,499.00","1,518.70","-","19.7","1.31","107383","16.16","1,892.50","1,433.60","-8.21","-3.69"
"BANKINDIA","142.40","146.12","141.90","142.90","144.60","-","1.7","1.19","3684375","53.32","178.36","109.85","-1.38","26.24"
"SIEMENS","4,022.00","4,097.90","4,002.50","4,011.00","4,053.40","-","42.4","1.06","319237","129.01","4,097.90","2,826.00","14.71","28.77"
"GLENMARK","2,276.00","2,310.00","2,272.40","2,276.00","2,300.20","-","24.2","1.06","151678","34.81","2,474.00","1,792.60","-0.3","11.06"
"HINDZINC","589.95","597.00","589.45","586.65","592.60","-","5.95","1.01","1539273","91.48","733.00","414.55","9.26","40.55"
"UPL","570.75","574.75","568.40","568.00","573.50","-","5.5","0.97","313612","17.91","812.20","563.15","-4.5","-18.12"
"POLYCAB","9,125.00","9,225.50","9,090.50","9,125.00","9,210.50","-","85.5","0.94","69765","63.95","10,126.00","6,620.00","-0.93","35.04"
"FORCEMOT","18,347.00","18,700.00","18,347.00","18,330.00","18,500.00","-","170","0.93","18027","33.47","26,450.00","14,911.00","0.88","-1.13"
"HYUNDAI","2,192.70","2,225.70","2,192.70","2,200.00","2,219.70","-","19.7","0.9","93328","20.64","2,890.00","1,658.00","10.84","2.24"
"IOC","140.63","142.05","140.33","140.00","141.23","-","1.23","0.88","2464127","34.86","188.96","130.22","0.75","-1"
