SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"KEI","5,201.00","5,414.00","5,201.00","5,023.30","5,384.90","-","361.6","7.2","2848656","1,522.97","5,708.00","3,712.20","-4.69","31.63"
"CGPOWER","846.60","877.85","846.45","826.10","877.45","-","51.35","6.22","5926537","515.56","980.90","525.50","-7.44","26.84"
"SAIL","168.25","172.42","168.02","165.00","171.27","-","6.27","3.8","16277147","278.70","209.70","118.10","-2.87","37.36"
"GODFRYPHLP","2,250.10","2,410.00","2,250.10","2,247.00","2,318.30","-","71.3","3.17","1792799","420.45","3,947.00","1,832.10","3.54","-74.4"
"SIEMENS","3,919.60","4,073.80","3,919.60","3,900.00","4,009.70","-","109.7","2.81","959068","385.37","4,073.80","2,826.00","10.28","28.99"
"HINDZINC","550.00","563.30","546.55","547.00","561.30","-","14.3","2.61","4750004","265.25","733.00","413.85","1.95","31.68"
"ABB","7,601.00","7,894.50","7,600.50","7,601.00","7,791.00","-","190","2.5","602108","469.60","7,924.50","4,637.50","9.36","41.09"
"OFSS","11,425.00","11,645.00","11,425.00","11,332.00","11,600.00","-","268","2.36","148252","171.37","11,979.00","6,234.50","0.75","35.25"
"HEROMOTOCO","5,460.00","5,606.00","5,425.00","5,460.00","5,587.50","-","127.5","2.34","783912","434.62","6,388.50","4,310.10","12.52","26.64"
"CAMS","791.50","830.50","789.00","791.00","807.35","-","16.35","2.07","4051383","331.52","844.90","611.40","-0.92","-78.3"
"NATIONALUM","373.00","382.45","367.15","369.00","376.30","-","7.3","1.98","11821422","444.99","445.15","179.93","6.16","104.21"
"NAM-INDIA","1,170.00","1,200.50","1,161.70","1,165.00","1,187.40","-","22.4","1.92","1424176","169.59","1,233.50","780.25","-4.37","44.94"
"PREMIERENE","1,023.20","1,054.00","1,023.20","1,020.70","1,038.60","-","17.9","1.75","774500","80.82","1,134.00","660.00","-2.49","1.03"
"NHPC","79.70","81.40","79.40","79.25","80.60","-","1.35","1.7","10457187","84.46","89.22","71.62","-1.59","-4.79"
"360ONE","1,147.80","1,174.00","1,144.40","1,147.80","1,166.00","-","18.2","1.59","933266","108.87","1,236.20","906.05","3.45","9.05"
"CDSL","1,318.00","1,362.00","1,312.50","1,322.20","1,340.60","-","18.4","1.39","1668180","223.96","1,673.70","1,116.30","-2.1","-10.59"
"KAYNES","3,805.00","3,861.90","3,795.00","3,805.00","3,857.00","-","52","1.37","619216","236.91","7,705.00","2,995.00","14.13","-40.28"
"KPITTECH","624.00","629.30","617.90","619.25","627.50","-","8.25","1.33","1708907","106.55","1,328.00","543.00","10.85","-48.67"
"POLYCAB","9,084.00","9,215.00","9,070.00","9,034.00","9,143.50","-","109.5","1.21","212377","194.85","10,126.00","6,620.00","-5.39","34.88"
"POWERINDIA","32,005.00","32,695.00","32,000.00","32,000.00","32,350.00","-","350","1.09","55846","181.30","38,785.00","16,111.00","3.09","55.72"
"UNOMINDA","1,218.50","1,243.90","1,202.00","1,210.00","1,223.10","-","13.1","1.08","1934114","237.30","1,382.00","994.00","7.45","15.91"
"HYUNDAI","2,208.00","2,241.00","2,198.50","2,207.00","2,230.60","-","23.6","1.07","576238","127.82","2,890.00","1,658.00","10.72","1.19"
"HINDALCO","995.00","1,011.30","993.10","994.90","1,005.55","-","10.65","1.07","4868953","489.38","1,176.00","657.50","4.37","47.95"
"LAURUSLABS","1,811.00","1,833.80","1,806.10","1,811.40","1,830.30","-","18.9","1.04","986835","180.24","1,838.30","810.05","17.45","113.27"
"TRENT","3,058.00","3,111.00","3,038.00","3,050.00","3,081.50","-","31.5","1.03","1137936","350.73","3,782.67","2,183.67","-8.7","-41.12"
"JINDALSTEL","1,106.10","1,121.60","1,101.40","1,105.10","1,116.00","-","10.9","0.99","592020","66.07","1,306.20","943.30","4.85","16.88"
"GAIL","174.25","176.95","173.16","174.30","175.82","-","1.52","0.87","12779611","224.06","186.87","134.36","0.09","-0.05"
"JIOFIN","264.00","266.60","261.90","263.00","265.20","-","2.2","0.84","16945244","447.34","338.60","223.30","9.88","-20.18"
"DIXON","13,900.00","14,086.00","13,812.00","13,892.00","14,005.00","-","113","0.81","235608","328.85","18,471.00","9,600.00","11.53","-17.55"
"RBLBANK","379.95","384.50","377.20","379.95","382.85","-","2.9","0.76","1760265","67.17","384.50","243.25","5.22","46.64"
"IEX","128.00","129.49","126.80","128.00","128.89","-","0.89","0.7","3761029","48.37","160.27","114.60","3.28","-3.1"
"ASTRAL","1,446.00","1,466.10","1,442.20","1,435.60","1,445.50","-","9.9","0.69","177820","25.83","1,768.70","1,263.70","3.65","2.32"
"BSE","3,575.00","3,637.80","3,555.40","3,575.00","3,598.60","-","23.6","0.66","2255228","812.49","4,446.80","2,021.50","-6.33","48.26"
"GVT&D","4,370.00","4,410.00","4,325.00","4,370.00","4,398.90","-","28.9","0.66","492739","215.61","5,650.00","2,523.20","-0.72","52.63"
"CANBK","127.09","128.95","126.26","127.10","127.92","-","0.82","0.65","17486834","223.99","162.89","103.55","-0.07","20.03"
"DELHIVERY","470.00","477.45","468.80","470.00","473.00","-","3","0.64","1307692","61.78","524.00","374.45","-7.38","9.34"
"SONACOMS","785.00","794.45","774.50","785.00","789.75","-","4.75","0.61","1374441","107.84","794.45","402.30","18.92","79.41"
"MCX","2,655.70","2,699.00","2,637.00","2,642.10","2,658.30","-","16.2","0.61","1071479","286.11","3,480.00","1,460.80","-6.11","-65.21"
"PAYTM","1,436.00","1,436.60","1,388.40","1,410.00","1,418.30","-","8.3","0.59","4427405","625.66","1,437.60","930.60","15.44","30.99"
"PNB","113.49","114.00","112.64","113.00","113.59","-","0.59","0.52","5219598","59.24","135.15","98.50","7.26","9.52"
"NMDC","84.20","84.40","83.23","83.80","84.19","-","0.39","0.47","14249419","119.75","97.49","68.19","-1.87","18.93"
