SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"OIL","464.30","468.80","460.45","453.00","468.05","-","15.05","3.32","254734","11.85","531.00","384.60","6.6","4.76"
"BOSCHLTD","44,105.00","45,000.00","44,000.00","43,505.00","44,915.00","-","1410","3.24","7618","33.96","45,000.00","28,610.00","4.04","13.52"
"PRESTIGE","1,607.90","1,643.50","1,607.90","1,589.00","1,631.80","-","42.8","2.69","35024","5.71","1,805.20","1,090.00","-8.32","-0.91"
"NAUKRI","1,297.00","1,315.50","1,291.10","1,282.00","1,308.70","-","26.7","2.08","113708","14.84","1,437.80","908.30","6.47","-3.75"
"NATIONALUM","387.15","391.50","385.60","382.70","390.65","-","7.95","2.08","508054","19.78","445.15","183.86","7.85","104.2"
"BLUESTARCO","1,516.30","1,531.00","1,516.30","1,508.00","1,528.80","-","20.8","1.38","17787","2.71","2,040.00","1,450.00","-9.27","-16.24"
"ADANIGREEN","1,415.00","1,416.00","1,385.50","1,369.00","1,387.70","-","18.7","1.37","396763","55.59","1,631.50","765.00","-10.91","49.77"
"HINDZINC","599.00","603.90","599.00","595.15","603.00","-","7.85","1.32","135390","8.15","733.00","414.55","10.84","41.47"
"INDUSTOWER","370.00","373.95","370.00","368.00","372.75","-","4.75","1.29","121170","4.52","481.50","312.55","-9.39","10.66"
"ADANIENSOL","1,660.00","1,670.00","1,650.00","1,632.00","1,651.90","-","19.9","1.22","236804","39.29","1,789.00","744.90","-1.33","106.54"
"POWERINDIA","36,230.00","36,590.00","36,150.00","36,050.00","36,470.00","-","420","1.17","9499","34.58","38,785.00","16,111.00","10.57","77.63"
"ADANIENT","3,062.00","3,062.00","3,037.10","3,010.00","3,043.00","-","33","1.1","100622","30.67","3,245.00","1,753.00","-4.67","38.19"
"BHARATFORG","2,114.90","2,144.40","2,109.00","2,093.10","2,114.20","-","21.1","1.01","71065","15.07","2,295.00","1,100.50","-1.13","84.38"
"COFORGE","1,820.00","1,828.90","1,820.00","1,810.00","1,828.00","-","18","0.99","43048","7.85","1,989.70","1,008.10","20.36","12.65"
"MOTHERSON","168.50","169.65","168.16","167.99","169.60","-","1.61","0.96","302718","5.11","172.00","89.70","17.32","83.7"
