"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 10-Aug-2026","1W AGO 
 04-Aug-2026","1M AGO 
 10-Jul-2026","1Y AGO 
 08-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY PRIVATE BANK","27,459.10","-0.27","27,475.90","27,480.70","27,453.20","-","27,534.30","27,534.30","27,860.45","28,083.95","26,564.70","29,748.45","23,957.45",-2.22,2.54
"NIFTY REALTY","900.75","0.31","899.95","902.50","899.20","-","897.95","897.95","891.20","938.60","874.15","974.50","638.65",-4.03,1.16
"NIFTY HEALTHCARE INDEX","16,644.10","-0.04","16,648.30","16,654.80","16,633.85","-","16,650.95","16,650.95","16,746.70","16,337.80","14,135.55","16,921.05","13,536.50",1.87,16.38
"NIFTY CONSUMER DURABLES","40,331.35","0.22","40,295.65","40,357.60","40,281.10","-","40,240.95","40,240.95","40,307.35","38,208.90","37,549.60","40,631.50","32,587.95",5.55,8.19
"NIFTY OIL & GAS","11,238.60","-0.28","11,279.30","11,280.65","11,235.10","-","11,270.45","11,270.45","11,226.30","11,177.45","10,989.15","12,445.70","10,580.95",0.55,1.62
"NIFTY MIDSMALL HEALTHCARE","52,500.50","0.19","52,528.90","52,535.05","52,478.50","-","52,398.55","52,398.55","51,841.35","51,021.35","43,592.40","53,040.55","40,352.90",2.9,19.38
"NIFTY FINANCIAL SERVICES EX-BANK","32,745.30","-0.23","32,819.20","32,819.45","32,730.25","-","32,819.75","32,819.75","33,055.50","32,311.95","28,868.75","33,301.05","26,788.05",1.34,12.23
"NIFTY MIDSMALL FINANCIAL SERVICES","22,639.50","-0.03","22,663.50","22,675.95","22,634.40","-","22,645.40","22,645.40","22,462.40","22,728.85","17,735.95","22,772.50","17,421.50",-0.39,26.26
"NIFTY MIDSMALL IT & TELECOM","9,944.00","0.47","9,935.55","9,944.00","9,930.05","-","9,897.00","9,897.00","9,802.95","9,561.65","9,215.40","10,591.60","7,748.35",4,7.51
"NIFTY CHEMICALS","30,660.30","-0.03","30,691.35","30,691.35","30,629.10","-","30,669.90","30,669.90","30,424.55","29,819.60","29,982.61","31,895.45","24,851.65",2.82,1.85
"NIFTY500 HEALTHCARE","21,712.60","0.10","21,721.75","21,725.65","21,703.90","-","21,691.35","21,691.35","21,671.45","21,168.40","-","21,896.15","16,294.60",2.57,0
"NIFTY REITS & REALTY","1,953.45","0.17","1,953.85","1,955.30","1,952.40","-","1,950.20","1,950.20","1,938.75","1,974.60","-","2,012.90","1,632.55",-1.07,0
"NIFTY CEMENT","15,489.60","0.13","15,481.10","15,494.20","15,476.70","-","15,470.00","15,470.00","15,438.05","15,292.80","-","18,188.60","13,534.80",1.29,0
"NIFTY DIVIDEND OPPORTUNITIES 50","6,026.55","-0.10","6,038.20","6,039.10","6,025.85","-","6,032.50","6,032.50","6,025.15","5,787.10","5,806.85","6,584.65","5,614.00",4.14,3.08
"NIFTY GROWTH SECTORS 15","11,867.25","0.09","11,868.40","11,873.60","11,862.45","-","11,856.90","11,856.90","11,797.90","10,915.70","11,148.70","12,852.45","10,329.35",8.72,5.48
"NIFTY100 QUALITY 30","5,806.30","0.16","5,804.95","5,806.65","5,801.20","-","5,796.75","5,796.75","5,752.45","5,493.65","5,431.05","-","-",5.69,6.3
"NIFTY50 VALUE 20","12,081.10","-0.19","12,100.45","12,102.15","12,079.00","-","12,103.75","12,103.75","12,110.80","12,021.00","12,307.45","13,684.40","11,528.60",0.5,-2.49
"NIFTY50 TR 2X LEVERAGE","18,848.40","-0.43","18,914.55","18,915.15","18,848.40","-","18,930.55","18,930.55","18,986.15","18,368.85","19,466.65","22,435.45","15,547.15",2.61,-4.87
"NIFTY50 PR 2X LEVERAGE","12,372.00","-0.43","12,415.45","12,415.85","12,372.00","-","12,425.95","12,425.95","12,467.75","12,109.65","13,086.25","14,993.40","10,365.70",2.17,-7.11
"NIFTY50 TR 1X INVERSE","175.60","0.23","175.30","175.60","175.30","-","175.20","175.20","174.90","177.70","172.75","193.35","161.80",-1.18,2.54
"NIFTY50 PR 1X INVERSE","216.35","0.21","216.00","216.35","216.00","-","215.90","215.90","215.45","218.50","210.50","236.50","197.80",-0.98,3.67
"NIFTY50 DIVIDEND POINTS","187.67","-","187.67","187.67","187.67","-","187.67","187.67","182.42","134.61","174.84","-","-",39.42,7.12
"NIFTY ALPHA 50","56,388.35","0.26","56,434.10","56,465.55","56,379.30","-","56,242.35","56,242.35","55,288.95","54,265.10","49,661.70","-","-",3.91,13.02
"NIFTY50 EQUAL WEIGHT","33,710.00","-0.04","33,734.50","33,744.45","33,690.30","-","33,724.80","33,724.80","33,797.95","32,788.30","30,613.45","-","-",2.81,9.07
"NIFTY100 EQUAL WEIGHT","35,631.05","-","35,664.40","35,668.35","35,618.70","-","35,629.70","35,629.70","35,522.80","34,601.40","31,741.10","-","-",2.98,11.05
"NIFTY100 LOW VOLATILITY 30","20,687.80","-0.03","20,707.50","20,710.60","20,674.30","-","20,694.50","20,694.50","20,761.10","20,059.75","19,660.80","-","-",3.13,4.44
"NIFTY200 QUALITY 30","21,053.55","0.01","21,066.65","21,072.50","21,047.25","-","21,051.45","21,051.45","20,853.35","20,027.25","20,075.65","-","-",5.12,4.61
"NIFTY ALPHA LOW-VOLATILITY 30","27,641.65","-0.18","27,679.60","27,682.70","27,633.80","-","27,692.80","27,692.80","27,642.70","26,884.50","25,823.80","-","-",2.82,6.19
"NIFTY200 MOMENTUM 30","31,360.85","0.18","31,396.90","31,423.00","31,354.50","-","31,304.35","31,304.35","30,978.05","30,606.65","29,703.30","-","-",2.46,4.62
"NIFTY MIDCAP150 QUALITY 50","25,000.55","-0.01","25,021.95","25,024.85","24,998.30","-","25,002.75","25,002.75","24,727.90","24,138.55","23,691.20","-","-",3.57,5.11
"NIFTY200 ALPHA 30","26,940.55","0.32","26,974.95","26,996.25","26,935.50","-","26,854.10","26,854.10","26,533.70","26,370.00","24,195.05","-","-",2.16,9.68
"NIFTY MIDCAP150 MOMENTUM 50","64,280.25","0.17","64,320.10","64,355.20","64,274.75","-","64,170.90","64,170.90","63,701.90","62,905.75","59,780.00","-","-",2.19,6.54
"NIFTY500 MOMENTUM 50","55,056.60","0.21","55,089.00","55,139.45","55,046.40","-","54,941.35","54,941.35","54,291.15","53,591.40","50,603.10","-","-",2.73,7.78
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","52,160.40","0.17","52,165.35","52,205.10","52,150.85","-","52,070.30","52,070.30","51,470.75","50,821.35","47,270.00","-","-",2.63,9.81
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","48,498.40","0.39","48,452.95","48,507.80","48,443.45","-","48,308.05","48,308.05","47,610.90","47,524.75","44,249.05","-","-",2.05,9.26
"NIFTY TOP 10 EQUAL WEIGHT","8,746.40","-0.17","8,756.45","8,759.00","8,739.30","-","8,761.20","8,761.20","8,796.50","8,563.50","9,286.65","-","-",2.14,-6.55
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","23,351.45","-0.04","23,364.10","23,373.30","23,339.15","-","23,360.05","23,360.05","23,355.70","22,872.90","21,662.05","-","-",2.09,7.21
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","20,672.15","-0.05","20,685.20","20,695.00","20,659.05","-","20,682.65","20,682.65","20,665.15","20,150.20","20,014.55","-","-",2.59,2.77
"NIFTY HIGH BETA 50","4,524.60","0.16","4,530.95","4,532.80","4,524.05","-","4,517.45","4,517.45","4,475.10","4,462.55","3,533.85","-","-",1.39,26.85
"NIFTY LOW VOLATILITY 50","25,202.30","-0.12","25,228.15","25,229.20","25,189.55","-","25,232.00","25,232.00","25,260.55","24,606.60","24,298.40","-","-",2.42,3.02
"NIFTY QUALITY LOW-VOLATILITY 30","17,009.90","-0.10","17,027.05","17,028.55","16,998.70","-","17,027.15","17,027.15","17,083.70","16,473.85","16,645.75","-","-",3.25,1.72
"NIFTY SMALLCAP250 QUALITY 50","25,722.45","0.07","25,693.35","25,723.60","25,691.65","-","25,704.40","25,704.40","25,619.55","25,267.30","26,469.75","-","-",1.8,-3.19
"NIFTY TOP 15 EQUAL WEIGHT","10,011.85","-0.25","10,028.75","10,029.25","10,005.55","-","10,036.75","10,036.75","10,064.60","9,737.70","9,964.70","-","-",2.82,-0.36
