IndexCode,IndexID,IndexName,PreviousClose,OpenPrice,HighPrice,LowPrice,ClosePrice,52weeksHigh,52weeksLow,Filler1,Filler2,Filler3,Filler4
1,SENSEX,BSE SENSEX,78581.00,78782.43,78954.76,78633.73,78954.76,86159.02,71545.81,,,,
2,BSE100,BSE 100,26270.95,26352.75,26386.26,26298.69,26362.98,27621.72,23249.92,,,,
3,BSE200,BSE 200,11515.76,11553.61,11559.55,11522.59,11548.95,11944.41,10077.77,,,,
4,BSE500,BSE 500,37074.66,37198.08,37218.88,37097.90,37177.57,37874.46,31965.51,,,,
7,BSE CG,BSE CAPITAL GOODS,78040.20,77963.99,79056.60,77409.81,79045.67,84777.05,61099.75,,,,
8,BSE CD,BSE CONSUMER DURABLES,65381.91,65514.74,66005.32,65379.92,65562.71,66005.32,51821.68,,,,
10,BSEPSU,BSE PSU,20834.24,20911.22,21077.71,20833.89,21061.01,22589.26,18256.71,,,,
11,TECK,BSE TECK,15804.42,15856.81,15887.05,15653.22,15714.37,19167.87,13891.13,,,,
12,BANKEX,BSE BANKEX,65333.23,65560.21,65893.16,65395.23,65893.16,69406.97,56230.38,,,,
13,AUTO,BSE AUTO,64564.90,64802.40,64802.40,64123.97,64217.46,64968.30,52099.69,,,,
14,METAL,BSE METAL,42420.86,42792.75,42792.75,42030.46,42085.86,45388.14,30311.19,,,,
15,OILGAS,BSE OIL&GAS,26340.23,26484.00,26584.56,26335.67,26516.31,29833.46,25073.03,,,,
21,REALTY,BSE REALTY,7042.13,7060.26,7060.26,6923.87,6941.97,7568.28,4956.78,,,,
22,POWER,BSE POWER,7691.58,7692.19,7692.19,7606.94,7638.75,8573.90,5983.27,,,,
23,BSEIPO,BSE IPO,17891.33,17939.09,17952.32,17831.92,17876.41,17952.32,13673.97,,,,
27,SMEIPO,BSE SME IPO,102324.86,102302.79,102343.93,101723.54,102117.57,110401.84,73866.86,,,,
28,INFRA,BSE INDIA INFRA INDEX,589.64,592.01,592.01,585.92,587.00,633.79,528.80,,,,
29,CPSE,BSE CPSE,3870.98,3888.67,3892.47,3866.96,3889.18,4265.39,3559.27,,,,
32,BSEFMC,BSE FMCG,18446.28,18484.25,18515.03,18436.42,18440.60,21490.85,16740.58,,,,
33,BSE HC,BSE Healthcare,50962.19,51075.00,51320.01,50930.24,50982.31,51320.01,40239.45,,,,
34,BSE IT,BSE IT,30173.83,30263.45,30477.97,29910.52,29956.29,38598.21,25164.70,,,,
35,MFG,BSE INDIA MFG INDEX,1100.38,1104.57,1105.84,1100.95,1102.55,1124.57,999.44,,,,
37,COMDTY,BSE COMMODITIES,8796.44,8850.25,8850.25,8789.55,8799.08,8923.87,7268.95,,,,
38,CONDIS,BSE CONSUMER DISCRE,10325.48,10357.31,10358.96,10290.50,10300.80,10376.12,8158.47,,,,
39,ENERGY,BSE ENERGY,11310.71,11360.54,11455.68,11313.99,11439.89,12537.31,10920.35,,,,
40,FINSER,BSE FINANCIAL SERVCS,12696.13,12742.46,12788.82,12705.22,12786.39,13392.39,10959.13,,,,
41,INDSTR,BSE INDUSTRIALS,16366.66,16410.81,16522.55,16324.66,16501.81,17152.55,13118.74,,,,
43,MIDSEL,BSE MIDCAP SELECT,18741.76,18816.27,18826.70,18691.79,18768.90,18849.34,14644.25,,,,
44,SMLSEL,BSE SMALLCAP SELECT,8968.10,9021.90,9071.40,8994.84,9048.35,9071.40,6803.36,,,,
45,TELCOM,BSE TELECOMMUNICATION,3607.60,3625.39,3625.39,3563.81,3578.03,3793.58,2676.37,,,,
46,UTILS,BSE UTILITIES,5774.19,5790.83,5790.83,5700.27,5715.05,6419.58,4789.17,,,,
47,SNSX50,BSE SENSEX 50,25805.34,25887.01,25917.18,25827.04,25908.13,27541.52,23185.03,,,,
48,SNXT50,BSE SENSEX NEXT 50,89045.72,89305.25,89479.79,89017.21,89191.01,89802.84,74029.08,,,,
49,BHRT22,BSE BHARAT 22 INDEX,8978.60,9007.72,9007.72,8939.95,8973.88,9837.10,8145.03,,,,
50,ESG100,BSE 100 ESG INDEX,418.09,419.36,419.73,418.34,419.33,440.83,370.38,,,,
55,MID150,BSE 150 MIDCAP INDEX,17207.26,17275.92,17277.23,17169.78,17209.26,17277.23,14130.50,,,,
56,SML250,BSE 250 SMALLCAP,7222.09,7248.53,7261.86,7222.68,7240.09,7261.86,5605.74,,,,
57,LMI250,BSE 250 LARGEMIDCAP,10970.77,11006.85,11012.19,10976.66,11001.59,11319.13,9557.65,,,,
58,MSL400,BSE 400 MIDSMALLCAP,12861.31,12911.18,12911.72,12854.74,12873.21,12911.72,10400.68,,,,
59,BSEDSI,BSE DVND STABILITY,1060.86,1064.68,1064.68,1056.09,1057.32,1095.64,951.00,,,,
60,BSEEVI,BSE ENHANCED VALUE,1035.62,1041.00,1041.00,1034.01,1038.49,1150.94,891.58,,,,
61,BSELVI,BSE LOW VOLATILITY,1805.92,1810.86,1812.56,1805.85,1808.05,1917.30,1623.09,,,,
62,BSEMOI,BSE MOMENTUM INDEX,2244.88,2252.24,2258.37,2240.23,2258.36,2323.97,1894.58,,,,
63,BSEQUI,BSE QUALITY INDEX,1921.21,1919.79,1929.39,1913.30,1928.77,1946.48,1662.93,,,,
64,DFRGRI,BSE DIVERS FIN REV GR,1719.76,1726.07,1732.14,1720.67,1726.61,1732.14,1391.52,,,,
65,LCTMCI,BSE 100 LARGECAP TMC,9269.39,9297.93,9308.12,9278.18,9302.93,9738.10,8212.16,,,,
66,BSEPBI,BSE PRIVATE BANKS,20107.44,20178.25,20215.21,20095.72,20198.15,21724.28,17277.69,,,,
