IndexCode,IndexID,IndexName,PreviousClose,OpenPrice,HighPrice,LowPrice,ClosePrice,52weeksHigh,52weeksLow,Filler1,Filler2,Filler3,Filler4
1,SENSEX,BSE SENSEX,78954.76,78516.08,78757.40,78377.07,78499.17,86159.02,71545.81,,,,
2,BSE100,BSE 100,26362.98,26253.95,26346.36,26233.43,26271.67,27621.72,23249.92,,,,
3,BSE200,BSE 200,11548.95,11505.36,11545.28,11500.16,11519.14,11944.41,10077.77,,,,
4,BSE500,BSE 500,37177.57,37053.28,37170.00,37032.38,37099.57,37874.46,31965.51,,,,
7,BSE CG,BSE CAPITAL GOODS,79045.67,78875.86,79536.95,78875.38,79282.73,84777.05,61099.75,,,,
8,BSE CD,BSE CONSUMER DURABLES,65562.71,65843.09,65844.73,64524.17,64972.91,66005.32,51821.68,,,,
10,BSEPSU,BSE PSU,21061.01,21043.25,21187.60,21015.15,21095.95,22589.26,18256.71,,,,
11,TECK,BSE TECK,15714.37,15622.66,15884.49,15615.57,15832.24,19167.87,13891.13,,,,
12,BANKEX,BSE BANKEX,65893.16,65629.34,65676.78,65319.44,65492.23,69406.97,56230.38,,,,
13,AUTO,BSE AUTO,64217.46,64087.07,65178.75,64026.62,65073.81,65178.75,52099.69,,,,
14,METAL,BSE METAL,42085.86,41911.86,42227.45,41863.89,42153.13,45388.14,30311.19,,,,
15,OILGAS,BSE OIL&GAS,26516.31,26404.54,26538.70,26280.38,26349.18,29833.46,25073.03,,,,
21,REALTY,BSE REALTY,6941.97,6903.54,6970.23,6898.55,6911.39,7568.28,4956.78,,,,
22,POWER,BSE POWER,7638.75,7618.26,7687.93,7618.26,7660.66,8573.90,5983.27,,,,
23,BSEIPO,BSE IPO,17876.41,17845.08,17928.72,17845.02,17914.27,17952.32,13673.97,,,,
27,SMEIPO,BSE SME IPO,102117.57,102099.01,102602.38,101840.67,102418.19,110401.84,73866.86,,,,
28,INFRA,BSE INDIA INFRA INDEX,587.00,586.49,588.76,585.52,587.35,633.79,528.80,,,,
29,CPSE,BSE CPSE,3889.18,3887.24,3898.13,3868.11,3881.59,4265.39,3559.27,,,,
32,BSEFMC,BSE FMCG,18440.60,18449.40,18564.55,18437.80,18473.74,21490.85,16740.58,,,,
33,BSE HC,BSE Healthcare,50982.31,50957.07,51253.07,50890.35,51234.81,51320.01,40239.45,,,,
34,BSE IT,BSE IT,29956.29,29894.97,30508.88,29876.19,30304.54,38598.21,25164.70,,,,
35,MFG,BSE INDIA MFG INDEX,1102.55,1102.79,1107.00,1102.34,1106.71,1124.57,999.44,,,,
37,COMDTY,BSE COMMODITIES,8799.08,8790.80,8802.87,8757.60,8793.38,8923.87,7268.95,,,,
38,CONDIS,BSE CONSUMER DISCRE,10300.80,10287.36,10344.95,10277.70,10333.24,10376.12,8158.47,,,,
39,ENERGY,BSE ENERGY,11439.89,11421.66,11467.46,11377.53,11407.29,12537.31,10920.35,,,,
40,FINSER,BSE FINANCIAL SERVCS,12786.39,12704.01,12706.62,12596.02,12616.13,13392.39,10959.13,,,,
41,INDSTR,BSE INDUSTRIALS,16501.81,16487.30,16557.63,16479.10,16516.74,17152.55,13118.74,,,,
43,MIDSEL,BSE MIDCAP SELECT,18768.90,18683.04,18808.27,18652.97,18804.87,18849.34,14644.25,,,,
44,SMLSEL,BSE SMALLCAP SELECT,9048.35,9051.43,9076.53,9029.33,9066.08,9076.53,6803.36,,,,
45,TELCOM,BSE TELECOMMUNICATION,3578.03,3560.29,3596.52,3552.34,3592.19,3793.58,2676.37,,,,
46,UTILS,BSE UTILITIES,5715.05,5703.12,5740.52,5698.49,5718.99,6419.58,4789.17,,,,
47,SNSX50,BSE SENSEX 50,25908.13,25784.04,25869.55,25759.12,25799.43,27541.52,23185.03,,,,
48,SNXT50,BSE SENSEX NEXT 50,89191.01,89049.99,89469.23,88947.24,89137.05,89802.84,74029.08,,,,
49,BHRT22,BSE BHARAT 22 INDEX,8973.88,8970.22,8989.39,8951.51,8973.93,9837.10,8145.03,,,,
50,ESG100,BSE 100 ESG INDEX,419.33,417.59,419.11,417.26,417.88,440.83,370.38,,,,
55,MID150,BSE 150 MIDCAP INDEX,17209.26,17163.01,17244.44,17143.33,17240.08,17277.23,14130.50,,,,
56,SML250,BSE 250 SMALLCAP,7240.09,7233.59,7259.38,7222.65,7240.15,7261.86,5605.74,,,,
57,LMI250,BSE 250 LARGEMIDCAP,11001.59,10961.60,10997.96,10956.22,10975.74,11319.13,9557.65,,,,
58,MSL400,BSE 400 MIDSMALLCAP,12873.21,12846.47,12894.54,12831.24,12888.44,12911.72,10400.68,,,,
59,BSEDSI,BSE DVND STABILITY,1057.32,1055.04,1062.61,1054.83,1058.41,1095.64,951.00,,,,
