IndexCode,IndexID,IndexName,PreviousClose,OpenPrice,HighPrice,LowPrice,ClosePrice,52weeksHigh,52weeksLow,Filler1,Filler2,Filler3,Filler4
1,SENSEX,BSE SENSEX,78154.25,78263.33,78263.33,77497.93,77966.35,86159.02,71545.81,,,,
2,BSE100,BSE 100,26195.23,26234.00,26234.03,26010.04,26137.30,27621.72,23249.92,,,,
3,BSE200,BSE 200,11486.62,11503.16,11503.16,11410.74,11465.49,11944.41,10077.77,,,,
4,BSE500,BSE 500,37029.82,37092.07,37092.08,36812.50,36967.15,37874.46,31965.51,,,,
7,BSE CG,BSE CAPITAL GOODS,79281.97,79474.04,79975.28,79139.86,79861.37,84777.05,61099.75,,,,
8,BSE CD,BSE CONSUMER DURABLES,65629.51,65796.66,65796.94,64779.31,65437.79,66148.63,51821.68,,,,
10,BSEPSU,BSE PSU,20848.12,20897.84,21027.49,20869.98,21000.55,22589.26,18256.71,,,,
11,TECK,BSE TECK,15801.11,15808.10,15811.85,15545.83,15747.98,19167.87,13891.13,,,,
12,BANKEX,BSE BANKEX,65050.10,65078.32,65554.91,64875.76,65447.04,69406.97,56230.38,,,,
13,AUTO,BSE AUTO,64845.36,64881.10,65108.83,64529.36,64623.25,65675.73,52099.69,,,,
14,METAL,BSE METAL,41973.81,42166.98,42463.76,41941.84,42118.04,45388.14,30311.19,,,,
15,OILGAS,BSE OIL&GAS,26415.47,26478.14,26514.10,26223.86,26401.93,29833.46,25073.03,,,,
21,REALTY,BSE REALTY,6949.64,6958.74,6963.94,6843.10,6900.00,7568.28,4956.78,,,,
22,POWER,BSE POWER,7635.06,7647.45,7653.58,7582.57,7645.82,8573.90,5983.27,,,,
23,BSEIPO,BSE IPO,18009.64,18042.31,18048.73,17934.72,18018.02,18064.63,13673.97,,,,
27,SMEIPO,BSE SME IPO,103340.90,103397.93,103878.82,103080.04,103152.64,110401.84,73866.86,,,,
28,INFRA,BSE INDIA INFRA INDEX,580.05,581.45,581.45,576.31,578.06,633.79,528.80,,,,
29,CPSE,BSE CPSE,3852.29,3862.09,3876.40,3838.18,3866.37,4265.39,3559.27,,,,
32,BSEFMC,BSE FMCG,18323.56,18258.65,18267.47,18120.57,18172.76,21490.85,16740.58,,,,
33,BSE HC,BSE Healthcare,51363.70,51468.82,51469.22,50866.12,50962.97,51574.61,40239.45,,,,
34,BSE IT,BSE IT,30482.33,30578.44,30578.44,29807.11,30053.21,38598.21,25164.70,,,,
35,MFG,BSE INDIA MFG INDEX,1104.93,1107.11,1107.39,1098.45,1101.36,1124.57,999.44,,,,
37,COMDTY,BSE COMMODITIES,8735.69,8762.17,8791.21,8720.68,8743.02,8923.87,7268.95,,,,
38,CONDIS,BSE CONSUMER DISCRE,10363.09,10381.55,10382.84,10299.85,10321.22,10413.48,8158.47,,,,
39,ENERGY,BSE ENERGY,11399.51,11443.93,11448.14,11316.40,11386.70,12537.31,10920.35,,,,
40,FINSER,BSE FINANCIAL SERVCS,12597.35,12620.13,12628.61,12553.17,12617.12,13392.39,10959.13,,,,
41,INDSTR,BSE INDUSTRIALS,16508.80,16559.79,16598.30,16473.75,16544.67,17152.55,13118.74,,,,
43,MIDSEL,BSE MIDCAP SELECT,18844.65,18844.29,18846.90,18707.29,18813.49,18886.06,14644.25,,,,
44,SMLSEL,BSE SMALLCAP SELECT,9114.79,9167.53,9168.39,9087.13,9115.18,9168.39,6803.36,,,,
45,TELCOM,BSE TELECOMMUNICATION,3568.12,3565.55,3638.10,3563.17,3635.71,3793.58,2676.37,,,,
46,UTILS,BSE UTILITIES,5660.66,5668.43,5673.10,5593.04,5629.39,6419.58,4789.17,,,,
47,SNSX50,BSE SENSEX 50,25684.96,25725.33,25725.33,25492.02,25625.00,27541.52,23185.03,,,,
48,SNXT50,BSE SENSEX NEXT 50,89408.06,89508.69,89521.72,88873.71,89253.00,89802.84,74029.08,,,,
49,BHRT22,BSE BHARAT 22 INDEX,8876.82,8892.04,8926.94,8857.49,8888.25,9837.10,8145.03,,,,
50,ESG100,BSE 100 ESG INDEX,416.48,417.11,417.11,413.46,415.45,440.83,370.38,,,,
55,MID150,BSE 150 MIDCAP INDEX,17269.54,17288.79,17290.93,17197.48,17266.44,17302.79,14130.50,,,,
56,SML250,BSE 250 SMALLCAP,7260.60,7282.74,7282.81,7232.53,7240.81,7282.81,5605.74,,,,
57,LMI250,BSE 250 LARGEMIDCAP,10948.94,10965.54,10965.54,10881.61,10931.77,11319.13,9557.65,,,,
58,MSL400,BSE 400 MIDSMALLCAP,12915.36,12938.28,12938.29,12863.26,12901.83,12941.14,10400.68,,,,
59,BSEDSI,BSE DVND STABILITY,1051.18,1053.78,1053.84,1044.58,1048.63,1095.64,951.00,,,,
60,BSEEVI,BSE ENHANCED VALUE,1029.11,1030.01,1038.83,1028.40,1033.77,1150.94,891.58,,,,
61,BSELVI,BSE LOW VOLATILITY,1798.33,1802.43,1802.56,1785.87,1793.02,1917.30,1623.09,,,,
62,BSEMOI,BSE MOMENTUM INDEX,2255.29,2255.20,2270.89,2255.20,2261.95,2323.97,1894.58,,,,
63,BSEQUI,BSE QUALITY INDEX,1929.71,1931.94,1937.00,1917.06,1923.25,1946.48,1662.93,,,,
64,DFRGRI,BSE DIVERS FIN REV GR,1718.48,1721.76,1721.76,1708.82,1718.02,1732.14,1391.52,,,,
65,LCTMCI,BSE 100 LARGECAP TMC,9235.33,9250.46,9250.46,9170.55,9216.97,9738.10,8212.16,,,,
66,BSEPBI,BSE PRIVATE BANKS,19927.58,19943.62,20001.08,19833.70,19964.24,21724.28,17277.69,,,,
67,BSESER,BSE Services,1641.20,1644.94,1645.23,1627.55,1632.75,1706.54,1281.34,,,,
68,SNXN30,BSE SENSEX NEXT 30,43115.37,43253.47,43271.44,42887.01,43032.49,43479.87,36415.87,,,,
69,SNSX60,BSE SENSEX SIXTY,33240.97,33301.05,33301.05,32996.49,33164.70,35434.57,29895.59,,,,
70,SS6535,BSE SENSEXSIXTY 65:35,34441.46,34511.51,34511.88,34207.89,34364.52,35978.21,30645.29,,,,
71,POWENE,BSE POWER & ENERGY,3920.76,3931.59,3931.59,3885.62,3909.47,4309.06,3582.65,,,,
72,200EQW,BSE 200 EQUAL WEIGHT,13920.83,13939.93,13940.98,13842.96,13895.96,13997.65,11639.89,,,,
73,INTECO,BSE INTERNET ECONOMY,3264.87,3279.29,3279.50,3240.55,3273.74,3279.50,2539.25,,,,
74,CAPINS,BSE CAP MKTS & INSU,2347.07,2360.53,2360.71,2339.95,2357.78,2492.58,2077.55,,,,
75,FOCIT,BSE FOCUSED IT,38435.50,38559.16,38559.16,37563.15,37838.71,46730.83,31290.99,,,,
76,PRECON,BSE PREMIUM CONSUMPT,5625.16,5633.12,5634.51,5565.60,5585.88,5740.96,4372.00,,,,
77,FOCMID,BSE FOCUSED MIDCAP,26311.46,26364.70,26365.07,26130.98,26279.17,26365.07,20835.25,,,,
78,BBGEFS,BSE SEL BUSINESS GRP,4530.66,4540.40,4541.27,4477.84,4508.87,4687.06,3943.92,,,,
79,SENEQW,BSE SENSEX EQUAL WGT,81261.80,81416.17,81416.17,80536.16,80915.75,84150.53,71747.48,,,,
80,SELIPO,BSE Select IPO,4863.98,4872.20,4872.24,4841.44,4866.14,5071.31,3783.19,,,,
81,PSUBNK,BSE PSU BANK,4855.43,4859.90,4971.84,4849.57,4945.98,5590.18,3804.43,,,,
82,INSLDR,BSE INDIA SECT LEADER,14979.54,15010.72,15011.39,14867.27,14949.42,15659.83,13195.93,,,,
83,BS1000,BSE 1000,11087.15,11106.65,11106.69,11026.16,11070.97,11234.91,9480.66,,,,
89,QUAL50,BSE 500 QUALITY 50,22901.58,22957.59,22998.15,22821.25,22901.27,22998.15,19510.21,,,,
90,IND150,BSE INDIA 150,18945.32,18974.95,18974.97,18816.64,18908.20,19711.88,16644.76,,,,
91,DIVY50,BSE 500 Dvnd Leader50,3587.34,3599.65,3605.45,3565.15,3578.22,3794.17,3289.12,,,,
93,MOME50,BSE 500 MOMENTUM 50,46433.03,46510.79,46828.23,46505.96,46810.90,46828.23,37919.23,,,,
95,INSURE,BSE Insurance,1543.23,1551.54,1552.02,1537.99,1549.41,1845.38,1519.16,,,,
96,INDDEF,BSE India Defence,8048.62,8080.43,8104.71,7986.47,8072.84,8137.63,5881.43,,,,
99,BSHOSP,BSE Hospitals,5341.50,5334.73,5336.78,5173.14,5188.14,5498.15,4325.16,,,,
