"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 07-Aug-2026","1W AGO 
 03-Aug-2026","1M AGO 
 10-Jul-2026","1Y AGO 
 08-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY 50","24,588.75","0.07","24,581.25","24,620.95","24,557.95","-","24,570.65","24,570.65","24,774.30","24,206.90","24,363.30","26,373.20","22,182.55",1.58,0.93
"NIFTY NEXT 50","74,782.10","0.11","74,777.15","74,805.30","74,580.25","-","74,697.55","74,697.55","74,608.70","72,391.80","65,514.70","74,860.10","59,896.10",3.3,14.15
"NIFTY BANK","57,800.50","0.09","57,812.30","58,015.85","57,794.90","-","57,746.45","57,746.45","58,247.95","58,045.90","55,004.90","61,764.85","49,954.85",-0.42,5.08
"NIFTY FINANCIAL SERVICES","26,481.70","0.06","26,489.15","26,547.90","26,470.50","-","26,466.00","26,466.00","26,984.45","26,831.05","26,167.35","28,562.50","23,373.95",-1.3,1.2
"NIFTY MIDCAP SELECT","14,917.65","0.29","14,911.25","14,935.20","14,894.35","-","14,875.00","14,875.00","14,898.15","14,820.90","12,506.30","14,954.00","12,046.20",0.65,19.28
"NIFTY 100","25,733.55","0.08","25,726.80","25,760.20","25,696.65","-","25,712.70","25,712.70","25,880.45","25,255.10","24,934.05","26,975.15","22,720.45",1.89,3.21
"NIFTY 200","14,246.45","0.11","14,244.75","14,259.55","14,225.15","-","14,231.10","14,231.10","14,315.00","14,009.25","13,555.15","14,700.95","12,396.10",1.69,5.1
"NIFTY 500","23,734.25","0.09","23,732.75","23,751.45","23,698.85","-","23,712.10","23,712.10","23,802.85","23,348.40","22,443.15","24,144.20","20,385.65",1.65,5.75
"NIFTY MIDCAP 50","18,221.10","0.27","18,208.95","18,241.45","18,191.45","-","18,172.60","18,172.60","18,301.85","18,059.50","15,785.60","18,324.45","14,804.55",0.89,15.43
"NIFTY MIDCAP 100","63,609.20","0.23","63,628.50","63,660.30","63,489.10","-","63,463.55","63,463.55","63,679.30","63,036.80","56,002.20","63,852.15","52,032.85",0.91,13.58
"NIFTY SMALLCAP 100","19,872.05","0.02","19,840.70","19,878.30","19,824.25","-","19,867.80","19,867.80","19,589.35","19,416.50","17,428.20","19,936.55","14,986.00",2.35,14.02
"INDIA VIX","12.74","4.79","12.16","12.92","10.82","-","12.16","12.16","11.93","12.25","12.03","28.91","8.72",4,5.9
"NIFTY MIDCAP 150","23,404.65","0.18","23,419.10","23,422.60","23,363.70","-","23,362.90","23,362.90","23,418.95","23,166.50","20,848.25","23,479.70","19,218.00",1.03,12.26
"NIFTY SMALLCAP 50","9,965.75","0.10","9,941.55","9,970.20","9,936.30","-","9,955.90","9,955.90","9,757.55","9,621.15","8,416.20","9,968.00","7,338.35",3.58,18.41
"NIFTY SMALLCAP 250","18,356.75","-","18,355.70","18,366.50","18,329.95","-","18,356.55","18,356.55","18,166.65","18,118.90","16,541.90","18,407.75","14,143.45",1.31,10.97
"NIFTY MIDSMALLCAP 400","21,571.50","0.12","21,579.85","21,583.15","21,536.80","-","21,546.15","21,546.15","21,503.50","21,331.15","19,305.75","21,620.15","17,390.85",1.13,11.74
"NIFTY500 MULTICAP 50:25:25","16,807.05","0.08","16,807.50","16,818.45","16,782.50","-","16,793.00","16,793.00","16,814.15","16,553.25","15,632.45","16,840.90","14,102.20",1.53,7.51
"NIFTY LARGEMIDCAP 250","16,974.65","0.13","16,977.95","16,986.55","16,948.05","-","16,952.90","16,952.90","17,028.50","16,730.55","15,760.30","17,077.75","14,445.65",1.46,7.71
"NIFTY TOTAL MARKET","13,397.95","0.09","13,398.70","13,408.00","13,378.50","-","13,385.85","13,385.85","13,422.50","13,177.00","12,632.35","13,548.00","11,436.55",1.68,6.06
"NIFTY MICROCAP 250","26,079.20","0.09","26,131.45","26,135.90","26,031.90","-","26,056.00","26,056.00","25,515.50","25,503.05","23,072.85","26,188.85","18,858.50",2.26,13.03
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","18,776.85","0.09","18,778.90","18,788.25","18,749.00","-","18,760.80","18,760.80","18,751.45","18,515.15","17,238.05","18,811.65","15,495.10",1.41,8.93
"NIFTY INDIA FPI 150","1,594.10","0.10","1,593.35","1,595.35","1,591.00","-","1,592.55","1,592.55","1,603.40","1,562.80","-","1,641.40","1,346.50",2,0
"NIFTY SMALLCAP 500","20,896.90","0.02","20,906.65","20,909.95","20,863.95","-","20,893.65","20,893.65","20,610.10","20,559.05","-","20,959.70","15,960.20",1.64,0
"NIFTY MIDSMALLCAP400 50:50","21,031.50","0.09","21,037.35","21,041.60","20,998.95","-","21,012.65","21,012.65","20,928.65","20,787.80","-","21,069.60","16,874.30",1.17,0
"NIFTY AUTO","29,856.15","0.70","29,696.15","29,865.00","29,598.25","-","29,647.90","29,647.90","29,168.95","26,860.75","23,474.65","29,647.90","23,560.10",11.15,27.18
"NIFTY FINANCIAL SERVICES 25/50","28,901.30","-","28,936.90","28,967.40","28,890.45","-","28,901.80","28,901.80","29,452.10","29,279.75","28,106.45","-","-",-1.29,2.83
"NIFTY FMCG","49,470.55","0.07","49,421.75","49,558.30","49,315.40","-","49,435.20","49,435.20","49,965.60","49,310.60","54,900.95","58,485.05","45,334.15",0.32,-9.89
"NIFTY IT","31,658.35","0.35","31,611.55","31,758.10","31,602.45","-","31,547.70","31,547.70","31,715.25","28,010.35","34,398.50","40,301.40","25,699.10",13.02,-7.97
"NIFTY MEDIA","1,558.40","0.22","1,565.95","1,567.65","1,553.55","-","1,554.95","1,554.95","1,568.65","1,484.30","1,635.10","1,674.40","1,245.05",4.99,-4.69
"NIFTY METAL","13,206.25","0.12","13,220.45","13,234.65","13,158.30","-","13,189.85","13,189.85","12,914.55","12,688.90","9,147.10","13,931.35","9,132.20",4.08,44.38
"NIFTY PHARMA","26,695.30","0.58","26,588.25","26,770.85","26,583.70","-","26,541.80","26,541.80","26,662.80","25,674.10","21,402.15","26,801.20","21,149.90",3.98,24.73
"NIFTY PSU BANK","8,752.55","-0.38","8,818.10","8,856.80","8,751.35","-","8,786.20","8,786.20","8,486.70","8,451.60","6,881.25","9,918.65","6,730.30",3.56,27.19
"NIFTY PRIVATE BANK","27,487.35","0.35","27,374.80","27,554.45","27,374.70","-","27,392.35","27,392.35","28,045.15","28,083.95","26,564.70","29,748.45","23,957.45",-2.12,3.47
"NIFTY REALTY","887.85","0.21","887.35","889.95","886.55","-","885.95","885.95","913.05","938.60","874.15","974.50","638.65",-5.41,1.57
"NIFTY HEALTHCARE INDEX","16,777.65","0.41","16,733.70","16,824.70","16,733.45","-","16,708.90","16,708.90","16,783.35","16,337.80","14,135.55","16,921.05","13,536.50",2.69,18.69
"NIFTY CONSUMER DURABLES","40,286.60","0.49","40,060.15","40,334.25","39,883.15","-","40,089.90","40,089.90","40,625.05","38,208.90","37,549.60","40,631.50","32,587.95",5.44,7.29
"NIFTY OIL & GAS","11,275.75","-0.32","11,313.60","11,318.00","11,265.40","-","11,312.20","11,312.20","11,357.40","11,177.45","10,989.15","12,445.70","10,580.95",0.88,2.61
"NIFTY MIDSMALL HEALTHCARE","52,893.15","0.47","52,787.15","53,040.55","52,766.30","-","52,646.45","52,646.45","51,810.55","51,021.35","43,592.40","52,784.35","40,352.90",3.67,21.34
"NIFTY FINANCIAL SERVICES EX-BANK","32,366.80","-0.15","32,405.50","32,413.70","32,270.50","-","32,415.00","32,415.00","33,210.50","32,311.95","28,868.75","33,301.05","26,788.05",0.17,12.12
"NIFTY MIDSMALL FINANCIAL SERVICES","22,290.30","-0.02","22,296.15","22,323.80","22,260.60","-","22,294.60","22,294.60","22,576.15","22,728.85","17,735.95","22,772.50","17,421.50",-1.93,25.68
"NIFTY MIDSMALL IT & TELECOM","9,915.80","0.63","9,885.70","9,922.75","9,876.15","-","9,853.45","9,853.45","9,854.85","9,561.65","9,215.40","10,591.60","7,748.35",3.7,7.6
"NIFTY CHEMICALS","30,550.70","-0.11","30,621.40","30,644.95","30,488.65","-","30,585.20","30,585.20","30,558.60","29,819.60","29,982.61","31,895.45","24,851.65",2.45,1.89
"NIFTY500 HEALTHCARE","21,843.25","0.50","21,772.65","21,896.15","21,772.65","-","21,734.00","21,734.00","21,712.50","21,168.40","-","21,820.70","16,294.60",3.19,0
"NIFTY REITS & REALTY","1,939.50","0.05","1,944.15","1,946.05","1,939.50","-","1,938.60","1,938.60","1,959.15","1,974.60","-","2,012.90","1,632.55",-1.78,0
"NIFTY CEMENT","15,475.95","0.22","15,443.40","15,475.95","15,361.15","-","15,442.10","15,442.10","15,621.10","15,292.80","-","18,188.60","13,534.80",1.2,0
"NIFTY DIVIDEND OPPORTUNITIES 50","6,059.45","-0.05","6,073.15","6,076.85","6,058.90","-","6,062.75","6,062.75","6,055.55","5,787.10","5,806.85","6,584.65","5,614.00",4.71,4.35
"NIFTY GROWTH SECTORS 15","11,876.70","0.44","11,831.95","11,881.95","11,822.00","-","11,824.25","11,824.25","11,874.00","10,915.70","11,148.70","12,852.45","10,329.35",8.8,6.53
"NIFTY100 QUALITY 30","5,798.10","0.18","5,790.35","5,802.70","5,781.80","-","5,787.70","5,787.70","5,792.90","5,493.65","5,431.05","-","-",5.54,6.76
"NIFTY50 VALUE 20","12,137.45","0.06","12,148.00","12,163.85","12,136.60","-","12,130.60","12,130.60","12,202.00","12,021.00","12,307.45","13,684.40","11,528.60",0.97,-1.38
"NIFTY50 TR 2X LEVERAGE","18,936.60","0.10","18,926.70","18,987.20","18,893.30","-","18,917.50","18,917.50","19,236.30","18,368.85","19,466.65","22,435.45","15,547.15",3.09,-2.72
"NIFTY50 PR 2X LEVERAGE","12,429.90","0.10","12,423.40","12,463.15","12,401.50","-","12,417.80","12,417.80","12,632.05","12,109.65","13,086.25","14,993.40","10,365.70",2.64,-5.02
"NIFTY50 TR 1X INVERSE","175.20","-0.03","175.20","175.40","174.95","-","175.25","175.25","173.75","177.70","172.75","193.35","161.80",-1.41,1.42
"NIFTY50 PR 1X INVERSE","215.85","-0.02","215.90","216.10","215.55","-","215.90","215.90","214.05","218.50","210.50","236.50","197.80",-1.21,2.54
"NIFTY50 DIVIDEND POINTS","187.67","0.23","187.67","187.67","187.67","-","187.24","187.24","182.42","134.61","174.84","-","-",39.42,7.34
"NIFTY ALPHA 50","56,170.85","0.27","56,213.35","56,223.25","56,047.65","-","56,016.95","56,016.95","54,710.15","54,265.10","49,661.70","-","-",3.51,13.11
"NIFTY50 EQUAL WEIGHT","33,721.45","0.07","33,703.25","33,753.50","33,641.25","-","33,696.45","33,696.45","33,970.65","32,788.30","30,613.45","-","-",2.85,10.15
"NIFTY100 EQUAL WEIGHT","35,631.75","0.08","35,632.15","35,651.80","35,555.85","-","35,604.85","35,604.85","35,684.80","34,601.40","31,741.10","-","-",2.98,12.26
"NIFTY100 LOW VOLATILITY 30","20,730.10","0.19","20,691.95","20,755.45","20,670.25","-","20,691.55","20,691.55","20,894.80","20,059.75","19,660.80","-","-",3.34,5.44
"NIFTY200 QUALITY 30","21,056.10","0.17","21,044.05","21,078.05","21,011.70","-","21,020.40","21,020.40","20,960.20","20,027.25","20,075.65","-","-",5.14,4.88
"NIFTY ALPHA LOW-VOLATILITY 30","27,695.70","0.14","27,674.05","27,713.45","27,618.80","-","27,657.45","27,657.45","27,808.70","26,884.50","25,823.80","-","-",3.02,7.25
"NIFTY200 MOMENTUM 30","31,131.10","0.29","31,175.50","31,179.45","31,025.20","-","31,040.20","31,040.20","30,836.80","30,606.65","29,703.30","-","-",1.71,4.81
"NIFTY MIDCAP150 QUALITY 50","24,927.15","0.37","24,916.90","24,937.45","24,866.55","-","24,834.25","24,834.25","24,709.05","24,138.55","23,691.20","-","-",3.27,5.22
"NIFTY200 ALPHA 30","26,709.85","0.40","26,736.65","26,738.90","26,611.45","-","26,602.15","26,602.15","26,460.80","26,370.00","24,195.05","-","-",1.29,10.39
"NIFTY MIDCAP150 MOMENTUM 50","63,989.20","0.30","64,056.70","64,084.10","63,867.20","-","63,798.35","63,798.35","63,415.85","62,905.75","59,780.00","-","-",1.72,7.04
"NIFTY500 MOMENTUM 50","54,616.30","0.13","54,760.00","54,762.00","54,498.25","-","54,545.15","54,545.15","53,755.55","53,591.40","50,603.10","-","-",1.91,7.93
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","51,974.00","0.28","52,015.50","52,043.85","51,887.05","-","51,830.60","51,830.60","51,292.50","50,821.35","47,270.00","-","-",2.27,9.95
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","48,317.80","0.05","48,332.40","48,356.90","48,228.80","-","48,293.35","48,293.35","47,628.20","47,524.75","44,249.05","-","-",1.67,9.2
"NIFTY TOP 10 EQUAL WEIGHT","8,766.10","0.01","8,759.70","8,779.90","8,753.95","-","8,765.40","8,765.40","8,853.20","8,563.50","9,286.65","-","-",2.37,-5.61
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","23,407.65","0.33","23,348.45","23,437.05","23,319.60","-","23,331.70","23,331.70","23,518.00","22,872.90","21,662.05","-","-",2.34,8.06
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","20,810.65","0.14","20,796.80","20,836.50","20,762.45","-","20,781.25","20,781.25","20,756.70","20,150.20","20,014.55","-","-",3.28,3.98
"NIFTY HIGH BETA 50","4,502.95","-0.16","4,505.50","4,506.60","4,494.00","-","4,510.10","4,510.10","4,497.75","4,462.55","3,533.85","-","-",0.91,27.42
"NIFTY LOW VOLATILITY 50","25,247.75","0.16","25,214.60","25,269.80","25,184.05","-","25,206.55","25,206.55","25,487.70","24,606.60","24,298.40","-","-",2.61,3.91
"NIFTY QUALITY LOW-VOLATILITY 30","17,074.15","0.32","17,018.20","17,098.10","17,010.15","-","17,019.45","17,019.45","17,211.05","16,473.85","16,645.75","-","-",3.64,2.57
"NIFTY SMALLCAP250 QUALITY 50","25,741.30","0.27","25,719.15","25,764.70","25,684.30","-","25,671.10","25,671.10","25,678.35","25,267.30","26,469.75","-","-",1.88,-2.75
"NIFTY TOP 15 EQUAL WEIGHT","10,044.80","0.08","10,041.10","10,055.60","10,029.45","-","10,037.00","10,037.00","10,121.90","9,737.70","9,964.70","-","-",3.15,0.8
"NIFTY100 ALPHA 30","18,615.70","0.15","18,631.75","18,636.55","18,557.20","-","18,588.55","18,588.55","18,314.25","18,110.05","17,815.60","-","-",2.79,4.49
"NIFTY200 VALUE 30","15,300.40","-0.38","15,364.60","15,372.35","15,289.95","-","15,358.45","15,358.45","15,317.40","15,069.20","12,652.10","-","-",1.53,20.93
"NIFTY500 EQUAL WEIGHT","15,182.65","0.01","15,193.95","15,195.75","15,158.50","-","15,181.25","15,181.25","15,153.20","14,973.05","13,829.80","-","-",1.4,9.78
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","41,471.00","0.23","41,535.45","41,537.45","41,383.75","-","41,377.20","41,377.20","40,955.05","41,241.80","40,116.75","-","-",0.56,3.38
"NIFTY500 VALUE 50","16,411.10","-0.24","16,460.35","16,465.15","16,391.15","-","16,450.05","16,450.05","16,363.45","16,082.00","13,663.65","-","-",2.05,20.11
"NIFTY TOP 20 EQUAL WEIGHT","9,063.30","0.15","9,053.50","9,074.65","9,041.55","-","9,049.80","9,049.80","9,126.60","8,699.45","8,849.85","-","-",4.18,2.41
"NIFTY500 QUALITY 50","20,033.60","0.04","20,055.80","20,065.00","19,997.50","-","20,025.95","20,025.95","20,020.35","19,696.70","18,678.90","-","-",1.71,7.25
"NIFTY500 LOW VOLATILITY 50","22,821.15","0.03","22,824.10","22,849.40","22,781.55","-","22,813.65","22,813.65","23,047.60","22,107.95","21,014.65","-","-",3.23,8.6
"NIFTY500 MULTIFACTOR MQVLV 50","31,560.20","-0.14","31,620.80","31,629.05","31,531.55","-","31,604.20","31,604.20","31,600.15","31,042.75","29,868.85","-","-",1.67,5.66
"NIFTY50 USD","8,943.65","0.01","8,942.05","9,016.55","8,933.35","-","8,942.06","8,942.06","9,003.92","8,798.93","-","-","-",1.64,-7.13
"NIFTY500 FLEXICAP QUALITY 30","10,281.00","0.39","10,251.95","10,289.95","10,246.75","-","10,241.45","10,241.45","10,281.50","9,840.65","-","-","-",4.47,0
"NIFTY TOTAL MARKET MOMENTUM QUALITY 50","44,179.90","0.16","44,282.45","44,284.60","44,063.95","-","44,109.30","44,109.30","43,546.85","43,627.25","-","-","-",1.27,0
"NIFTY COMMODITIES","9,987.15","-0.05","9,996.75","10,002.25","9,957.25","-","9,991.65","9,991.65","10,003.35","9,891.45","8,638.90","10,569.65","8,560.60",0.97,15.61
"NIFTY INDIA CONSUMPTION","12,226.85","0.24","12,196.50","12,233.95","12,173.55","-","12,197.35","12,197.35","12,258.70","11,737.75","11,647.10","12,716.20","10,298.50",4.17,4.98
"NIFTY CPSE","6,478.35","-0.10","6,489.55","6,490.80","6,470.40","-","6,484.65","6,484.65","6,573.25","6,645.15","6,317.20","7,593.35","6,101.90",-2.51,2.55
"NIFTY ENERGY","38,714.95","-0.09","38,844.80","38,847.85","38,658.50","-","38,749.85","38,749.85","38,937.00","39,242.05","34,391.95","41,828.55","32,890.30",-1.34,12.57
"NIFTY INFRASTRUCTURE","9,478.80","-0.27","9,498.45","9,501.15","9,461.55","-","9,504.15","9,504.15","9,507.80","9,429.45","8,879.10","9,792.60","8,426.65",0.52,6.75
"NIFTY100 LIQUID 15","7,709.40","-0.19","7,724.80","7,733.30","7,706.80","-","7,724.15","7,724.15","7,702.80","7,470.45","6,772.25","7,785.85","6,565.70",3.2,13.84
"NIFTY MIDCAP LIQUID 15","17,097.05","0.48","17,053.60","17,119.35","17,034.55","-","17,015.85","17,015.85","17,015.50","16,852.85","14,644.70","17,142.65","13,702.75",1.45,16.75
"NIFTY MNC","33,912.95","0.61","33,841.05","33,914.75","33,745.05","-","33,707.10","33,707.10","33,516.15","32,688.00","28,134.05","33,825.60","27,597.20",3.75,20.54
"NIFTY PSE","9,879.55","-0.43","9,921.00","9,922.65","9,876.05","-","9,922.35","9,922.35","10,005.40","9,911.25","9,529.40","10,839.05","9,168.35",-0.32,3.67
"NIFTY SERVICES SECTOR","31,294.70","0.09","31,299.70","31,363.70","31,293.45","-","31,265.20","31,265.20","31,774.35","31,168.35","32,033.20","34,549.75","28,232.65",0.41,-2.31
"NIFTY100 ESG SECTOR LEADERS","4,132.45","0.08","4,129.85","4,136.45","4,124.70","-","4,129.00","4,129.00","4,172.10","4,077.40","4,076.45","-","-",1.35,1.37
"NIFTY INDIA DIGITAL","8,713.40","0.35","8,700.70","8,725.85","8,700.35","-","8,682.65","8,682.65","8,737.45","8,135.55","8,641.35","9,723.25","7,233.65",7.1,0.83
"NIFTY100 ESG","5,136.50","0.09","5,137.00","5,141.25","5,128.45","-","5,132.10","5,132.10","5,173.65","4,958.20","4,794.50","-","-",3.6,7.13
"NIFTY INDIA MANUFACTURING","16,690.20","0.17","16,680.00","16,694.80","16,629.35","-","16,662.45","16,662.45","16,521.40","15,939.00","13,947.25","-","-",4.71,19.67
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","14,892.95","0.62","14,809.20","14,895.90","14,774.65","-","14,801.90","14,801.90","14,994.30","14,019.50","14,486.15","15,588.85","13,218.65",6.23,2.81
