IndexCode,IndexID,IndexName,PreviousClose,OpenPrice,HighPrice,LowPrice,ClosePrice,52weeksHigh,52weeksLow,Filler1,Filler2,Filler3,Filler4
1,SENSEX,BSE SENSEX,78499.17,78501.59,78676.98,78298.92,78542.44,86159.02,71545.81,,,,
2,BSE100,BSE 100,26271.67,26279.07,26333.83,26224.69,26290.52,27621.72,23249.92,,,,
3,BSE200,BSE 200,11519.14,11527.86,11548.25,11499.15,11528.90,11944.41,10077.77,,,,
4,BSE500,BSE 500,37099.57,37130.37,37199.37,37036.57,37131.97,37874.46,31965.51,,,,
7,BSE CG,BSE CAPITAL GOODS,79282.73,79411.00,79739.51,78971.16,79652.53,84777.05,61099.75,,,,
8,BSE CD,BSE CONSUMER DURABLES,64972.91,65343.76,65876.67,64721.72,65758.16,66005.32,51821.68,,,,
10,BSEPSU,BSE PSU,21095.95,21161.37,21165.00,20834.52,20885.80,22589.26,18256.71,,,,
11,TECK,BSE TECK,15832.24,15843.78,15939.23,15780.94,15828.64,19167.87,13891.13,,,,
12,BANKEX,BSE BANKEX,65492.23,65373.21,65670.83,65161.20,65306.94,69406.97,56230.38,,,,
13,AUTO,BSE AUTO,65073.81,65311.50,65675.73,65043.94,65045.06,65675.73,52099.69,,,,
14,METAL,BSE METAL,42153.13,42342.49,42519.89,42150.72,42196.25,45388.14,30311.19,,,,
15,OILGAS,BSE OIL&GAS,26349.18,26511.06,26511.06,26298.68,26401.28,29833.46,25073.03,,,,
21,REALTY,BSE REALTY,6911.39,6950.91,7047.23,6876.04,7022.10,7568.28,4956.78,,,,
22,POWER,BSE POWER,7660.66,7669.73,7683.62,7625.36,7676.68,8573.90,5983.27,,,,
23,BSEIPO,BSE IPO,17914.27,17963.49,18008.84,17905.62,17920.79,18008.84,13673.97,,,,
27,SMEIPO,BSE SME IPO,102418.19,102825.82,103550.57,102436.14,102506.67,110401.84,73866.86,,,,
28,INFRA,BSE INDIA INFRA INDEX,587.35,587.85,587.85,581.99,583.43,633.79,528.80,,,,
29,CPSE,BSE CPSE,3881.59,3883.15,3883.78,3853.98,3861.90,4265.39,3559.27,,,,
32,BSEFMC,BSE FMCG,18473.74,18537.20,18558.02,18436.88,18483.86,21490.85,16740.58,,,,
33,BSE HC,BSE Healthcare,51234.81,51125.43,51574.61,51035.92,51188.97,51574.61,40239.45,,,,
34,BSE IT,BSE IT,30304.54,30402.41,30691.80,30322.88,30370.05,38598.21,25164.70,,,,
35,MFG,BSE INDIA MFG INDEX,1106.71,1109.45,1112.07,1105.96,1109.15,1124.57,999.44,,,,
37,COMDTY,BSE COMMODITIES,8793.38,8818.68,8854.14,8776.34,8805.70,8923.87,7268.95,,,,
38,CONDIS,BSE CONSUMER DISCRE,10333.24,10366.02,10413.48,10333.98,10355.98,10413.48,8158.47,,,,
39,ENERGY,BSE ENERGY,11407.29,11454.06,11454.31,11362.11,11388.43,12537.31,10920.35,,,,
40,FINSER,BSE FINANCIAL SERVCS,12616.13,12607.81,12640.63,12557.35,12631.55,13392.39,10959.13,,,,
41,INDSTR,BSE INDUSTRIALS,16516.74,16553.44,16611.61,16466.29,16584.25,17152.55,13118.74,,,,
43,MIDSEL,BSE MIDCAP SELECT,18804.87,18814.68,18886.06,18723.34,18846.67,18886.06,14644.25,,,,
44,SMLSEL,BSE SMALLCAP SELECT,9066.08,9087.42,9121.37,9049.29,9080.16,9121.37,6803.36,,,,
45,TELCOM,BSE TELECOMMUNICATION,3592.19,3591.89,3614.42,3572.56,3586.81,3793.58,2676.37,,,,
46,UTILS,BSE UTILITIES,5718.99,5719.84,5720.65,5674.51,5700.20,6419.58,4789.17,,,,
47,SNSX50,BSE SENSEX 50,25799.43,25801.80,25859.07,25748.34,25809.18,27541.52,23185.03,,,,
48,SNXT50,BSE SENSEX NEXT 50,89137.05,89228.07,89423.98,89011.41,89319.08,89802.84,74029.08,,,,
49,BHRT22,BSE BHARAT 22 INDEX,8973.93,8986.51,8988.76,8909.65,8922.64,9837.10,8145.03,,,,
50,ESG100,BSE 100 ESG INDEX,417.88,417.97,418.79,417.05,418.06,440.83,370.38,,,,
55,MID150,BSE 150 MIDCAP INDEX,17240.08,17260.52,17302.79,17197.94,17269.15,17302.79,14130.50,,,,
56,SML250,BSE 250 SMALLCAP,7240.15,7254.63,7276.47,7231.07,7243.00,7276.47,5605.74,,,,
57,LMI250,BSE 250 LARGEMIDCAP,10975.74,10983.32,11002.87,10955.94,10985.96,11319.13,9557.65,,,,
58,MSL400,BSE 400 MIDSMALLCAP,12888.44,12907.29,12941.14,12862.92,12904.49,12941.14,10400.68,,,,
59,BSEDSI,BSE DVND STABILITY,1058.41,1060.33,1060.94,1052.54,1054.22,1095.64,951.00,,,,
60,BSEEVI,BSE ENHANCED VALUE,1040.90,1045.59,1045.84,1027.10,1029.78,1150.94,891.58,,,,
61,BSELVI,BSE LOW VOLATILITY,1810.19,1807.84,1812.40,1804.97,1807.45,1917.30,1623.09,,,,
62,BSEMOI,BSE MOMENTUM INDEX,2256.24,2254.53,2261.78,2247.36,2260.04,2323.97,1894.58,,,,
63,BSEQUI,BSE QUALITY INDEX,1935.87,1939.20,1940.95,1932.01,1936.79,1946.48,1662.93,,,,
64,DFRGRI,BSE DIVERS FIN REV GR,1703.39,1699.09,1718.53,1695.48,1717.90,1732.14,1391.52,,,,
65,LCTMCI,BSE 100 LARGECAP TMC,9269.55,9274.57,9292.16,9253.75,9276.07,9738.10,8212.16,,,,
66,BSEPBI,BSE PRIVATE BANKS,19988.39,19928.46,20049.66,19921.38,20014.71,21724.28,17277.69,,,,
67,BSESER,BSE Services,1655.86,1653.37,1655.68,1647.74,1655.04,1706.54,1281.34,,,,
68,SNXN30,BSE SENSEX NEXT 30,43196.67,43233.07,43407.82,43164.28,43230.14,43407.82,36415.87,,,,
69,SNSX60,BSE SENSEX SIXTY,33368.54,33375.72,33451.48,33309.52,33388.63,35434.57,29895.59,,,,
70,SS6535,BSE SENSEXSIXTY 65:35,34562.73,34573.69,34654.61,34512.94,34584.51,35978.21,30645.29,,,,
71,POWENE,BSE POWER & ENERGY,3939.99,3948.55,3948.55,3918.45,3930.13,4309.06,3582.65,,,,
