IndexCode,IndexID,IndexName,PreviousClose,OpenPrice,HighPrice,LowPrice,ClosePrice,52weeksHigh,52weeksLow,Filler1,Filler2,Filler3,Filler4
1,SENSEX,BSE SENSEX,78639.03,79132.97,79143.15,78211.87,78428.95,86159.02,71545.81,,,,
2,BSE100,BSE 100,26244.80,26432.25,26434.30,26126.15,26183.68,27621.72,23249.92,,,,
3,BSE200,BSE 200,11507.16,11581.49,11582.24,11459.03,11479.27,11944.41,10077.77,,,,
4,BSE500,BSE 500,36985.17,37223.30,37225.61,36876.65,36933.47,37874.46,31965.51,,,,
7,BSE CG,BSE CAPITAL GOODS,77439.56,77848.40,78733.24,77682.13,78172.59,84777.05,61099.75,,,,
8,BSE CD,BSE CONSUMER DURABLES,65253.91,65805.37,65904.82,65044.09,65328.75,65904.82,51821.68,,,,
10,BSEPSU,BSE PSU,20757.42,20909.48,20912.00,20699.96,20737.76,22589.26,18256.71,,,,
11,TECK,BSE TECK,15825.30,15966.89,15971.57,15727.72,15792.53,19167.87,13891.13,,,,
12,BANKEX,BSE BANKEX,65379.53,65832.72,65832.72,65036.13,65319.08,69406.97,56230.38,,,,
13,AUTO,BSE AUTO,63727.77,64116.79,64134.30,63663.96,63705.93,64584.14,52099.69,,,,
14,METAL,BSE METAL,41400.79,41673.87,41946.96,41397.79,41751.66,45388.14,30311.19,,,,
15,OILGAS,BSE OIL&GAS,26480.36,26669.24,26669.24,26341.52,26442.16,29833.46,25073.03,,,,
21,REALTY,BSE REALTY,7042.51,7056.20,7073.28,6954.41,6959.17,7568.28,4956.78,,,,
22,POWER,BSE POWER,7690.41,7746.73,7776.20,7673.91,7683.26,8573.90,5983.27,,,,
23,BSEIPO,BSE IPO,17720.42,17789.49,17812.33,17626.30,17673.47,17870.51,13673.97,,,,
27,SMEIPO,BSE SME IPO,101288.55,101419.37,101762.44,101201.13,101386.60,110401.84,73866.86,,,,
28,INFRA,BSE INDIA INFRA INDEX,590.73,594.69,594.97,588.04,588.75,633.79,528.80,,,,
29,CPSE,BSE CPSE,3865.30,3893.59,3898.05,3856.13,3865.11,4265.39,3559.27,,,,
32,BSEFMC,BSE FMCG,18524.01,18643.21,18643.21,18345.38,18419.97,21490.85,16740.58,,,,
33,BSE HC,BSE Healthcare,50754.08,51024.72,51024.72,50695.72,50788.72,51318.20,40239.45,,,,
