SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"DELHIVERY","456.40","479.85","452.50","473.30","474.60","-","1.3","0.27","6472765","302.08","524.00","374.45","-9.03","1.86"
"BOSCHLTD","42,950.00","43,185.00","42,620.00","42,950.00","43,060.00","-","110","0.26","2563","11.01","43,650.00","28,610.00","2.71","12.07"
"INDIANB","889.50","901.80","887.00","889.50","891.85","-","2.35","0.26","281813","25.22","1,000.90","631.00","2.16","36.67"
"INFY","1,178.10","1,185.00","1,175.20","1,175.10","1,178.10","-","3","0.26","984852","116.11","1,728.00","982.40","10.03","-17.43"
"TATACONSUM","1,085.60","1,087.00","1,082.30","1,082.30","1,085.00","-","2.7","0.25","17925","1.94","1,282.70","1,007.20","-2.66","2.98"
"PIDILITIND","1,660.00","1,666.70","1,652.80","1,660.00","1,663.90","-","3.9","0.23","53913","8.95","1,686.40","1,259.00","3.85","-46.13"
"HINDZINC","606.00","606.90","602.80","603.00","604.35","-","1.35","0.22","491150","29.72","733.00","414.55","12.3","43.33"
"NESTLEIND","1,534.10","1,547.50","1,532.10","1,540.00","1,543.20","-","3.2","0.21","65643","10.12","1,553.00","1,084.70","5.83","40.45"
"360ONE","1,170.00","1,177.10","1,164.30","1,168.10","1,170.40","-","2.3","0.2","48750","5.71","1,236.20","906.05","3.46","12.02"
"OFSS","11,805.00","11,912.00","11,805.00","11,805.00","11,827.00","-","22","0.19","9076","10.77","11,979.00","6,234.50","1.32","40.14"
"BANDHANBNK","176.05","176.67","175.75","176.02","176.30","-","0.28","0.16","156301","2.75","220.76","134.25","-16.18","6.56"
"SBILIFE","1,855.50","1,862.10","1,848.10","1,855.50","1,858.30","-","2.8","0.15","66159","12.27","2,132.00","1,700.40","-0.4","1.19"
"JSWSTEEL","1,299.50","1,304.70","1,295.00","1,299.50","1,301.50","-","2","0.15","40170","5.23","1,335.00","1,022.30","4.34","23.86"
"SIEMENS","3,940.20","3,967.50","3,908.70","3,940.10","3,946.00","-","5.9","0.15","17787","7.00","4,073.80","2,826.00","12.69","29.96"
"NMDC","84.96","85.15","84.71","84.92","85.04","-","0.12","0.14","948630","8.06","97.49","68.19","0","19.49"
