SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"BANDHANBNK","173.00","175.79","173.00","170.46","175.65","-","5.19","3.04","1999446","34.98","220.76","134.25","-17.81","2.75"
"KPITTECH","628.90","639.25","628.90","623.00","636.15","-","13.15","2.11","258411","16.43","1,328.00","543.00","11.65","-48.53"
"HAL","4,695.30","4,759.30","4,685.40","4,645.00","4,739.90","-","94.9","2.04","99074","46.79","4,978.00","3,479.10","4.6","1.46"
"MUTHOOTFIN","2,933.00","2,952.30","2,933.00","2,892.00","2,947.00","-","55","1.9","91680","26.98","4,149.50","2,476.60","-7.83","9.48"
"MANAPPURAM","368.70","372.15","368.30","363.60","369.95","-","6.35","1.75","314481","11.62","381.55","245.15","5.06","40.44"
"LTM","4,535.50","4,591.10","4,521.30","4,506.00","4,577.10","-","71.1","1.58","10424","4.77","6,429.50","3,528.00","20.89","0"
"SWIGGY","290.30","294.30","287.90","289.90","293.85","-","3.95","1.36","806025","23.51","474.00","235.75","16.72","-24.81"
"JIOFIN","262.20","265.90","262.20","261.95","265.45","-","3.5","1.34","880067","23.26","338.60","223.30","9.15","-21.3"
"MCX","2,620.50","2,644.00","2,618.00","2,598.60","2,632.20","-","33.6","1.29","190245","50.11","3,480.00","1,460.80","-4.57","-67.01"
"PNBHOUSING","1,138.10","1,147.70","1,131.90","1,121.60","1,136.10","-","14.5","1.29","95397","10.86","1,154.00","729.60","2.92","46.08"
"TECHM","1,655.00","1,668.90","1,651.80","1,650.00","1,667.60","-","17.6","1.07","75448","12.55","1,854.00","1,304.10","17.31","11.08"
"RELIANCE","1,285.00","1,294.00","1,281.20","1,280.00","1,293.50","-","13.5","1.05","822587","105.97","1,611.80","1,249.80","-3.13","-8.03"
"TATAELXSI","3,750.10","3,800.80","3,746.00","3,749.80","3,788.00","-","38.2","1.02","20006","7.56","6,055.00","3,353.90","2.49","-37.1"
"ETERNAL","311.00","313.60","310.00","310.35","313.40","-","3.05","0.98","368011","11.48","368.45","212.60","9.51","2.71"
"GODREJCP","1,075.00","1,081.00","1,072.30","1,069.00","1,079.20","-","10.2","0.95","9280","1.00","1,309.00","967.05","-2.87","-12.33"
"DIXON","14,310.00","14,444.00","14,310.00","14,310.00","14,432.00","-","122","0.85","8317","11.96","18,471.00","9,600.00","7.56","-15.07"
"BDL","1,243.10","1,252.00","1,235.20","1,240.00","1,250.50","-","10.5","0.85","46984","5.84","1,654.00","1,086.00","-12.03","-21.85"
"COFORGE","1,813.90","1,813.90","1,790.00","1,777.00","1,791.50","-","14.5","0.82","158645","28.55","1,989.70","1,008.10","19.91","4.12"
"NESTLEIND","1,531.90","1,534.00","1,522.00","1,520.00","1,532.30","-","12.3","0.81","195982","30.00","1,535.90","1,084.70","3.14","-32.96"
"INFY","1,174.10","1,185.80","1,174.10","1,174.00","1,182.90","-","8.9","0.76","362595","42.79","1,728.00","982.40","12.65","-19.61"
"KALYANKJIL","575.00","578.00","572.60","569.50","573.75","-","4.25","0.75","784764","45.16","648.95","327.05","49.38","-5.08"
"ASIANPAINT","2,788.00","2,788.00","2,772.90","2,760.00","2,780.00","-","20","0.72","96412","26.81","2,985.70","2,115.00","0.19","13.26"
"HCLTECH","1,349.90","1,363.20","1,346.40","1,350.00","1,359.60","-","9.6","0.71","92974","12.63","1,780.10","1,030.00","19.03","-8.95"
"CROMPTON","267.40","268.10","266.50","266.10","267.95","-","1.85","0.7","23670","0.63","337.50","217.40","-2.28","-17.68"
"TCS","2,417.00","2,434.50","2,417.00","2,413.00","2,429.70","-","16.7","0.69","168189","40.80","3,350.00","1,976.80","17.27","-21.24"
"PETRONET","281.00","282.70","280.05","280.80","282.70","-","1.9","0.68","36165","1.02","326.40","235.35","1.92","1.61"
"KAYNES","3,900.00","3,924.00","3,895.00","3,898.00","3,923.00","-","25","0.64","36726","14.36","7,705.00","2,995.00","16.04","-38.38"
"CIPLA","1,461.00","1,468.80","1,461.00","1,458.80","1,468.10","-","9.3","0.64","11098","1.63","1,673.00","1,165.70","-0.92","-2.73"
"MANKIND","2,450.00","2,453.20","2,445.60","2,435.60","2,450.30","-","14.7","0.6","2464","0.60","2,674.00","1,909.70","-4.17","-7"
"MOTHERSON","155.30","155.90","154.78","154.35","155.25","-","0.9","0.58","611474","9.50","156.39","89.70","6.21","58.5"
"POLICYBZR","1,665.00","1,673.90","1,623.00","1,620.00","1,629.30","-","9.3","0.57","477748","78.57","1,974.00","1,364.00","2.49","-7.32"
"VBL","437.95","439.85","437.20","437.00","439.50","-","2.5","0.57","57145","2.51","555.80","381.00","-11.69","-13.99"
"OFSS","11,800.00","11,898.00","11,768.00","11,759.00","11,825.00","-","66","0.56","23150","27.44","11,979.00","6,234.50","6.21","37.13"
"UPL","576.70","581.95","575.75","577.25","580.50","-","3.25","0.56","323472","18.71","812.20","563.15","-5.16","-19.88"
"VEDL","280.95","282.35","278.00","277.00","278.50","-","1.5","0.54","1506613","42.21","795.00","249.70","-1.77","-36.82"
"WIPRO","186.00","188.24","186.00","186.99","187.98","-","0.99","0.53","401210","7.51","273.10","169.00","7.27","-23.96"
"INDUSTOWER","386.95","387.80","386.50","385.85","387.80","-","1.95","0.51","136493","5.28","481.50","312.55","-0.18","12.54"
"MARICO","851.00","856.40","848.00","852.00","856.00","-","4","0.47","37599","3.21","889.10","690.30","1.66","18.99"
