SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"BRITANNIA","5,502.50","5,655.00","5,502.50","5,404.00","5,634.00","-","230","4.26","351301","197.19","6,336.00","5,035.00","-0.79","0.03"
"MOTHERSON","155.17","163.80","155.17","155.00","161.58","-","6.58","4.25","9850800","158.89","163.80","89.70","8.11","62.56"
"KALYANKJIL","607.00","625.00","601.15","598.00","622.40","-","24.4","4.08","6763491","415.14","648.95","327.05","68.57","1.32"
"LTM","4,542.00","4,647.80","4,542.00","4,528.00","4,643.00","-","115","2.54","74364","34.25","6,429.50","3,528.00","17.35","0"
"TECHM","1,639.80","1,672.90","1,636.40","1,632.20","1,671.30","-","39.1","2.4","806578","133.77","1,854.00","1,304.10","12.76","11.87"
"TCS","2,375.00","2,430.00","2,375.00","2,373.00","2,426.00","-","53","2.23","641087","154.63","3,350.00","1,976.80","13.21","-21.74"
"HCLTECH","1,329.00","1,362.80","1,328.00","1,335.00","1,361.70","-","26.7","2","276891","37.42","1,780.10","1,030.00","14.28","-8.76"
"HEROMOTOCO","5,541.00","5,690.00","5,541.00","5,550.50","5,650.00","-","99.5","1.79","175259","98.89","6,388.50","4,422.30","11.11","24.04"
"TATAELXSI","3,716.40","3,785.00","3,716.10","3,715.00","3,780.80","-","65.8","1.77","29537","11.12","5,972.00","3,353.90","0.21","-36.12"
"LICI","393.45","396.85","391.65","387.55","394.00","-","6.45","1.66","11946670","470.40","468.48","360.75","-10.99","-56.59"
"BSE","3,435.00","3,529.00","3,415.50","3,435.00","3,491.60","-","56.6","1.65","780656","273.11","4,446.80","2,021.50","-6.74","43.87"
"PERSISTENT","5,470.00","5,550.00","5,465.00","5,459.50","5,544.00","-","84.5","1.55","37686","20.83","6,599.00","4,244.50","11.77","8.17"
"MCX","2,633.20","2,684.50","2,621.00","2,640.00","2,679.90","-","39.9","1.51","298982","79.80","3,480.00","1,460.80","-0.12","-65.9"
"POWERINDIA","31,945.00","32,400.00","31,945.00","31,900.00","32,340.00","-","440","1.38","8802","28.37","38,785.00","16,111.00","-0.05","56.22"
"PGEL","614.30","630.90","608.40","609.75","618.10","-","8.35","1.37","1052962","65.43","791.30","436.55","5.38","-18.91"
"KPITTECH","623.00","635.25","622.05","623.00","631.45","-","8.45","1.36","221338","13.96","1,328.00","543.00","10.78","-48.47"
"COFORGE","1,772.80","1,798.00","1,772.80","1,772.80","1,796.60","-","23.8","1.34","177293","31.78","1,989.70","1,008.10","16.92","8.21"
"MPHASIS","2,415.00","2,455.00","2,405.10","2,421.90","2,452.00","-","30.1","1.24","50880","12.41","3,037.20","2,013.00","1.99","-8.75"
"M&M","3,405.00","3,455.00","3,402.10","3,406.00","3,448.00","-","42","1.23","188015","64.63","3,839.90","2,896.00","6.56","5.53"
"VOLTAS","1,275.00","1,303.70","1,275.00","1,275.00","1,290.60","-","15.6","1.22","85863","11.09","1,582.50","1,186.80","-1.01","-2.98"
"FORTIS","920.00","933.10","903.35","920.00","930.95","-","10.95","1.19","609927","56.25","1,104.30","766.80","-5.34","7.21"
"DELHIVERY","466.00","469.00","464.05","463.60","468.90","-","5.3","1.14","253233","11.82","524.00","374.45","-10.48","1.93"
"OIL","445.25","451.00","443.55","444.00","448.95","-","4.95","1.11","200794","9.00","531.00","384.60","4.93","2.78"
"ONGC","238.50","240.15","238.05","237.80","239.98","-","2.18","0.92","1280072","30.60","307.50","227.65","-2.61","1.72"
"INDIANB","879.35","885.85","878.10","877.90","885.80","-","7.9","0.9","334083","29.47","1,000.90","626.85","11.7","37.71"
"INFY","1,160.00","1,176.40","1,155.60","1,165.00","1,175.10","-","10.1","0.87","829975","97.03","1,728.00","982.40","8.7","-18.91"
"WIPRO","185.87","187.95","185.65","186.12","187.68","-","1.56","0.84","960140","17.98","273.10","169.00","7.58","-22.44"
"APLAPOLLO","1,945.90","1,968.50","1,945.90","1,945.00","1,960.80","-","15.8","0.81","29970","5.88","2,301.40","1,549.00","6.88","23.96"
"PRESTIGE","1,577.00","1,599.80","1,577.00","1,578.00","1,590.10","-","12.1","0.77","19528","3.11","1,805.20","1,090.00","-5.7","-1.66"
"LAURUSLABS","1,838.00","1,848.00","1,833.20","1,830.00","1,843.80","-","13.8","0.75","210772","38.86","1,856.60","810.05","23.87","118.85"
"OBEROIRLTY","1,780.00","1,792.20","1,770.50","1,777.00","1,789.50","-","12.5","0.7","26108","4.66","1,986.10","1,391.20","-6.79","10.75"
"PETRONET","275.40","279.95","275.40","276.95","278.80","-","1.85","0.67","62997","1.75","326.40","235.35","-0.95","1.6"
"TVSMOTOR","4,380.00","4,420.00","4,378.00","4,375.00","4,404.00","-","29","0.66","61681","27.13","4,455.20","2,931.30","17.84","48.17"
"MANKIND","2,430.00","2,439.10","2,425.10","2,420.30","2,436.10","-","15.8","0.65","12619","3.07","2,674.00","1,909.70","-4.24","-5.32"
"GODREJPROP","2,081.00","2,103.60","2,074.10","2,081.90","2,094.90","-","13","0.62","38007","7.96","2,352.00","1,434.00","1.9","0.99"
