"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY 50","24,383.60","0.27","0.27","20.78","2.99","1.22"
"NIFTY NEXT 50","73,651.30","1.31","1.31","19.49","3.47","1.21"
"NIFTY BANK","57,264.85","0.21","0.21","13.61","1.75","0.66"
"NIFTY FINANCIAL SERVICES","26,594.05","1.31","1.31","16.53","2.51","0.95"
"NIFTY MIDCAP SELECT","14,784.40","0.73","0.73","35.66","4.75","0.62"
