SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"ABCAPITAL","410.00","424.00","410.00","404.30","423.75","-","19.45","4.81","2098396","88.01","424.00","243.00","0.76","60.79"
"LTF","314.55","322.40","314.10","311.25","322.20","-","10.95","3.52","1121663","35.77","338.60","194.40","-4.82","54.74"
"INOXWIND","78.90","81.14","78.54","78.14","80.60","-","2.46","3.15","2809907","22.56","159.30","73.81","-11.2","-48.51"
"DIVISLAB","8,380.00","8,500.00","8,105.00","8,056.00","8,294.50","-","238.5","2.96","548694","452.05","8,500.00","5,636.50","19.22","26.64"
"CHOLAFIN","1,870.40","1,905.00","1,870.40","1,849.90","1,904.40","-","54.5","2.95","290521","54.99","1,905.00","1,299.40","3.36","30.05"
"ASHOKLEY","169.28","171.90","169.13","166.18","170.96","-","4.78","2.88","5439343","92.94","215.42","114.96","1.11","38.08"
"BAJFINANCE","1,176.30","1,176.40","1,156.20","1,141.20","1,174.00","-","32.8","2.87","3232929","377.57","1,176.40","787.90","10.65","30.33"
"INDIGO","5,300.00","5,374.50","5,280.00","5,171.00","5,313.00","-","142","2.75","179254","95.56","6,232.50","3,895.20","-4.71","-10.67"
"SHRIRAMFIN","1,058.00","1,075.90","1,051.60","1,046.70","1,075.40","-","28.7","2.74","723705","77.04","1,108.00","566.50","-1.59","70.42"
"HYUNDAI","2,212.10","2,246.00","2,212.10","2,180.70","2,240.30","-","59.6","2.73","291614","65.07","2,890.00","1,658.00","9.4","-0.01"
"BAJAJFINSV","2,050.50","2,084.00","2,040.40","2,029.10","2,084.00","-","54.9","2.71","258970","53.45","2,195.00","1,597.00","7.04","5.89"
"FORCEMOT","18,216.00","18,442.00","18,103.00","17,902.00","18,347.00","-","445","2.49","17390","31.87","26,450.00","14,911.00","-4.8","7.14"
"IOC","142.52","145.20","142.52","140.17","143.66","-","3.49","2.49","6053350","87.39","188.96","130.22","-0.98","-0.61"
"GODFRYPHLP","2,144.80","2,194.00","2,134.20","2,133.40","2,183.00","-","49.6","2.32","91063","19.81","3,947.00","1,832.10","-1.69","-75.69"
"ADANIGREEN","1,390.00","1,416.80","1,387.70","1,383.00","1,415.00","-","32","2.31","592955","83.37","1,631.50","765.00","-11.13","42.2"
"IREDA","120.38","122.31","120.19","119.59","122.18","-","2.59","2.17","1240500","15.10","163.35","108.65","-6.93","-17.91"
"TMPV","344.50","349.25","343.50","339.75","346.90","-","7.15","2.1","2591140","89.96","739.70","294.30","-1.26","0"
"NHPC","78.50","80.49","78.50","78.73","80.35","-","1.62","2.06","4280762","34.17","89.22","71.62","-2.24","-5.42"
"ITC","284.45","289.50","283.00","281.00","286.50","-","5.5","1.96","9552369","274.45","427.00","275.00","-3.09","-32.52"
"SUZLON","48.20","49.07","48.08","48.01","48.90","-","0.89","1.85","9910685","48.15","66.81","38.19","-15.58","-27.2"
"RADICO","4,350.80","4,438.50","4,349.90","4,340.80","4,421.30","-","80.5","1.85","39284","17.30","4,494.40","2,500.00","11.52","52.91"
"SAIL","170.60","172.70","170.00","169.03","171.99","-","2.96","1.75","1144881","19.68","209.70","118.10","-0.5","40.72"
"APLAPOLLO","1,820.30","1,858.90","1,820.30","1,819.50","1,848.60","-","29.1","1.6","86791","15.99","2,301.40","1,549.00","1.76","14.14"
"PIIND","2,754.60","2,794.80","2,746.60","2,751.20","2,794.40","-","43.2","1.57","20817","5.78","4,315.00","2,527.00","3.97","-34.34"
"ADANIENT","3,025.00","3,062.20","3,024.50","3,009.50","3,055.20","-","45.7","1.52","147303","44.90","3,245.00","1,753.00","-6.31","28.01"
"SHREECEM","26,150.00","26,825.00","26,110.00","26,055.00","26,445.00","-","390","1.5","5424","14.43","31,920.00","22,550.00","-2.65","-15.06"
"NATIONALUM","357.95","361.60","353.70","350.05","355.25","-","5.2","1.49","2077648","74.17","445.15","179.93","0.7","93.72"
"ICICIGI","1,632.70","1,650.60","1,632.70","1,623.70","1,647.90","-","24.2","1.49","49782","8.18","2,064.90","1,544.60","-8.41","-13.05"
"JUBLFOOD","439.95","446.00","439.95","438.25","444.30","-","6.05","1.38","131056","5.82","670.45","408.55","2.01","-31.73"
"ADANIENSOL","1,654.30","1,674.20","1,648.00","1,645.40","1,668.10","-","22.7","1.38","160140","26.65","1,789.00","744.90","4.88","107.48"
"ADANIPOWER","211.80","214.75","211.27","211.31","214.20","-","2.89","1.37","2567686","54.72","254.20","110.45","-4.73","-62.73"
"UPL","606.45","613.35","598.00","604.30","612.50","-","8.2","1.36","158588","9.66","812.20","563.15","-0.51","-9.15"
"KALYANKJIL","616.35","623.40","613.00","612.60","620.90","-","8.3","1.35","2792539","172.80","648.95","327.05","60.35","5.1"
"NAUKRI","1,231.80","1,245.20","1,231.80","1,226.25","1,242.40","-","16.1","1.31","65220","8.09","1,437.80","908.30","18.52","-10.36"
"KPITTECH","602.15","610.00","598.45","598.40","606.30","-","7.9","1.32","629131","38.02","1,328.00","543.00","7.12","-50.4"
"MFSL","1,519.10","1,523.00","1,510.00","1,499.00","1,518.60","-","19.6","1.31","16470","2.50","1,892.50","1,433.60","-6.11","1.8"
"HINDPETRO","396.90","398.85","394.20","389.75","394.80","-","5.05","1.3","1207558","47.94","508.45","316.20","-2.38","-3.48"
"DRREDDY","1,166.20","1,182.00","1,160.30","1,148.10","1,163.00","-","14.9","1.3","294352","34.34","1,414.90","1,101.00","-16.45","-5.94"
"NBCC","95.20","96.15","95.00","94.80","96.02","-","1.22","1.29","632938","6.06","125.85","77.18","-7.39","-11.62"
"VEDL","267.90","268.80","267.00","264.25","267.65","-","3.4","1.29","981233","26.27","795.00","249.70","-5.76","-37.74"
"JINDALSTEL","1,114.00","1,128.30","1,113.50","1,102.40","1,116.40","-","14","1.27","150612","16.87","1,306.20","941.55","4.59","16.59"
"NYKAA","335.00","338.60","332.80","333.40","337.60","-","4.2","1.26","543723","18.26","338.60","200.14","7.44","58.72"
"RVNL","225.70","228.80","225.70","225.48","228.29","-","2.81","1.25","635350","14.48","400.70","220.16","-4.36","-34.73"
"BANKINDIA","139.01","140.10","139.01","137.95","139.68","-","1.73","1.25","1009501","14.12","178.36","108.81","-4.23","26.22"
"TCS","2,383.90","2,404.80","2,383.00","2,365.60","2,394.70","-","29.1","1.23","267958","64.14","3,350.00","1,976.80","13","-21.23"
"CAMS","810.00","812.00","803.45","796.15","805.95","-","9.8","1.23","152328","12.31","844.90","611.40","-0.28","-78.15"
"BDL","1,254.90","1,272.00","1,254.90","1,253.10","1,268.40","-","15.3","1.22","66237","8.39","1,654.00","1,086.00","-9.73","-19.94"
"SBICARD","661.00","668.50","658.45","660.15","668.00","-","7.85","1.19","130033","8.64","965.00","565.45","9.33","-17.89"
"VMM","107.65","108.43","107.11","107.10","108.35","-","1.25","1.17","652721","7.03","157.60","98.77","-11.17","-24.08"
"MOTHERSON","152.90","153.57","152.03","150.75","152.50","-","1.75","1.16","1521538","23.26","155.25","89.70","3.04","57.79"
