"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 12-Aug-2026","1W AGO 
 06-Aug-2026","1M AGO 
 13-Jul-2026","1Y AGO 
 12-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY 50","24,324.00","-0.29","24,361.90","24,365.00","24,311.45","-","24,395.85","24,395.85","24,570.65","24,052.05","24,619.35","26,373.20","22,182.55",1.13,-1.25
"NIFTY NEXT 50","74,534.45","-0.26","74,616.30","74,740.10","74,519.90","-","74,726.65","74,726.65","74,697.55","71,851.60","66,622.25","74,878.45","59,896.10",3.73,12.06
"NIFTY BANK","57,517.95","-0.20","57,589.75","57,604.70","57,490.15","-","57,635.25","57,635.25","57,746.45","57,462.30","55,181.45","61,764.85","49,954.85",0.1,3.93
"NIFTY FINANCIAL SERVICES","26,274.95","-0.20","26,306.20","26,312.90","26,253.20","-","26,327.95","26,327.95","26,466.00","26,536.70","26,238.40","28,562.50","23,373.95",-0.99,-0.22
"NIFTY MIDCAP SELECT","15,040.05","-0.25","15,071.85","15,072.40","15,039.70","-","15,078.15","15,078.15","14,875.00","14,712.65","12,699.10","15,078.15","12,046.20",2.23,19
"NIFTY INDIA FPI 150","1,581.30","-0.35","1,584.85","1,585.05","1,581.10","-","1,586.80","1,586.80","1,592.55","1,554.75","-","1,641.40","1,346.50",1.71,0
"NIFTY 100","25,492.45","-0.29","25,529.70","25,532.25","25,486.40","-","25,565.65","25,565.65","25,712.70","25,088.65","25,223.25","26,975.15","22,720.45",1.61,1.06
"NIFTY 200","14,154.65","-0.29","14,179.25","14,180.70","14,154.10","-","14,195.45","14,195.45","14,231.10","13,923.40","13,713.60","14,700.95","12,396.10",1.66,3.26
"NIFTY 500","23,595.55","-0.26","23,635.65","23,638.30","23,594.70","-","23,658.10","23,658.10","23,712.10","23,199.45","22,698.10","24,144.20","20,385.65",1.71,4.04
"NIFTY MIDCAP 50","18,332.10","-0.35","18,399.55","18,403.50","18,331.75","-","18,396.35","18,396.35","18,172.60","17,988.15","15,996.60","18,396.35","14,804.55",1.91,15.11
"NIFTY MIDCAP 100","63,934.00","-0.29","64,114.55","64,139.05","63,931.05","-","64,121.55","64,121.55","63,463.55","62,766.40","56,681.50","64,125.35","52,032.85",1.86,13.15
