"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 11-Aug-2026","1W AGO 
 04-Aug-2026","1M AGO 
 10-Jul-2026","1Y AGO 
 08-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY 50","24,400.05","-0.29","24,472.45","24,473.30","24,390.60","-","24,471.70","24,471.70","24,624.65","24,206.90","24,585.05","26,373.20","22,182.55",0.8,-0.36
"NIFTY NEXT 50","74,449.65","-0.27","74,580.35","74,637.80","74,400.40","-","74,650.85","74,650.85","74,469.95","72,391.80","66,283.95","74,878.45","59,896.10",2.84,12.42
"NIFTY BANK","57,637.60","0.33","57,391.80","57,754.25","57,254.00","-","57,446.25","57,446.25","57,739.95","58,045.90","55,510.75","61,764.85","49,954.85",-0.7,4.71
"NIFTY FINANCIAL SERVICES","26,357.90","-0.28","26,423.75","26,441.60","26,287.80","-","26,432.40","26,432.40","26,843.90","26,831.05","26,405.80","28,562.50","23,373.95",-1.76,0.85
"NIFTY MIDCAP SELECT","14,933.75","-0.38","15,003.35","15,005.95","14,919.25","-","14,990.55","14,990.55","14,880.30","14,820.90","12,610.50","15,022.30","12,046.20",0.76,18.88
"NIFTY INDIA FPI 150","1,584.25","-0.36","1,589.95","1,589.95","1,583.50","-","1,589.95","1,589.95","1,595.65","1,562.80","-","1,641.40","1,346.50",1.37,0
"NIFTY 100","25,551.35","-0.29","25,621.50","25,622.20","25,542.25","-","25,625.40","25,625.40","25,744.05","25,255.10","25,172.20","26,975.15","22,720.45",1.17,1.86
"NIFTY 200","14,170.85","-0.27","14,211.15","14,211.50","14,163.80","-","14,209.50","14,209.50","14,251.35","14,009.25","13,682.25","14,700.95","12,396.10",1.15,3.92
"NIFTY 500","23,623.00","-0.25","23,689.55","23,690.05","23,614.05","-","23,681.15","23,681.15","23,735.55","23,348.40","22,633.45","24,144.20","20,385.65",1.18,4.67
"NIFTY MIDCAP 50","18,235.55","-0.42","18,333.25","18,333.70","18,219.00","-","18,312.35","18,312.35","18,218.45","18,059.50","15,922.25","18,336.75","14,804.55",0.97,15.01
"NIFTY MIDCAP 100","63,713.20","-0.20","63,919.45","63,920.10","63,641.75","-","63,843.85","63,843.85","63,605.25","63,036.80","56,479.00","63,986.70","52,032.85",1.07,13.12
"NIFTY SMALLCAP 100","19,815.70","-0.21","19,898.40","19,898.75","19,809.90","-","19,857.15","19,857.15","19,783.70","19,416.50","17,491.70","19,936.55","14,986.00",2.06,13.24
"INDIA VIX","11.75","-0.90","11.86","12.04","11.26","-","11.86","11.86","12.06","12.25","12.22","28.91","8.72",-4.08,-3.92
"NIFTY MIDCAP 150","23,417.50","-0.18","23,489.40","23,489.60","23,398.40","-","23,459.80","23,459.80","23,403.45","23,166.50","20,983.80","23,514.15","19,218.00",1.08,11.86
"NIFTY SMALLCAP 50","9,919.65","-0.23","9,961.65","9,964.90","9,915.95","-","9,942.80","9,942.80","9,843.15","9,621.15","8,457.40","9,983.75","7,338.35",3.1,17.07
