"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 11-Aug-2026","1W AGO 
 04-Aug-2026","1M AGO 
 10-Jul-2026","1Y AGO 
 08-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY SMALLCAP 250","18,363.60","-0.10","18,414.60","18,427.85","18,362.35","-","18,381.85","18,381.85","18,321.95","18,118.90","16,617.00","18,426.05","14,143.45",1.35,10.48
"NIFTY MIDSMALLCAP 400","21,582.05","-0.15","21,646.15","21,646.25","21,571.85","-","21,615.05","21,615.05","21,556.75","21,331.15","19,417.90","21,664.45","17,390.85",1.18,11.3
"NIFTY500 MULTICAP 50:25:25","16,751.70","-0.21","16,799.20","16,799.45","16,746.25","-","16,787.65","16,787.65","16,802.55","16,553.25","15,750.50","16,847.15","14,102.20",1.2,6.6
"NIFTY LARGEMIDCAP 250","16,919.50","-0.23","16,968.70","16,969.00","16,909.95","-","16,959.25","16,959.25","16,977.95","16,730.55","15,886.85","17,077.75","14,445.65",1.13,6.81
"NIFTY TOTAL MARKET","13,337.85","-0.22","13,373.30","13,373.55","13,332.80","-","13,367.80","13,367.80","13,396.25","13,177.00","12,736.30","13,548.00","11,436.55",1.22,5.01
"NIFTY MICROCAP 250","26,058.80","0.23","26,038.90","26,120.35","26,013.05","-","25,997.90","25,997.90","25,956.70","25,503.05","23,119.05","26,188.85","18,858.50",2.18,12.71
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","18,738.45","-0.19","18,792.15","18,792.35","18,732.50","-","18,774.00","18,774.00","18,767.35","18,515.15","17,356.65","18,831.80","15,495.10",1.21,8.16
"NIFTY SMALLCAP 500","20,901.45","-0.01","20,938.20","20,963.90","20,897.90","-","20,902.70","20,902.70","20,839.55","20,559.05","-","20,976.40","15,960.20",1.67,0
"NIFTY MIDSMALLCAP400 50:50","21,041.30","-0.14","21,102.75","21,102.85","21,034.70","-","21,070.70","21,070.70","21,010.85","20,787.80","-","21,119.20","16,874.30",1.22,0
"NIFTY AUTO","29,417.05","-0.14","29,476.25","29,603.40","29,395.70","-","29,458.55","29,458.55","29,411.55","26,860.75","23,723.75","29,865.50","23,560.10",9.52,23.31
"NIFTY FINANCIAL SERVICES 25/50","28,739.25","-0.31","28,824.15","28,824.15","28,662.75","-","28,828.15","28,828.15","29,271.00","29,279.75","28,361.60","-","-",-1.85,2.25
"NIFTY FMCG","48,435.90","-0.72","48,635.05","48,655.10","48,393.05","-","48,787.85","48,787.85","49,383.50","49,310.60","55,309.90","58,485.05","45,334.15",-1.77,-11.99
"NIFTY IT","31,668.90","-0.48","31,813.60","31,822.65","31,627.10","-","31,823.15","31,823.15","31,404.05","28,010.35","34,544.65","40,301.40","25,699.10",13.06,-8.67
"NIFTY MEDIA","1,555.20","0.16","1,555.90","1,559.95","1,550.75","-","1,552.75","1,552.75","1,575.15","1,484.30","1,637.70","1,674.40","1,245.05",4.78,-5.61
"NIFTY METAL","13,204.05","0.79","13,171.65","13,263.35","13,151.75","-","13,100.80","13,100.80","13,256.35","12,688.90","9,194.80","13,931.35","9,132.20",4.06,43.06
"NIFTY PHARMA","26,624.55","-0.47","26,763.85","26,797.90","26,615.60","-","26,750.45","26,750.45","26,563.55","25,674.10","21,604.65","26,801.20","21,149.90",3.7,22.39
"NIFTY PSU BANK","8,795.20","1.79","8,634.35","8,817.65","8,624.90","-","8,640.25","8,640.25","8,541.30","8,451.60","7,032.70","9,918.65","6,730.30",4.07,25.16
"NIFTY PRIVATE BANK","27,322.30","-0.21","27,345.55","27,400.60","27,226.55","-","27,380.35","27,380.35","27,744.25","28,083.95","26,779.00","29,748.45","23,957.45",-2.71,2.87
"NIFTY REALTY","880.30","-0.99","890.90","891.75","879.35","-","889.10","889.10","898.70","938.60","890.40","974.50","638.65",-6.21,-0.41
"NIFTY HEALTHCARE INDEX","16,570.50","-0.81","16,703.15","16,716.00","16,568.45","-","16,705.05","16,705.05","16,709.90","16,337.80","14,301.20","16,921.05","13,536.50",1.42,15.19
"NIFTY CONSUMER DURABLES","39,998.65","-0.75","40,355.70","40,372.30","39,961.90","-","40,302.50","40,302.50","40,258.40","38,208.90","37,277.50","40,631.50","32,587.95",4.68,8
"NIFTY OIL & GAS","11,253.75","-0.22","11,289.25","11,307.90","11,252.70","-","11,279.10","11,279.10","11,216.05","11,177.45","11,059.95","12,445.70","10,580.95",0.68,1.35
"NIFTY MIDSMALL HEALTHCARE","52,266.00","-0.73","52,674.30","52,744.25","52,262.25","-","52,651.90","52,651.90","52,025.85","51,021.35","43,979.30","53,040.55","40,352.90",2.44,18.05
"NIFTY FINANCIAL SERVICES EX-BANK","32,626.35","-0.69","32,895.00","32,895.00","32,613.15","-","32,853.40","32,853.40","33,155.30","32,311.95","29,175.85","33,301.05","26,788.05",0.97,12.84
"NIFTY MIDSMALL FINANCIAL SERVICES","22,661.95","-0.32","22,774.95","22,776.55","22,639.95","-","22,735.35","22,735.35","22,423.70","22,728.85","17,931.30","22,786.05","17,421.50",-0.29,27.02
"NIFTY MIDSMALL IT & TELECOM","9,958.15","0.12","9,956.15","9,963.90","9,907.60","-","9,945.75","9,945.75","9,840.30","9,561.65","9,249.20","10,591.60","7,748.35",4.15,7.02
"NIFTY CHEMICALS","30,472.25","-0.07","30,514.90","30,514.95","30,353.70","-","30,492.85","30,492.85","30,396.80","29,819.60","30,104.75","31,895.45","24,851.65",2.19,1.4
"NIFTY500 HEALTHCARE","21,621.65","-0.82","21,800.55","21,826.15","21,619.70","-","21,799.40","21,799.40","21,653.10","21,168.40","-","21,896.15","16,294.60",2.14,0
"NIFTY REITS & REALTY","1,933.70","-0.36","1,945.25","1,945.30","1,932.10","-","1,940.60","1,940.60","1,943.80","1,974.60","-","2,012.90","1,632.55",-2.07,0
"NIFTY CEMENT","15,193.70","-0.22","15,253.65","15,276.55","15,176.30","-","15,227.05","15,227.05","15,562.80","15,292.80","-","18,188.60","13,534.80",-0.65,0
"NIFTY DIVIDEND OPPORTUNITIES 50","6,019.65","0.04","6,014.15","6,032.80","6,008.25","-","6,017.45","6,017.45","6,050.25","5,787.10","5,846.70","6,584.65","5,614.00",4.02,2.94
"NIFTY GROWTH SECTORS 15","11,784.60","-0.45","11,839.25","11,841.65","11,778.55","-","11,838.35","11,838.35","11,783.60","10,915.70","11,250.30","12,852.45","10,329.35",7.96,4.49
"NIFTY100 QUALITY 30","5,784.85","-0.34","5,800.60","5,801.00","5,782.85","-","5,804.45","5,804.45","5,757.40","5,493.65","5,462.00","-","-",5.3,6.07
"NIFTY50 VALUE 20","12,067.90","-0.02","12,071.50","12,093.80","12,041.95","-","12,070.50","12,070.50","12,090.30","12,021.00","12,389.15","13,684.40","11,528.60",0.39,-2.53
"NIFTY50 TR 2X LEVERAGE","18,642.90","-0.60","18,753.85","18,753.85","18,628.85","-","18,755.30","18,755.30","18,998.60","18,368.85","19,812.75","22,435.45","15,547.15",1.49,-5.28
"NIFTY50 PR 2X LEVERAGE","12,237.15","-0.60","12,309.95","12,309.95","12,227.90","-","12,310.90","12,310.90","12,475.95","12,109.65","13,318.50","14,993.40","10,365.70",1.05,-7.37
"NIFTY50 TR 1X INVERSE","176.55","0.28","176.05","176.65","176.05","-","176.05","176.05","174.85","177.70","171.25","193.35","161.80",-0.65,2.73
"NIFTY50 PR 1X INVERSE","217.55","0.30","216.90","217.65","216.90","-","216.90","216.90","215.40","218.50","208.70","236.50","197.80",-0.43,3.82
"NIFTY50 DIVIDEND POINTS","187.67","-","187.67","187.67","187.67","-","187.67","187.67","182.42","134.61","175.20","-","-",39.42,-2.94
"NIFTY ALPHA 50","56,758.90","0.73","56,543.85","56,856.70","56,448.20","-","56,346.20","56,346.20","55,719.80","54,265.10","49,891.35","-","-",4.6,14.07
"NIFTY50 EQUAL WEIGHT","33,462.10","-0.30","33,584.10","33,585.05","33,456.60","-","33,564.20","33,564.20","33,861.50","32,788.30","30,906.85","-","-",2.06,8.42
"NIFTY100 EQUAL WEIGHT","35,431.45","-0.27","35,518.45","35,518.95","35,417.35","-","35,528.90","35,528.90","35,637.95","34,601.40","32,084.45","-","-",2.4,10.56
"NIFTY100 LOW VOLATILITY 30","20,526.90","-0.39","20,599.95","20,602.40","20,520.85","-","20,606.80","20,606.80","20,744.05","20,059.75","19,808.40","-","-",2.33,3.81
"NIFTY200 QUALITY 30","20,915.55","-0.28","20,985.05","20,986.50","20,904.20","-","20,974.25","20,974.25","20,879.95","20,027.25","20,126.45","-","-",4.44,4.1
"NIFTY ALPHA LOW-VOLATILITY 30","27,485.95","-0.10","27,530.40","27,551.35","27,468.75","-","27,512.10","27,512.10","27,670.60","26,884.50","26,030.95","-","-",2.24,5.98
"NIFTY200 MOMENTUM 30","31,359.75","0.47","31,322.40","31,451.95","31,264.95","-","31,212.45","31,212.45","31,074.10","30,606.65","29,975.50","-","-",2.46,5.29
"NIFTY MIDCAP150 QUALITY 50","24,848.80","-0.26","24,932.70","24,933.15","24,816.70","-","24,914.65","24,914.65","24,859.00","24,138.55","23,785.10","-","-",2.94,4.93
"NIFTY200 ALPHA 30","27,017.85","0.73","26,929.75","27,093.00","26,890.55","-","26,821.60","26,821.60","26,610.10","26,370.00","24,563.15","-","-",2.46,10.61
"NIFTY MIDCAP150 MOMENTUM 50","64,437.80","0.49","64,308.10","64,538.75","64,209.05","-","64,125.00","64,125.00","63,682.20","62,905.75","60,333.95","-","-",2.44,7.29
"NIFTY500 MOMENTUM 50","55,389.35","0.77","55,166.75","55,499.60","55,084.00","-","54,968.80","54,968.80","54,514.10","53,591.40","51,080.75","-","-",3.35,8.95
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","52,184.35","0.13","52,223.15","52,305.65","52,127.00","-","52,115.65","52,115.65","51,675.75","50,821.35","47,499.80","-","-",2.68,10.45
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","48,586.95","0.20","48,570.70","48,752.50","48,566.25","-","48,492.10","48,492.10","48,052.70","47,524.75","44,389.50","-","-",2.24,9.54
"NIFTY TOP 10 EQUAL WEIGHT","8,686.90","-0.44","8,713.90","8,719.05","8,676.05","-","8,725.10","8,725.10","8,775.55","8,563.50","9,359.15","-","-",1.44,-6.77
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","23,307.90","-0.23","23,371.60","23,373.30","23,294.35","-","23,361.35","23,361.35","23,366.40","22,872.90","21,780.85","-","-",1.9,7.43
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","20,621.30","-0.05","20,655.00","20,680.45","20,616.05","-","20,631.15","20,631.15","20,730.80","20,150.20","20,114.05","-","-",2.34,2.4
"NIFTY HIGH BETA 50","4,495.10","-0.19","4,512.30","4,514.70","4,491.45","-","4,503.85","4,503.85","4,501.60","4,462.55","3,566.75","-","-",0.73,26.41
"NIFTY LOW VOLATILITY 50","25,002.00","-0.48","25,085.05","25,086.35","24,991.80","-","25,121.90","25,121.90","25,304.05","24,606.60","24,464.35","-","-",1.61,2.46
"NIFTY QUALITY LOW-VOLATILITY 30","16,970.65","-0.38","17,039.00","17,040.40","16,965.85","-","17,035.75","17,035.75","17,060.00","16,473.85","16,722.75","-","-",3.02,1.74
"NIFTY SMALLCAP250 QUALITY 50","25,810.65","0.04","25,835.50","25,875.90","25,785.05","-","25,799.85","25,799.85","25,773.40","25,267.30","26,570.50","-","-",2.15,-2.77
"NIFTY TOP 15 EQUAL WEIGHT","9,939.95","-0.37","9,968.05","9,973.50","9,929.45","-","9,976.60","9,976.60","10,065.50","9,737.70","10,047.85","-","-",2.08,-0.72
"NIFTY100 ALPHA 30","18,534.00","0.08","18,564.95","18,604.60","18,525.50","-","18,519.50","18,519.50","18,473.20","18,110.05","18,000.20","-","-",2.34,3.38
"NIFTY200 VALUE 30","15,205.50","0.47","15,154.15","15,253.05","15,147.30","-","15,134.00","15,134.00","15,334.45","15,069.20","12,780.25","-","-",0.9,18.8
"NIFTY500 EQUAL WEIGHT","15,157.70","-0.18","15,201.80","15,202.55","15,155.50","-","15,184.85","15,184.85","15,190.20","14,973.05","13,909.00","-","-",1.23,9.04
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","41,927.90","0.31","41,898.90","42,025.50","41,830.70","-","41,797.65","41,797.65","41,305.00","41,241.80","40,304.80","-","-",1.66,4.81
"NIFTY500 VALUE 50","16,319.80","0.44","16,281.95","16,384.25","16,279.55","-","16,248.25","16,248.25","16,400.15","16,082.00","13,788.05","-","-",1.48,18.09
"NIFTY TOP 20 EQUAL WEIGHT","8,996.50","-0.39","9,029.05","9,030.60","8,992.60","-","9,031.35","9,031.35","9,063.25","8,699.45","8,931.95","-","-",3.41,0.91
"NIFTY500 QUALITY 50","20,100.70","-0.16","20,159.95","20,160.05","20,087.60","-","20,133.85","20,133.85","20,022.60","19,696.70","18,739.60","-","-",2.05,7.68
"NIFTY500 LOW VOLATILITY 50","22,608.05","-0.36","22,672.05","22,673.85","22,602.95","-","22,689.40","22,689.40","22,899.70","22,107.95","21,136.35","-","-",2.26,7.21
"NIFTY500 MULTIFACTOR MQVLV 50","31,391.10","-0.02","31,442.40","31,472.20","31,385.55","-","31,398.80","31,398.80","31,542.85","31,042.75","30,015.45","-","-",1.12,4.9
"NIFTY50 USD","8,860.75","-0.26","8,884.20","8,898.05","8,856.45","-","8,884.23","8,884.23","8,969.35","8,798.93","-","-","-",0.7,-8.4
"NIFTY500 FLEXICAP QUALITY 30","10,260.75","-0.16","10,289.25","10,289.75","10,252.50","-","10,277.25","10,277.25","10,266.90","9,840.65","-","-","-",4.27,0
"NIFTY TOTAL MARKET MOMENTUM QUALITY 50","44,959.20","0.67","44,832.85","45,066.20","44,753.50","-","44,661.00","44,661.00","44,029.85","43,627.25","-","-","-",3.05,0
"NIFTY COMMODITIES","9,926.90","-","9,943.80","9,964.35","9,922.95","-","9,927.25","9,927.25","10,004.00","9,891.45","8,713.50","10,569.65","8,560.60",0.36,13.76
"NIFTY INDIA CONSUMPTION","12,080.60","-0.59","12,135.80","12,139.00","12,070.75","-","12,152.90","12,152.90","12,222.70","11,737.75","11,756.65","12,716.20","10,298.50",2.92,2.84
"NIFTY CPSE","6,446.05","-0.37","6,472.30","6,474.45","6,445.70","-","6,469.75","6,469.75","6,526.25","6,645.15","6,333.75","7,593.35","6,101.90",-3,1.42
"NIFTY ENERGY","38,682.60","-0.06","38,742.25","38,761.45","38,662.75","-","38,707.75","38,707.75","38,830.05","39,242.05","34,610.35","41,828.55","32,890.30",-1.43,11.34
"NIFTY INFRASTRUCTURE","9,335.35","-0.52","9,380.10","9,388.05","9,332.25","-","9,384.50","9,384.50","9,452.75","9,429.45","8,977.30","9,792.60","8,426.65",-1,4.05
"NIFTY100 LIQUID 15","7,659.25","-0.25","7,676.45","7,680.60","7,651.90","-","7,678.60","7,678.60","7,709.55","7,470.45","6,854.30","7,785.85","6,565.70",2.53,12.26
"NIFTY MIDCAP LIQUID 15","17,259.40","-0.50","17,388.10","17,388.70","17,232.65","-","17,345.35","17,345.35","17,026.60","16,852.85","14,820.00","17,349.00","13,702.75",2.41,17.12
"NIFTY MNC","33,783.10","0.11","33,781.35","33,840.25","33,744.45","-","33,746.10","33,746.10","33,586.25","32,688.00","28,288.20","34,028.00","27,597.20",3.35,19.55
"NIFTY PSE","9,808.00","-0.24","9,839.65","9,842.25","9,807.40","-","9,831.40","9,831.40","9,951.45","9,911.25","9,574.60","10,839.05","9,168.35",-1.04,2.36
"NIFTY SERVICES SECTOR","31,122.25","-0.32","31,202.85","31,204.65","31,073.70","-","31,223.65","31,223.65","31,559.70","31,168.35","32,289.10","34,549.75","28,232.65",-0.15,-3.01
"NIFTY100 ESG SECTOR LEADERS","4,100.75","-0.35","4,114.05","4,114.05","4,099.00","-","4,115.20","4,115.20","4,145.10","4,077.40","4,113.25","-","-",0.57,0.06
"NIFTY INDIA DIGITAL","8,788.45","-0.35","8,828.25","8,828.70","8,779.15","-","8,819.45","8,819.45","8,675.95","8,135.55","8,749.55","9,723.25","7,233.65",8.03,0.59
"NIFTY100 ESG","5,101.40","-0.31","5,113.55","5,114.40","5,099.30","-","5,117.20","5,117.20","5,155.65","4,958.20","4,841.05","-","-",2.89,5.67
"NIFTY INDIA MANUFACTURING","16,603.75","-0.03","16,627.45","16,653.40","16,594.90","-","16,608.90","16,608.90","16,591.55","15,939.00","14,043.50","-","-",4.17,18.18
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","14,825.85","-0.39","14,885.35","14,887.40","14,812.85","-","14,883.35","14,883.35","14,884.95","14,019.50","14,613.80","15,588.85","13,218.65",5.75,1.54
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","17,055.75","-0.13","17,096.80","17,109.70","17,052.30","-","17,077.30","17,077.30","16,997.85","16,363.50","14,755.30","17,180.30","14,148.20",4.23,15.63
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14,605.20","-0.28","14,646.30","14,657.90","14,594.60","-","14,646.05","14,646.05","14,771.00","14,741.10","13,775.55","14,885.80","12,542.85",-0.92,6.1
"NIFTY INDIA DEFENCE","9,571.10","-0.23","9,593.05","9,611.20","9,557.35","-","9,593.40","9,593.40","9,396.20","9,485.45","7,700.75","9,784.60","7,184.90",0.9,25.5
"NIFTY INDIA TOURISM","8,035.60","-0.75","8,090.65","8,104.35","8,025.80","-","8,096.15","8,096.15","8,160.80","8,173.40","9,021.40","9,452.55","6,502.65",-1.69,-11.15
"NIFTY CAPITAL MARKETS","5,307.70","-0.56","5,365.05","5,365.05","5,295.55","-","5,337.55","5,337.55","5,251.25","5,540.10","4,343.65","5,697.10","4,086.85",-4.19,22.7
"NIFTY EV & NEW AGE AUTOMOTIVE","3,396.55","0.23","3,391.65","3,404.95","3,387.55","-","3,388.65","3,388.65","3,350.15","3,119.45","2,868.60","-","-",8.88,18.26
"NIFTY INDIA NEW AGE CONSUMPTION","12,148.30","-0.44","12,210.20","12,211.30","12,136.45","-","12,201.60","12,201.60","12,208.65","11,798.15","11,532.30","-","-",2.97,5.56
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)","39,820.75","-0.14","39,957.40","39,968.80","39,776.90","-","39,878.30","39,878.30","39,839.90","38,774.90","35,543.60","-","-",2.7,11.91
"NIFTY MOBILITY","23,837.90","-0.13","23,887.90","23,937.40","23,818.90","-","23,868.50","23,868.50","23,883.15","22,507.10","20,822.15","-","-",5.91,14.4
"NIFTY100 ENHANCED ESG","5,135.85","-0.31","5,148.10","5,148.90","5,133.70","-","5,151.85","5,151.85","5,190.65","4,991.45","4,876.45","-","-",2.89,5.62
"NIFTY CORE HOUSING","15,872.05","-0.24","15,925.00","15,936.40","15,858.40","-","15,910.35","15,910.35","16,130.35","15,920.80","15,930.55","16,610.25","12,788.20",-0.31,0.09
"NIFTY HOUSING","11,954.00","-0.30","11,993.05","11,996.05","11,947.30","-","11,989.90","11,989.90","12,160.55","12,114.85","11,369.75","12,244.25","10,358.70",-1.33,5.31
"NIFTY IPO","2,339.10","-0.10","2,343.30","2,343.80","2,337.65","-","2,341.45","2,341.45","2,329.50","2,321.45","2,059.85","2,347.80","1,774.60",0.76,13.14
"NIFTY MIDSMALL INDIA CONSUMPTION","18,899.00","-0.72","19,057.90","19,060.20","18,874.40","-","19,036.95","19,036.95","19,112.55","18,976.30","19,250.70","20,135.15","15,614.35",-0.41,-1.61
"NIFTY NON-CYCLICAL CONSUMER","15,521.10","-0.62","15,595.20","15,597.55","15,507.35","-","15,617.60","15,617.60","15,703.20","15,348.80","16,075.85","16,983.45","13,311.10",1.12,-2.98
"NIFTY RURAL","15,716.65","-0.15","15,729.20","15,754.55","15,699.15","-","15,740.05","15,740.05","15,941.55","15,408.35","14,784.80","16,396.40","13,751.35",2,6.61
"NIFTY SHARIAH 25","8,163.35","-0.52","8,199.75","8,199.75","8,159.75","-","8,205.85","8,205.85","8,203.65","7,813.25","8,058.60","8,562.10","7,196.60",4.48,1.24
"NIFTY TRANSPORTATION & LOGISTICS","26,697.65","-0.17","26,767.50","26,828.45","26,674.85","-","26,744.35","26,744.35","26,727.60","25,084.15","23,388.10","27,025.05","21,355.40",6.43,13.91
"NIFTY50 SHARIAH","4,419.20","-0.12","4,427.85","4,432.60","4,418.65","-","4,424.65","4,424.65","4,433.85","4,197.05","4,548.95","4,982.45","4,082.25",5.29,-2.82
"NIFTY500 SHARIAH","7,150.70","-0.13","7,163.60","7,167.05","7,149.45","-","7,160.35","7,160.35","7,153.80","6,905.65","6,906.85","7,291.95","6,162.95",3.55,3.5
"NIFTY SME EMERGE","14,286.50","-0.21","14,333.15","14,340.85","14,281.15","-","14,316.40","14,316.40","14,136.15","14,040.65","14,845.06","17,223.65","11,015.55",1.75,-4.19
"NIFTY INDIA INTERNET","1,420.90","-0.68","1,433.20","1,433.65","1,420.75","-","1,430.60","1,430.60","1,389.95","1,357.20","-","1,501.90","1,056.45",4.69,0
"NIFTY WAVES","1,924.40","-0.01","1,929.00","1,931.35","1,921.85","-","1,924.50","1,924.50","1,950.70","1,976.75","2,108.19","2,789.80","1,581.05",-2.65,-9.3
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","12,146.70","-0.13","12,167.65","12,170.70","12,129.85","-","12,162.85","12,162.85","12,245.45","12,350.00","-","12,549.95","9,210.40",-1.65,0
"NIFTY INDIA RAILWAYS PSU","2,894.85","0.24","2,895.75","2,902.40","2,883.40","-","2,887.95","2,887.95","2,899.40","2,854.95","3,485.81","4,005.50","2,744.60",1.4,-16.03
"NIFTY CONGLOMERATE 50","15,482.20","-0.40","15,545.95","15,546.00","15,469.30","-","15,545.15","15,545.15","15,679.60","14,836.80","13,914.02","15,692.30","12,226.80",4.35,11.45
"NIFTY 8-13 YR G-SEC","3,060.86","-","3,061.52","3,061.53","3,060.43","-","3,060.96","3,060.96","3,059.67","3,055.62","2,924.38","-","-",0.17,4.93
"NIFTY 10 YR BENCHMARK G-SEC","2,682.51","-","2,683.25","2,683.25","2,681.46","-","2,682.75","2,682.75","2,680.31","2,680.74","2,592.74","-","-",0.07,3.79
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","878.00","-0.02","878.24","878.24","877.65","-","878.25","878.25","878.44","882.77","907.16","-","-",-0.54,-2.88
"NIFTY 4-8 YR G-SEC INDEX","3,347.14","-","3,347.73","3,347.73","3,347.14","-","3,347.13","3,347.13","3,347.31","3,332.79","3,167.43","-","-",0.43,5.94
"NIFTY 11-15 YR G-SEC INDEX","3,389.44","-","3,390.39","3,390.40","3,388.73","-","3,389.76","3,389.76","3,386.90","3,383.84","3,199.91","-","-",0.17,6.28
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,583.25","0.02","3,583.25","3,583.25","3,583.25","-","3,582.53","3,582.53","3,556.60","3,592.23","3,445.07","-","-",-0.25,4.51
"NIFTY COMPOSITE G-SEC INDEX","3,154.59","-","3,155.26","3,155.26","3,154.20","-","3,154.67","3,154.67","3,148.65","3,149.08","3,007.77","-","-",0.17,5.19
"NIFTY BHARAT BOND INDEX - APRIL 2030","1,615.57","0.01","1,615.58","1,615.58","1,615.57","-","1,615.26","1,615.26","1,610.94","1,604.93","1,538.25","-","-",0.66,5.12
"NIFTY BHARAT BOND INDEX - APRIL 2031","1,468.07","0.01","1,468.07","1,468.07","1,468.07","-","1,467.80","1,467.80","1,465.58","1,460.70","1,403.53","-","-",0.5,4.78
"NIFTY BHARAT BOND INDEX - APRIL 2032","1,335.32","0.01","1,335.32","1,335.32","1,335.32","-","1,335.07","1,335.07","1,332.91","1,328.77","1,281.69","-","-",0.49,4.47
"NIFTY BHARAT BOND INDEX - APRIL 2033","1,294.09","0.01","1,294.09","1,294.09","1,294.09","-","1,293.85","1,293.85","1,291.34","1,287.79","1,245.11","-","-",0.49,4.3
